Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
370,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5035,-,-,-,270,0.56,0.8,48,0.6,-,-,-,s,21-Oct-19,05:00PM,-,KNUSFORD BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5035
371,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'6971,0.01,0.64,93,100,1.58,1.68,10,1.56,1.56,1.57,1.56,s,21-Oct-19,05:00PM,1.57,KOBAY TECHNOLOGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6971
372,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7017,-0.01,-3.57,"78,068",456,0.27,0.275,"4,000",0.28,0.28,0.28,0.27,s,21-Oct-19,05:00PM,0.27,KOMARKCORP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7017
373,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4847,0.01,11.76,"8,983",549,0.09,0.095,"15,217",0.085,0.09,0.095,0.09,s,21-Oct-19,05:00PM,0.095,KONSORTIUM TRANSNASIONAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4847
374,MAIN MARKET,HEALTH CARE,'7153,-0.04,-0.93,"17,120",110,4.24,4.25,"4,394",4.28,4.28,4.28,4.23,s,21-Oct-19,05:00PM,4.24,KOSSAN RUBBER INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7153
375,MAIN MARKET,HEALTH CARE,'0002,-,-,-,100,1.88,1.93,57,1.9,-,-,-,s,21-Oct-19,05:00PM,-,KOTRA INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0002
376,MAIN MARKET,HEALTH CARE,'5878,-,-,"23,788",50,0.93,0.95,"4,510",0.95,0.935,0.95,0.915,s,21-Oct-19,05:00PM,0.95,KPJ HEALTHCARE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5878
377,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9121,-,-,80,200,0.475,0.48,200,0.475,0.475,0.475,0.475,s,21-Oct-19,05:00PM,0.475,KPS CONSORTIUM BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9121
378,MAIN MARKET,PLANTATION,'1996,0.005,1.39,"1,815",200,0.355,0.365,362,0.36,0.35,0.365,0.35,s,21-Oct-19,05:00PM,0.365,KRETAM HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1996
379,MAIN MARKET,PROPERTY,'5038,0.005,0.65,"8,564",8,0.775,0.785,450,0.77,0.77,0.78,0.765,s,21-Oct-19,05:00PM,0.775,KSL HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5038
380,MAIN MARKET,PLANTATION,'2445,0.12,0.56,"6,502",32,21.56,21.62,"7,796",21.5,21.4,21.62,21.4,s,21-Oct-19,05:00PM,21.62,KUALA LUMPUR KEPONG BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2445
381,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'6874,-0.005,-1.56,"1,280","1,414",0.315,0.32,"1,000",0.32,0.32,0.32,0.315,s,21-Oct-19,05:00PM,0.315,KUB MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6874
382,MAIN MARKET,FINANCIAL SERVICES,'2186,-,-,270,40,1.66,1.69,250,1.66,1.65,1.66,1.65,s,21-Oct-19,05:00PM,1.66,KUCHAI DEVELOPMENT BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2186
383,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'6491,0.02,1.27,70,30,1.6,1.61,50,1.58,1.59,1.61,1.59,s,21-Oct-19,05:00PM,1.6,KUMPULAN FIMA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6491
384,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7033,-0.06,-5.94,20,30,0.95,1.03,225,1.01,0.95,0.95,0.95,s,21-Oct-19,05:00PM,0.95,KUMPULAN H & L HIGH-TECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7033
385,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9083,-,-,-,500,0.125,0.135,674,0.135,-,-,-,s,21-Oct-19,05:00PM,-,KUMPULAN JETSON BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9083
