Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-10-21,'0198,GDB ,GDB HOLDINGS BERHAD,,0.34500000000000003,0.345,0.330,0.335,"1,627,300",2,-0.010 ,-2.90%,decreasing,"855,100",0.220 - 0.365,2.00,5.97%,4.18,209.4M,8,1,1.86,0.335 / 0.340,23.22,41.73,,1.9,,"25,200 / 49,400",https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-10-21,'0106,REXIT ,REXIT BERHAD,,0.675,0.675,0.675,0.675,-,0,0.000 ,0.00%,,"15,000",0.525 - 0.750,3.00,4.44%,4.16,127.8M,16,6,3.38,0.635 / 0.675,20.80,11.61,,0.0,,"110,000 / 32,600",https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-10-21,'0005,UCREST ,UCREST BERHAD,,0.13499999999999998,0.150,0.135,0.145,"7,420,600",2,+0.010 ,+7.41%,increasing,"2,962,700",0.125 - 0.335,0.00,0.00%,1.69,67.3M,9,2,1.73,0.140 / 0.145,20.17,6.22,,2.5,,"3,322,000 / 933,000",https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-10-21,'0197,WEGMANS ,WEGMANS HOLDINGS BERHAD,,0.275,0.275,0.265,0.270,"202,000",1,-0.005 ,-1.82%,decreasing,"366,400",0.255 - 0.380,0.50,1.85%,3.01,135.0M,9,1,1.78,0.270 / 0.275,19.87,18.71,,0.6,,"20,000 / 112,500",https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-10-21,'0127,JHM ,JHM CONSOLIDATION BERHAD,,1.34,1.350,1.330,1.330,"1,129,400",1,-0.010 ,-0.75%,decreasing,"1,168,400",0.805 - 1.410,2.00,1.50%,6.59,741.6M,20,3,3.91,1.320 / 1.330,19.38,48.05,,1.0,,"104,900 / 42,600",https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-10-21,'0209,ISTONE ,I-STONE GROUP BERHAD,,0.255,0.265,0.250,0.255,"39,368,400",0,0.000 ,0.00%,,"18,757,400",0.150 - 0.275,0.00,0.00%,1.04,311.5M,25,8,8.50,0.255 / 0.260,34.67,3.10,,2.1,,"1,437,500 / 2,866,500",https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-10-21,'0040,OPENSYS ,OPENSYS (M) BERHAD,,0.335,0.340,0.330,0.340,"415,000",1,+0.005 ,+1.49%,increasing,"303,400",0.275 - 0.365,1.50,4.41%,3.32,101.3M,10,1,1.70,0.335 / 0.340,16.60,35.03,,1.4,,"200,000 / 4,000",https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-10-21,'0201,NOVA ,NOVA WELLNESS GROUP BERHAD,,0.62,0.650,0.615,0.635,"1,019,000",3,+0.015 ,+2.42%,increasing,"1,153,400",0.280 - 0.665,0.50,0.79%,3.65,201.8M,17,7,2.65,0.630 / 0.635,15.21,9.30,,0.9,,"57,300 / 1,000",https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-10-21,'0200,REVENUE ,REVENUE GROUP BERHAD,,1.68,1.720,1.670,1.690,"4,140,100",1,+0.010 ,+0.60%,increasing,"1,608,200",0.905 - 1.730,0.00,0.00%,3.72,394.9M,45,7,6.90,1.690 / 1.700,15.18,25.41,,2.6,,"27,800 / 33,600",https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-10-21,'0208,GREATEC ,GREATECH TECHNOLOGY BERHAD,,1.94,1.970,1.920,1.960,"2,800,500",2,+0.020 ,+1.03%,increasing,"5,668,000",0.635 - 2.020,0.00,0.00%,7.46,"1,227.0M",26,11,7.54,1.950 / 1.960,28.69,17.53,,0.5,,"197,000 / 92,400",https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
