Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-09-19,'7222,IMASPRO ,IMASPRO CORPORATION BERHAD,,2.22,2.220,2.200,2.220,"493,700",0,0.000 ,0.00%,,"589,300",1.850 - 2.350,0.00,0.00%,0.72,177.6M,308,3,1.39,2.100 / 2.220,0.45,80.18,,0.8,,"8,800 / 1,300",https://www.klsescreener.com/v2/stocks/view/7222/imaspro-corporation-berhad
2019-09-19,'3611,PGLOBE ,PARAGON GLOBE BERHAD,,1.08,1.080,1.080,1.080,-,0,0.000 ,0.00%,,200,0.925 - 1.200,0.00,0.00%,0.55,201.6M,196,3,0.83,0.940 / 1.000,0.42,39.24,,0.0,,"5,000 / 8,000",https://www.klsescreener.com/v2/stocks/view/3611/paragon-globe-berhad
2019-09-19,'3247,GUH ,GUH HOLDINGS BERHAD,,0.47,0.470,0.470,0.470,"14,100",0,0.000 ,0.00%,,"27,900",0.400 - 0.625,0.00,0.00%,0.76,130.6M,62,0,0.26,0.470 / 0.490,0.41,124.42,,0.5,,"15,000 / 4,200",https://www.klsescreener.com/v2/stocks/view/3247/guh-holdings-berhad
2019-09-19,'4375,SMI ,SOUTH MALAYSIA INDUSTRIES BERHAD,,0.135,0.135,0.135,0.135,"101,000",0,0.000 ,0.00%,,"117,900",0.130 - 0.220,0.00,0.00%,0.33,28.3M,41,0,0.16,0.135 / 0.140,0.40,31.33,,0.9,,"121,200 / 135,000",https://www.klsescreener.com/v2/stocks/view/4375/south-malaysia-industries-berhad
2019-09-19,'5649,GPHAROS ,GOLDEN PHAROS BERHAD,,0.195,0.195,0.195,0.195,-,0,0.000 ,0.00%,,"6,700",0.170 - 0.275,1.27,6.51%,0.19,26.7M,103,0,0.35,0.180 / 0.205,0.34,52.26,,0.0,,"16,000 / 4,900",https://www.klsescreener.com/v2/stocks/view/5649/golden-pharos-berhad
2019-09-19,'7157,CYL ,CYL CORPORATION BERHAD,,0.355,0.355,0.355,0.355,-,0,0.000 ,0.00%,,"2,600",0.350 - 0.630,0.00,0.00%,0.21,35.5M,172,1,0.56,0.360 / 0.380,0.33,50.46,,0.0,,"15,000 / 10,500",https://www.klsescreener.com/v2/stocks/view/7157/cyl-corporation-berhad
2019-09-19,'9938,BRIGHT ,BRIGHT PACKAGING INDUSTRY BERHAD,,0.17500000000000002,0.170,0.170,0.170,"7,000",1,-0.005 ,-2.86%,decreasing,"50,500",0.140 - 0.220,0.00,0.00%,0.17,34.9M,100,0,0.30,0.170 / 0.190,0.30,34.43,,0.1,,"15,500 / 19,600",https://www.klsescreener.com/v2/stocks/view/9938/bright-packaging-industry-berhad
2019-09-19,'7217,EMETALL ,EONMETALL GROUP BERHAD,,0.345,0.360,0.345,0.360,"15,000",3,+0.015 ,+4.35%,increasing,"47,300",0.345 - 0.565,0.00,0.00%,0.31,67.8M,117,1,0.28,0.345 / 0.360,0.24,62.21,,0.3,,"97,400 / 25,500",https://www.klsescreener.com/v2/stocks/view/7217/eonmetall-group-berhad
2019-09-19,'7209,CHEETAH ,CHEETAH HOLDINGS BERHAD,,0.30000000000000004,0.330,0.305,0.330,"20,400",6,+0.030 ,+10.00%,increasing,"1,900",0.270 - 0.390,0.00,0.00%,0.25,42.1M,134,0,0.29,0.305 / 0.330,0.22,110.86,,11.0,,"7,000 / 4,900",https://www.klsescreener.com/v2/stocks/view/7209/cheetah-holdings-berhad
2019-09-19,'5195,CENSOF ,CENSOF HOLDINGS BERHAD,,0.12,0.130,0.120,0.125,"739,500",1,+0.005 ,+4.17%,increasing,"128,700",0.115 - 0.190,0.00,0.00%,0.04,62.7M,335,1,0.47,0.125 / 0.130,0.15,11.76,,5.7,,"84,600 / 168,600",https://www.klsescreener.com/v2/stocks/view/5195/censof-holdings-berhad
2019-09-19,'0037,RGB ,RGB INTERNATIONAL BHD,,0.175,0.175,0.175,0.175,"308,000",0,0.000 ,0.00%,,"1,389,200",0.175 - 0.250,0.69,3.94%,2.20,270.7M,8,1,0.01,0.175 / 0.180,0.14,17.61,,0.2,,"3,666,400 / 1,317,800",https://www.klsescreener.com/v2/stocks/view/0037/rgb-international-bhd
2019-09-19,'8524,TALIWRK ,TALIWORKS CORPORATION BERHAD,,0.915,0.930,0.915,0.920,"3,329,100",1,+0.005 ,+0.55%,increasing,"1,060,600",0.685 - 1.480,4.80,5.22%,4.79,"1,854.6M",19,5,0.02,0.915 / 0.920,0.09,18.57,,3.1,,"15,000 / 1,397,400",https://www.klsescreener.com/v2/stocks/view/8524/taliworks-corporation-berhad
2019-09-19,'2542,RVIEW ,RIVERVIEW RUBBER ESTATES BERHAD,,2.83,2.830,2.830,2.830,-,0,0.000 ,0.00%,,"1,300",2.750 - 3.750,4.00,1.41%,0.25,183.5M,1133,7,0.70,2.650 / 2.940,0.06,42.08,,0.0,,"2,000 / 6,000",https://www.klsescreener.com/v2/stocks/view/2542/riverview-rubber-estates-berhad
