Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-09-12,'0198,GDB ,GDB HOLDINGS BERHAD,,0.3,0.300,0.295,0.300,"178,000",0,0.000 ,0.00%,,"911,800",0.220 - 0.370,2.00,6.67%,4.18,187.5M,7,1,1.67,0.295 / 0.300,23.22,41.73,,0.2,,"105,000 / 178,000",https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-12,'0106,REXIT ,REXIT BERHAD,,0.6,0.600,0.600,0.600,-,0,0.000 ,0.00%,,"32,300",0.525 - 0.750,3.00,5.00%,4.16,113.6M,14,5,3.00,0.605 / 0.640,20.80,11.61,,0.0,,"27,000 / 21,400",https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-12,'0005,UCREST ,UCREST BERHAD,,0.14500000000000002,0.145,0.140,0.140,"1,590,900",1,-0.005 ,-3.45%,decreasing,"4,007,800",0.125 - 0.340,0.00,0.00%,1.69,65.0M,8,2,1.67,0.140 / 0.145,20.17,6.22,,0.4,,"1,637,200 / 1,092,000",https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-12,'0197,WEGMANS ,WEGMANS HOLDINGS BERHAD,,0.255,0.265,0.255,0.265,"150,100",2,+0.010 ,+3.92%,increasing,"1,969,500",0.255 - 0.405,0.50,1.89%,3.01,132.5M,9,1,1.75,0.260 / 0.265,19.87,18.71,,0.1,,"191,000 / 41,900",https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-12,'0127,JHM ,JHM CONSOLIDATION BERHAD,,1.15,1.170,1.150,1.160,"277,900",1,+0.010 ,+0.87%,increasing,"896,000",0.805 - 1.450,2.00,1.72%,6.59,646.8M,18,2,3.41,1.160 / 1.170,19.38,48.05,,0.3,,"200 / 16,000",https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-12,'0209,ISTONE ,I-STONE GROUP BERHAD,,0.16499999999999998,0.175,0.165,0.175,"12,053,500",2,+0.010 ,+6.06%,increasing,"31,377,100",0.150 - 0.275,0.00,0.00%,1.04,213.8M,17,6,5.83,0.175 / 0.180,34.67,3.10,,0.4,,"20,000 / 2,461,900",https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-12,'0040,OPENSYS ,OPENSYS (M) BERHAD,,0.33999999999999997,0.355,0.345,0.345,"1,477,200",1,+0.005 ,+1.47%,increasing,"283,700",0.275 - 0.375,1.50,4.35%,3.32,102.8M,10,1,1.73,0.345 / 0.350,16.60,35.03,,5.2,,"26,500 / 65,000",https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-12,'0201,NOVA ,NOVA WELLNESS GROUP BERHAD,,0.55,0.555,0.535,0.555,"558,700",1,+0.005 ,+0.91%,increasing,"398,100",0.280 - 0.580,0.50,0.90%,3.65,176.3M,15,6,2.31,0.550 / 0.555,15.21,9.30,,1.4,,"28,000 / 3,000",https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-12,'0200,REVENUE ,REVENUE GROUP BERHAD,,1.5,1.520,1.510,1.520,"268,100",2,+0.020 ,+1.33%,increasing,"1,767,700",0.905 - 1.730,0.00,0.00%,3.73,354.1M,41,6,6.20,1.510 / 1.520,15.22,25.48,,0.2,,"500 / 100,800",https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-12,'0120,VIS ,VISDYNAMICS HOLDINGS BERHAD,,0.365,0.375,0.370,0.375,"202,500",2,+0.010 ,+2.74%,increasing,"903,900",0.305 - 0.795,1.02,2.72%,3.52,63.4M,11,2,1.56,0.370 / 0.375,14.67,19.13,,0.2,,"20,000 / 10,600",https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
2019-09-12,'0208,GREATEC ,GREATECH TECHNOLOGY BERHAD,,1.41,1.430,1.390,1.410,"2,248,300",0,0.000 ,0.00%,,"19,244,700",0.635 - 1.470,0.00,0.00%,7.46,882.7M,19,8,5.42,1.410 / 1.420,28.69,17.53,,0.1,,"6,000 / 239,500",https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
2019-09-12,'0126,MICROLN ,MICROLINK SOLUTIONS BERHAD,,0.6,0.600,0.550,0.590,"26,500",2,-0.010 ,-1.67%,decreasing,"42,500",0.305 - 0.700,0.00,0.00%,1.74,98.7M,34,0,4.85,0.575 / 0.595,14.30,121.62,,0.6,,"1,400 / 20,000",https://www.klsescreener.com/v2/stocks/view/0126/microlink-solutions-berhad
2019-09-12,'0158,SCC ,SCC HOLDINGS BERHAD,,0.52,0.520,0.520,0.520,-,0,0.000 ,0.00%,,"22,800",0.470 - 0.560,3.40,6.54%,4.30,73.4M,12,1,1.68,0.495 / 0.515,13.90,47.55,,0.0,,"8,000 / 3,000",https://www.klsescreener.com/v2/stocks/view/0158/scc-holdings-berhad
2019-09-12,'0010,IRIS ,IRIS CORPORATION BERHAD,,0.15,0.155,0.150,0.155,"10,259,000",1,+0.005 ,+3.33%,increasing,"12,795,300",0.125 - 0.195,0.00,0.00%,1.31,459.8M,12,2,1.63,0.150 / 0.155,13.77,7.62,,0.8,,"14,950,700 / 12,045,500",https://www.klsescreener.com/v2/stocks/view/0010/iris-corporation-berhad
2019-09-12,'0018,LAMBO ,LAMBO GROUP BERHAD,,0.055,0.055,0.055,0.055,"1,358,100",0,0.000 ,0.00%,,"11,155,700",0.050 - 0.160,0.00,0.00%,0.79,115.6M,7,1,0.93,0.055 / 0.060,13.37,4.97,,0.1,,"127,100 / 10,183,300",https://www.klsescreener.com/v2/stocks/view/0018/lambo-group-berhad
2019-09-12,'0162,WIDAD ,WIDAD GROUP BERHAD,,0.22499999999999998,0.240,0.230,0.240,"1,071,800",3,+0.015 ,+6.67%,increasing,"1,827,900",0.215 - 0.390,0.00,0.00%,0.93,589.1M,26,2,3.50,0.235 / 0.240,13.55,9.96,,0.6,,"143,800 / 229,800",https://www.klsescreener.com/v2/stocks/view/0162/widad-group-berhad
2019-09-12,'0157,FOCUSP ,FOCUS POINT HOLDINGS BERHAD,,0.42,0.420,0.400,0.420,"905,900",0,0.000 ,0.00%,,"655,100",0.160 - 0.650,1.88,4.48%,4.59,92.4M,9,0,1.59,0.415 / 0.420,17.38,85.45,,1.4,,"10,200 / 253,800",https://www.klsescreener.com/v2/stocks/view/0157/focus-point-holdings-berhad
2019-09-12,'0193,KAB ,KEJURUTERAAN ASASTERA BERHAD,,0.32,0.340,0.310,0.340,"5,481,200",4,+0.020 ,+6.25%,increasing,"1,929,700",0.185 - 0.340,1.00,2.94%,2.04,120.4M,17,1,2.13,0.340 / 0.345,12.75,37.51,,2.8,,"38,200 / 186,000",https://www.klsescreener.com/v2/stocks/view/0193/kejuruteraan-asastera-berhad
2019-09-12,'0039,GFM ,GFM SERVICES BERHAD,,0.335,0.340,0.335,0.335,"682,200",0,0.000 ,0.00%,,"2,145,500",0.335 - 0.565,1.10,3.28%,2.67,157.8M,13,1,1.60,0.335 / 0.340,12.71,29.14,,0.3,,"386,200 / 333,800",https://www.klsescreener.com/v2/stocks/view/0039/gfm-services-berhad
2019-09-12,'0084,TECFAST ,TECHFAST HOLDINGS BERHAD,,0.29,0.300,0.290,0.300,"346,200",2,+0.010 ,+3.45%,increasing,"1,260,200",0.245 - 0.505,1.00,3.33%,1.42,68.4M,21,2,2.61,0.295 / 0.300,12.35,12.51,,0.3,,"11,000 / 143,100",https://www.klsescreener.com/v2/stocks/view/0084/techfast-holdings-berhad
2019-09-12,'0026,NOVAMSC ,NOVA MSC BERHAD,,0.085,0.085,0.085,0.085,"104,700",0,0.000 ,0.00%,,"2,148,700",0.080 - 0.185,0.00,0.00%,0.99,63.9M,9,1,1.06,0.085 / 0.090,12.38,7.07,,0.0,,"597,300 / 1,763,400",https://www.klsescreener.com/v2/stocks/view/0026/nova-msc-berhad
2019-09-12,'0187,BCMALL ,BCM ALLIANCE BERHAD,,0.145,0.145,0.140,0.145,"383,000",0,0.000 ,0.00%,,"376,000",0.140 - 0.250,0.20,1.38%,1.48,61.1M,10,1,1.21,0.140 / 0.145,12.33,22.30,,1.0,,"1,410,100 / 337,200",https://www.klsescreener.com/v2/stocks/view/0187/bcm-alliance-berhad
2019-09-12,'0032,REDTONE ,REDTONE INTERNATIONAL BERHAD,,0.395,0.405,0.395,0.405,"1,716,500",2,+0.010 ,+2.53%,increasing,"3,615,700",0.150 - 0.465,1.00,2.47%,2.52,307.3M,16,2,1.89,0.400 / 0.405,11.75,23.89,,0.5,,"3,600 / 488,100",https://www.klsescreener.com/v2/stocks/view/0032/redtone-international-berhad
2019-09-12,'0180,KTC ,KIM TECK CHEONG CONSOLIDATED BERHAD,,0.145,0.145,0.145,0.145,"273,100",0,0.000 ,0.00%,,"391,800",0.130 - 0.205,0.00,0.00%,2.32,74.0M,6,0,0.69,0.145 / 0.150,11.05,122.55,,0.7,,"137,800 / 404,500",https://www.klsescreener.com/v2/stocks/view/0180/kim-teck-cheong-consolidated-berhad
2019-09-12,'0146,JFTECH ,JF TECHNOLOGY BERHAD,,0.775,0.785,0.780,0.785,"2,000",2,+0.010 ,+1.29%,increasing,"78,300",0.640 - 1.020,0.00,0.00%,1.58,164.9M,50,7,5.23,0.775 / 0.785,10.52,10.96,,0.0,,"2,500 / 9,000",https://www.klsescreener.com/v2/stocks/view/0146/jf-technology-berhad
2019-09-12,'0023,IFCAMSC ,IFCA MSC BERHAD,,0.31,0.315,0.310,0.310,"2,011,000",0,0.000 ,0.00%,,"5,518,600",0.185 - 0.520,1.00,3.23%,1.92,188.6M,16,2,1.55,0.305 / 0.310,9.60,15.47,,0.4,,"1,422,100 / 25,200",https://www.klsescreener.com/v2/stocks/view/0023/ifca-msc-berhad
2019-09-12,'0191,CABNET ,CABNET HOLDINGS BERHAD,,0.195,0.195,0.195,0.195,-,0,0.000 ,0.00%,,"95,500",0.180 - 0.360,0.70,3.59%,2.47,34.9M,8,1,0.74,0.190 / 0.205,9.35,30.56,,0.0,,"76,000 / 22,000",https://www.klsescreener.com/v2/stocks/view/0191/cabnet-holdings-berhad
2019-09-12,'0196,QES ,QES GROUP BERHAD,,0.17500000000000002,0.175,0.170,0.170,"383,100",1,-0.005 ,-2.86%,decreasing,"2,472,100",0.165 - 0.380,0.40,2.35%,1.02,128.9M,17,1,1.55,0.170 / 0.175,9.27,24.96,,0.2,,"1,813,000 / 556,100",https://www.klsescreener.com/v2/stocks/view/0196/qes-group-berhad
2019-09-12,'0150,FINTEC ,FINTEC GLOBAL BERHAD,,0.05,0.050,0.050,0.050,-,0,0.000 ,0.00%,,"1,474,400",0.040 - 0.075,0.00,0.00%,2.65,30.7M,2,1,0.18,0.045 / 0.050,9.33,4.00,,0.0,,"11,284,700 / 4,086,900",https://www.klsescreener.com/v2/stocks/view/0150/fintec-global-berhad
2019-09-12,'0210,KHJB ,KIM HIN JOO (MALAYSIA) BERHAD,,0.305,0.310,0.305,0.310,"9,700",1,+0.005 ,+1.64%,increasing,"3,968,900",0.245 - 0.435,0.50,1.61%,2.57,117.8M,12,2,2.18,0.305 / 0.310,18.09,13.13,,0.0,,"493,500 / 9,800",https://www.klsescreener.com/v2/stocks/view/0210/kim-hin-joo-malaysia-berhad
2019-09-12,'0098,BAHVEST ,BAHVEST RESOURCES BERHAD,,0.56,0.560,0.550,0.550,"1,432,800",2,-0.010 ,-1.79%,decreasing,"4,948,000",0.325 - 1.180,0.00,0.00%,2.25,335.9M,24,4,1.09,0.550 / 0.555,4.46,15.21,,0.3,,"34,800 / 130,700",https://www.klsescreener.com/v2/stocks/view/0098/bahvest-resources-berhad
2019-09-12,'0176,KRONO ,KRONOLOGI ASIA BERHAD,,0.605,0.615,0.600,0.600,"3,942,000",1,-0.005 ,-0.83%,decreasing,"2,908,300",0.515 - 0.765,2.00,3.33%,3.80,293.6M,16,2,1.36,0.600 / 0.605,8.64,34.43,,1.4,,"112,800 / 267,000",https://www.klsescreener.com/v2/stocks/view/0176/kronologi-asia-berhad
2019-09-12,'0001,SCOMNET ,SUPERCOMNET TECHNOLOGIES BERHAD,,0.86,0.870,0.825,0.835,"1,312,300",5,-0.025 ,-2.91%,decreasing,"724,900",0.480 - 1.080,1.52,1.82%,2.49,536.9M,33,5,2.78,0.835 / 0.840,8.30,16.77,,1.8,,"12,000 / 15,000",https://www.klsescreener.com/v2/stocks/view/0001/supercomnet-technologies-berhad
2019-09-12,'0171,PLABS ,PETERLABS HOLDINGS BERHAD,,0.185,0.190,0.185,0.190,"431,000",1,+0.005 ,+2.70%,increasing,"413,200",0.185 - 0.400,0.00,0.00%,1.84,40.8M,10,0,0.81,0.185 / 0.190,7.89,43.75,,1.0,,"210,000 / 106,600",https://www.klsescreener.com/v2/stocks/view/0171/peterlabs-holdings-berhad
2019-09-12,'0203,SMETRIC ,SECUREMETRIC BERHAD,,0.485,0.500,0.485,0.500,"10,000",3,+0.015 ,+3.09%,increasing,"165,600",0.370 - 0.610,0.00,0.00%,1.16,121.8M,43,3,3.17,0.480 / 0.500,7.36,14.44,,0.1,,"2,500 / 500",https://www.klsescreener.com/v2/stocks/view/0203/securemetric-berhad
2019-09-12,'0195,BINACOM ,BINASAT COMMUNICATIONS BERHAD,,0.215,0.250,0.220,0.245,"3,091,600",6,+0.030 ,+13.95%,increasing,"560,500",0.200 - 0.465,0.00,0.00%,2.06,63.7M,12,1,0.84,0.245 / 0.250,7.10,21.03,,5.5,,"600 / 114,700",https://www.klsescreener.com/v2/stocks/view/0195/binasat-communications-berhad
2019-09-12,'0011,BTECH ,BRITE-TECH BERHAD,,0.205,0.215,0.215,0.215,"7,900",2,+0.010 ,+4.88%,increasing,"759,200",0.180 - 0.380,1.60,7.44%,1.57,54.2M,14,2,0.93,0.210 / 0.215,6.83,10.81,,0.0,,"11,800 / 123,000",https://www.klsescreener.com/v2/stocks/view/0011/brite-tech-berhad
2019-09-12,'0111,K1 ,K-ONE TECHNOLOGY BERHAD,,0.2,0.200,0.195,0.195,"430,300",1,-0.005 ,-2.50%,decreasing,"1,562,200",0.180 - 0.350,0.00,0.00%,1.04,142.1M,19,2,1.26,0.195 / 0.200,6.71,11.29,,0.3,,"1,356,200 / 94,200",https://www.klsescreener.com/v2/stocks/view/0111/k-one-technology-berhad
2019-09-12,'0206,NADIBHD ,GAGASAN NADI CERGAS BERHAD,,0.255,0.255,0.255,0.255,-,0,0.000 ,0.00%,,"842,700",0.235 - 0.400,0.50,1.96%,3.76,192.0M,7,1,0.45,0.245 / 0.260,6.60,42.28,,0.0,,"130,000 / 316,300",https://www.klsescreener.com/v2/stocks/view/0206/gagasan-nadi-cergas-berhad
2019-09-12,'0179,BIOHLDG ,BIOALPHA HOLDINGS BERHAD,,0.20500000000000002,0.205,0.200,0.200,"94,500",1,-0.005 ,-2.44%,decreasing,"1,080,700",0.190 - 0.270,0.00,0.00%,1.18,172.0M,17,3,1.07,0.200 / 0.205,6.33,7.44,,0.1,,"653,000 / 939,600",https://www.klsescreener.com/v2/stocks/view/0179/bioalpha-holdings-berhad
