Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,0.010,+0.70,"3,657","2,100",1.430,1.440,74,1.43,1.430,1.450,1.420,s,15 Nov 2019,05:00PM,1.440,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,0.015,+2.97,"3,007",451,0.515,0.525,354,0.505,0.505,0.520,0.505,s,15 Nov 2019,05:00PM,0.520,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,-,-,-,200,0.070,0.075,"3,184",0.07,-,-,-,s,15 Nov 2019,05:00PM,-,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,-,-,-,2,0.470,0.500,120,0.515,-,-,-,s,15 Nov 2019,05:00PM,-,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
MAIN MARKET,PROPERTY,'7131,-,-,-,211,0.210,0.245,170,0.22,-,-,-,s,15 Nov 2019,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-0.015,-4.11,"6,063",449,0.350,0.355,690,0.365,0.360,0.360,0.350,s,15 Nov 2019,05:00PM,0.350,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-,-,"1,130","34,257",0.125,0.130,"10,903",0.125,0.125,0.125,0.125,s,15 Nov 2019,05:00PM,0.125,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
MAIN MARKET,CONSTRUCTION,'5281,-0.005,-1.25,"3,513","1,366",0.395,0.400,380,0.4,0.400,0.400,0.395,s,15 Nov 2019,05:00PM,0.395,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.050,+2.40,340,210,2.130,2.140,30,2.08,2.100,2.130,2.100,s,15 Nov 2019,05:00PM,2.130,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
MAIN MARKET,HEALTH CARE,'7191,-,-,-,56,0.550,0.600,251,0.6,-,-,-,s,15 Nov 2019,05:00PM,-,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,0.015,+14.29,"3,486",200,0.115,0.120,"1,180",0.105,0.105,0.120,0.105,s,15 Nov 2019,05:00PM,0.120,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,-,-,"1,258",15,1.600,1.610,376,1.61,1.610,1.610,1.600,s,15 Nov 2019,05:00PM,1.610,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
MAIN MARKET,FINANCIAL SERVICES,'5139,-,-,102,238,15.160,15.180,67,15.16,15.160,15.180,15.160,s,15 Nov 2019,05:00PM,15.160,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
MAIN MARKET,FINANCIAL SERVICES,'5185,-,-,91,350,1.980,2.000,60,1.99,2.000,2.000,1.980,s,15 Nov 2019,05:00PM,1.990,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,-0.005,-4.00,"4,794","13,174",0.120,0.125,"2,080",0.125,0.125,0.125,0.120,s,15 Nov 2019,05:00PM,0.120,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
MAIN MARKET,CONSTRUCTION,'7078,-,-,"2,439","4,789",0.370,0.375,360,0.375,0.375,0.375,0.370,s,15 Nov 2019,05:00PM,0.375,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
