Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,-0.010,-0.68,"20,797",757,1.430,1.450,"2,860",1.46,1.440,1.450,1.420,s,06 Nov 2019,05:00PM,1.450,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250,MarketGapDown,1.0000000000000009,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-0.010,-1.92,154,352,0.505,0.510,9,0.52,0.520,0.520,0.505,s,06 Nov 2019,05:00PM,0.510,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214,MarketNoChange,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,0.000,0.00,0,200,0.070,0.075,"3,194",0.07,-,-,-,s,06 Nov 2019,05:00PM,-,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086,MarketClosed,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,0.035,+7.22,70,10,0.510,0.520,200,0.485,0.485,0.520,0.485,s,06 Nov 2019,05:00PM,0.520,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198,MarketNoChange,7.000000000000006,
MAIN MARKET,PROPERTY,'7131,0.000,0.00,0,200,0.240,0.260,190,0.26,-,-,-,s,06 Nov 2019,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131,MarketClosed,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,0.005,+1.35,30,65,0.370,0.380,227,0.37,0.375,0.375,0.375,s,06 Nov 2019,05:00PM,0.375,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120,MarketGapUp,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,0.005,+4.00,915,"41,136",0.125,0.130,"8,473",0.125,0.130,0.130,0.130,s,06 Nov 2019,05:00PM,0.130,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481,MarketGapUp,0.0,
MAIN MARKET,CONSTRUCTION,'5281,0.000,0.00,"7,948",58,0.430,0.435,192,0.435,0.435,0.440,0.425,s,06 Nov 2019,05:00PM,0.435,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281,MarketNoChange,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.000,0.00,40,40,1.990,2.080,10,2.0,2.000,2.000,2.000,s,06 Nov 2019,05:00PM,2.000,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148,MarketNoChange,0.0,
MAIN MARKET,HEALTH CARE,'7191,0.065,+12.15,"3,327",50,0.540,0.650,50,0.535,0.540,0.600,0.530,s,06 Nov 2019,05:00PM,0.600,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191,MarketGapUp,11.999999999999988,
