Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420416000000,20150105,GNB,'0045,,0.035,0.035,0.035,0.035,100000,No change,0
1420502400000,20150106,GNB,'0045,0.035,0.035,0.035,0.035,0.035,10000,No change,0
1420588800000,20150107,GNB,'0045,0.035,0.035,0.035,0.035,0.035,145000,No change,0
1420675200000,20150108,GNB,'0045,0.035,0.035,0.035,0.035,0.035,83200,No change,0
1420761600000,20150109,GNB,'0045,0.035,0.035,0.035,0.035,0.035,150000,No change,0
1421020800000,20150112,GNB,'0045,0.035,0.035,0.035,0.035,0.035,-,Closed,0
1421107200000,20150113,GNB,'0045,0.035,0.035,0.035,0.035,0.035,-,Closed,0
1421193600000,20150114,GNB,'0045,0.035,0.035,0.035,0.035,0.035,-,Closed,0
1421280000000,20150115,GNB,'0045,0.035,0.035,0.035,0.035,0.035,-,Closed,0
1421366400000,20150116,GNB,'0045,0.035,0.035,0.035,0.035,0.035,-,Closed,0
1421625600000,20150119,GNB,'0045,0.035,0.040,0.040,0.040,0.040,20100,No change,0
1421712000000,20150120,GNB,'0045,0.040,0.035,0.035,0.035,0.035,50000,No change,0
1421798400000,20150121,GNB,'0045,0.035,0.035,0.035,0.035,0.035,23200,No change,0
1421884800000,20150122,GNB,'0045,0.035,0.040,0.040,0.040,0.040,50000,No change,0
1421971200000,20150123,GNB,'0045,0.040,0.040,0.040,0.040,0.040,-,Closed,0
1422230400000,20150126,GNB,'0045,0.040,0.040,0.040,0.040,0.040,-,Closed,0
1422316800000,20150127,GNB,'0045,0.040,0.040,0.040,0.040,0.040,-,Closed,0
1422403200000,20150128,GNB,'0045,0.040,0.040,0.040,0.040,0.040,10000,No change,0
1422489600000,20150129,GNB,'0045,0.040,0.040,0.040,0.035,0.035,270000,Decreased,1
1422576000000,20150130,GNB,'0045,0.035,0.040,0.045,0.040,0.040,750200,No change,0
1423008000000,20150204,GNB,'0045,0.040,0.040,0.040,0.040,0.040,905000,No change,0
1423094400000,20150205,GNB,'0045,0.040,0.040,0.040,0.040,0.040,210000,No change,0
1423180800000,20150206,GNB,'0045,0.040,0.045,0.045,0.040,0.040,80200,Decreased,1
1423440000000,20150209,GNB,'0045,0.040,0.040,0.040,0.040,0.040,-,Closed,0
1423526400000,20150210,GNB,'0045,0.040,0.040,0.040,0.040,0.040,5600,No change,0
1423612800000,20150211,GNB,'0045,0.040,0.040,0.045,0.040,0.045,208800,Increased,1
1423699200000,20150212,GNB,'0045,0.045,0.045,0.045,0.045,0.045,-,Closed,0
1423785600000,20150213,GNB,'0045,0.045,0.045,0.045,0.045,0.045,-,Closed,0
1424044800000,20150216,GNB,'0045,0.045,0.045,0.045,0.045,0.045,-,Closed,0
1424131200000,20150217,GNB,'0045,0.045,0.045,0.045,0.045,0.045,200000,No change,0
1424217600000,20150218,GNB,'0045,0.045,0.045,0.045,0.045,0.045,-,Closed,0
1424649600000,20150223,GNB,'0045,0.045,0.045,0.045,0.045,0.045,-,Closed,0
1424736000000,20150224,GNB,'0045,0.045,0.045,0.045,0.045,0.045,-,Closed,0
1424822400000,20150225,GNB,'0045,0.045,0.040,0.040,0.040,0.040,110000,No change,0
1424908800000,20150226,GNB,'0045,0.040,0.040,0.045,0.040,0.045,331100,Increased,1
1424995200000,20150227,GNB,'0045,0.045,0.040,0.040,0.040,0.040,111400,No change,0
