Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,-,-,350,50,1.430,1.440,356,1.43,1.430,1.430,1.430,s,21 Nov 2019,05:00PM,1.430,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-,-,390,5,0.530,0.540,387,0.53,0.530,0.530,0.530,s,21 Nov 2019,05:00PM,0.530,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,-,-,-,"6,395",0.065,0.075,"4,135",0.07,-,-,-,s,21 Nov 2019,05:00PM,-,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,0.005,+0.97,550,50,0.475,0.520,380,0.515,0.500,0.520,0.500,s,21 Nov 2019,05:00PM,0.520,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
MAIN MARKET,PROPERTY,'7131,-,-,-,1,0.210,-,-,0.22,-,-,-,s,21 Nov 2019,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-,-,145,1,0.345,0.350,510,0.35,0.345,0.350,0.345,s,21 Nov 2019,05:00PM,0.350,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-,-,"1,120","5,250",0.130,0.135,"4,173",0.135,0.130,0.135,0.130,s,21 Nov 2019,05:00PM,0.135,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
MAIN MARKET,CONSTRUCTION,'5281,0.015,+3.61,"8,332",5,0.430,0.435,"1,610",0.415,0.415,0.430,0.410,s,21 Nov 2019,05:00PM,0.430,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.010,+0.46,95,18,2.180,2.240,9,2.17,2.170,2.250,2.170,s,21 Nov 2019,05:00PM,2.180,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
MAIN MARKET,HEALTH CARE,'7191,-,-,-,40,0.530,0.600,51,0.53,-,-,-,s,21 Nov 2019,05:00PM,-,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,0.005,+5.00,"4,040",300,0.100,0.110,800,0.1,0.100,0.105,0.100,s,21 Nov 2019,05:00PM,0.105,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,-0.020,-1.31,"3,617","2,017",1.510,1.520,403,1.53,1.560,1.560,1.510,s,21 Nov 2019,05:00PM,1.510,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
MAIN MARKET,FINANCIAL SERVICES,'5139,-,-,"1,626",1,14.980,15.000,377,15.0,14.920,15.260,14.880,s,21 Nov 2019,05:00PM,15.000,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
MAIN MARKET,FINANCIAL SERVICES,'5185,-0.020,-1.00,808,379,1.980,1.990,5,2.01,1.990,2.000,1.980,s,21 Nov 2019,05:00PM,1.990,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,-,-,800,"6,765",0.120,0.125,"7,138",0.12,0.120,0.120,0.120,s,21 Nov 2019,05:00PM,0.120,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
MAIN MARKET,CONSTRUCTION,'7078,-,-,"6,415",121,0.385,0.390,"1,718",0.385,0.390,0.390,0.380,s,21 Nov 2019,05:00PM,0.385,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
