2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
0.175,0.355,0.32,0.3,0.31,0.315,0.31,0.295
0.31,0.385,0.32,0.335,0.32,0.33,0.31,0.32
0.175,0.32,0.28,0.295,0.285,0.3,0.285,0.295
0.31,0.32,0.29,0.33,0.3,0.31,0.295,0.305
57447200,81725700,18931500,28062200,15136600,15020300,5677400,15640600
