2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
0.36,0.395,0.385,0.395,0.39,0.375,0.38,0.38
0.395,0.395,0.405,0.395,0.39,0.395,0.39,0.395
0.36,0.38,0.385,0.38,0.37,0.375,0.38,0.38
0.39,0.38,0.395,0.38,0.375,0.385,0.38,0.395
1278800,560900,1298800,359000,388000,329800,251200,823000
