2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
0.86,0.91,0.895,0.945,0.92
0.905,0.915,0.94,0.96,0.95
0.855,0.84,0.895,0.89,0.91
0.905,0.885,0.935,0.92,0.93
3842900,2852800,6493200,3168100,2557300
