2020-01-08,2020-01-09,2020-01-10,2020-01-13
0.49,0.6,0.505,0.49
0.6,0.6,0.505,0.505
0.49,0.495,0.485,0.475
0.595,0.5,0.49,0.475
8267400,7417200,1673500,1111200
