2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
0.515,0.57,0.56,0.63,0.645
0.58,0.575,0.635,0.665,0.7
0.515,0.54,0.56,0.63,0.645
0.575,0.555,0.625,0.64,0.695
9465700,4427200,16060000,10825600,9362400
