2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
1.54,1.64,1.66,1.6,1.61,1.58,1.59,1.57
1.64,1.67,1.66,1.62,1.61,1.62,1.59,1.62
1.54,1.64,1.6,1.6,1.45,1.57,1.56,1.55
1.63,1.66,1.61,1.62,1.56,1.59,1.57,1.62
1849700,1441200,573600,360700,1969100,367800,330500,417100
