2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
0.78,0.865,0.82,0.835,0.83,0.82,0.85,0.835
0.86,0.875,0.84,0.86,0.835,0.865,0.86,0.84
0.78,0.82,0.8,0.835,0.765,0.82,0.83,0.83
0.855,0.825,0.83,0.845,0.8,0.855,0.83,0.835
52695900,30598600,14150900,25569100,27655000,43911400,18172300,6960600
