2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
1.2,1.28,1.28,1.25,1.25,1.27
1.29,1.28,1.29,1.26,1.27,1.29
1.2,1.24,1.2,1.22,1.25,1.26
1.29,1.25,1.25,1.25,1.27,1.28
3981900,2225900,1020000,804500,522900,840400
