2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
1.11,1.29,1.21,1.22,1.19,1.21,1.2,1.22
1.29,1.29,1.25,1.25,1.21,1.23,1.23,1.32
1.11,1.2,1.19,1.21,1.11,1.18,1.19,1.22
1.29,1.22,1.21,1.22,1.17,1.2,1.21,1.28
18528600,6531500,2210000,2150800,3928400,1589700,1148200,4272900
