2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
1.23,1.36,1.37,1.35,1.31,1.27,1.28,1.26
1.36,1.4,1.37,1.36,1.31,1.31,1.28,1.3
1.23,1.33,1.31,1.31,1.24,1.26,1.25,1.26
1.35,1.38,1.35,1.32,1.25,1.28,1.26,1.28
8087200,5277800,1819100,1087900,1452900,1317700,289800,686200
