2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13
0.645,0.7,0.67,0.685,0.675,0.655
0.7,0.715,0.68,0.685,0.675,0.655
0.645,0.67,0.65,0.67,0.65,0.605
0.69,0.675,0.68,0.67,0.66,0.62
1848300,2471100,675200,1145400,804800,1838500
