Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,0.020,+1.39,"28,015","1,197",1.420,1.460,350,1.44,1.440,1.460,1.420,s,29 Oct 2019,05:00PM,1.460,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-,-,"1,064",104,0.495,0.505,273,0.495,0.500,0.505,0.495,s,29 Oct 2019,05:00PM,0.495,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,-0.005,-7.14,50,"2,250",0.065,0.070,150,0.07,0.065,0.065,0.065,s,29 Oct 2019,05:00PM,0.065,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,0.030,+5.77,"2,611",71,0.490,0.550,90,0.52,0.500,0.550,0.490,s,29 Oct 2019,05:00PM,0.550,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
MAIN MARKET,PROPERTY,'7131,-,-,-,10,0.245,0.270,300,0.24,-,-,-,s,29 Oct 2019,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-,-,"1,565",700,0.370,0.380,360,0.38,0.380,0.385,0.380,s,29 Oct 2019,05:00PM,0.380,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-,-,"28,730","13,593",0.125,0.130,"13,609",0.13,0.130,0.130,0.125,s,29 Oct 2019,05:00PM,0.130,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
MAIN MARKET,CONSTRUCTION,'5281,-,-,"3,927","1,640",0.410,0.415,14,0.415,0.415,0.420,0.415,s,29 Oct 2019,05:00PM,0.415,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,-0.060,-2.80,140,20,2.070,2.200,20,2.14,2.100,2.100,2.080,s,29 Oct 2019,05:00PM,2.080,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
MAIN MARKET,HEALTH CARE,'7191,-,-,-,10,0.520,0.580,52,0.58,-,-,-,s,29 Oct 2019,05:00PM,-,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,0.005,+4.76,"1,443","1,610",0.100,0.110,600,0.105,0.100,0.110,0.100,s,29 Oct 2019,05:00PM,0.110,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,0.010,+0.61,"3,503",340,1.640,1.650,370,1.63,1.650,1.650,1.620,s,29 Oct 2019,05:00PM,1.640,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
MAIN MARKET,FINANCIAL SERVICES,'5139,-0.280,-1.78,383,35,15.460,15.500,219,15.74,16.000,16.000,15.440,s,29 Oct 2019,05:00PM,15.460,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
MAIN MARKET,FINANCIAL SERVICES,'5185,-,-,648,59,1.920,1.930,91,1.93,1.930,1.930,1.920,s,29 Oct 2019,05:00PM,1.930,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,0.005,+4.17,"1,313",750,0.125,0.130,"2,200",0.12,0.120,0.125,0.120,s,29 Oct 2019,05:00PM,0.125,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
MAIN MARKET,CONSTRUCTION,'7078,-0.005,-1.37,"5,943",79,0.360,0.365,"1,585",0.365,0.365,0.365,0.355,s,29 Oct 2019,05:00PM,0.360,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,0.040,+2.14,"90,474",42,1.910,1.920,"13,537",1.87,1.900,1.930,1.890,s,29 Oct 2019,05:00PM,1.910,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5238,0.005,+2.94,"55,655","97,929",0.170,0.175,"28,142",0.17,0.175,0.180,0.170,s,29 Oct 2019,05:00PM,0.175,AIRASIA X BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'2658,0.380,+2.44,23,10,15.700,15.900,3,15.6,15.560,15.980,15.560,s,29 Oct 2019,05:00PM,15.980,AJINOMOTO (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2658
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7609,0.005,+1.22,400,121,0.415,0.420,330,0.41,0.410,0.415,0.410,s,29 Oct 2019,05:00PM,0.415,AJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7609
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5116,0.010,+0.68,24,6,1.470,1.500,60,1.46,1.470,1.470,1.470,s,29 Oct 2019,05:00PM,1.470,AL-`AQAR HEALTHCARE REIT,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5116
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5269,-,-,11,58,0.870,0.895,30,0.87,0.870,0.870,0.870,s,29 Oct 2019,05:00PM,0.870,AL-SALAM REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5269
MAIN MARKET,ENERGY,'5115,-,-,"23,453","10,072",0.100,0.105,"45,687",0.1,0.100,0.105,0.100,s,29 Oct 2019,05:00PM,0.100,ALAM MARITIM RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5115
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'2674,-0.010,-2.22,100,100,0.440,0.460,130,0.45,0.440,0.440,0.440,s,29 Oct 2019,05:00PM,0.440,ALCOM GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2674
MAIN MARKET,FINANCIAL SERVICES,'2488,0.030,+1.10,"65,094",511,2.750,2.760,"3,672",2.73,2.750,2.760,2.680,s,29 Oct 2019,05:00PM,2.760,ALLIANCE BANK MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2488
MAIN MARKET,FINANCIAL SERVICES,'1163,-,-,646,36,13.780,13.800,513,13.8,13.800,13.800,13.780,s,29 Oct 2019,05:00PM,13.800,ALLIANZ MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1163
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'2682,0.025,+10.00,475,200,0.225,0.260,100,0.25,0.225,0.275,0.225,s,29 Oct 2019,05:00PM,0.275,AMALGAMATED INDUSTRIAL STEEL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2682
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'4952,-0.035,-4.43,639,100,0.770,0.780,100,0.79,0.790,0.790,0.755,s,29 Oct 2019,05:00PM,0.755,AMANAH HARTA TANAH PNB,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4952
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5127,-,-,"1,741",562,0.755,0.760,619,0.76,0.765,0.765,0.760,s,29 Oct 2019,05:00PM,0.760,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5127
MAIN MARKET,PROPERTY,'1007,0.005,+1.05,"1,080",199,0.480,0.485,26,0.475,0.475,0.485,0.475,s,29 Oct 2019,05:00PM,0.480,AMCORP PROPERTIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1007
MAIN MARKET,CONSTRUCTION,'5293,-0.030,-1.78,"15,919",548,1.660,1.680,"1,180",1.69,1.690,1.700,1.650,s,29 Oct 2019,05:00PM,1.660,AME ELITE CONSORTIUM BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5293
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5120,-0.005,-1.03,"3,188","1,047",0.480,0.485,"1,822",0.485,0.485,0.485,0.480,s,29 Oct 2019,05:00PM,0.480,AMFIRST REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5120
MAIN MARKET,FINANCIAL SERVICES,'1015,-0.010,-0.25,"32,216","1,762",3.900,3.920,"2,254",3.93,3.930,3.950,3.880,s,29 Oct 2019,05:00PM,3.920,AMMB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1015
MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'7031,-,-,-,150,0.615,-,-,0.615,-,-,-,s,29 Oct 2019,05:00PM,-,AMTEL HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7031
MAIN MARKET,PROPERTY,'5959,-0.050,-4.59,51,"2,139",1.040,1.130,"1,030",1.09,1.040,1.040,1.040,s,29 Oct 2019,05:00PM,1.040,AMVERTON BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5959
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6351,0.050,+0.87,509,2,5.770,5.780,6,5.72,5.750,5.800,5.750,s,29 Oct 2019,05:00PM,5.770,AMWAY (MALAYSIA) HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6351
