Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-09-06,'0198,GDB ,GDB HOLDINGS BERHAD,,0.295,0.305,0.300,0.300,"456,700",1,+0.005 ,+1.69%,increasing,"908,700",0.220 - 0.370,2.00,6.67%,4.18,187.5M,7,1,1.67,0.295 / 0.300,23.22,41.73,,0.5,,"277,600 / 621,300",https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-06,'0106,REXIT ,REXIT BERHAD,,0.6,0.600,0.600,0.600,-,0,0.000 ,0.00%,,"33,200",0.525 - 0.750,3.00,5.00%,4.16,113.6M,14,5,3.00,0.600 / 0.620,20.80,11.61,,0.0,,"25,200 / 2,000",https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-06,'0005,UCREST ,UCREST BERHAD,,0.13999999999999999,0.150,0.140,0.145,"5,553,000",1,+0.005 ,+3.57%,increasing,"3,958,200",0.125 - 0.340,0.00,0.00%,1.69,67.3M,9,2,1.73,0.145 / 0.150,20.17,6.22,,1.4,,"27,200 / 2,396,500",https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-06,'0197,WEGMANS ,WEGMANS HOLDINGS BERHAD,,0.27,0.270,0.265,0.270,"110,000",0,0.000 ,0.00%,,"1,950,400",0.260 - 0.405,0.50,1.85%,3.01,135.0M,9,1,1.78,0.265 / 0.270,19.87,18.71,,0.1,,"10,000 / 17,100",https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-06,'0127,JHM ,JHM CONSOLIDATION BERHAD,,1.15,1.150,1.140,1.150,"243,900",0,0.000 ,0.00%,,"915,600",0.805 - 1.450,2.00,1.74%,6.59,641.2M,17,2,3.38,1.140 / 1.160,19.38,48.05,,0.3,,"38,600 / 13,800",https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-06,'0209,ISTONE ,I-STONE GROUP BERHAD,,0.17500000000000002,0.175,0.170,0.170,"3,513,400",1,-0.005 ,-2.86%,decreasing,"32,947,800",0.150 - 0.275,0.00,0.00%,1.04,207.7M,16,5,5.67,0.170 / 0.175,34.67,3.10,,0.1,,"89,600 / 2,463,800",https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-06,'0040,OPENSYS ,OPENSYS (M) BERHAD,,0.325,0.330,0.325,0.325,"118,100",0,0.000 ,0.00%,,"305,600",0.275 - 0.375,1.50,4.62%,3.32,96.8M,10,1,1.63,0.325 / 0.330,16.60,35.03,,0.4,,"57,300 / 113,100",https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-06,'0201,NOVA ,NOVA WELLNESS GROUP BERHAD,,0.5,0.520,0.495,0.520,"869,000",4,+0.020 ,+4.00%,increasing,"324,700",0.280 - 0.580,0.50,0.96%,3.65,165.2M,14,6,2.17,0.520 / 0.525,15.21,9.30,,2.7,,"5,000 / 30,000",https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-06,'0200,REVENUE ,REVENUE GROUP BERHAD,,1.49,1.540,1.500,1.510,"933,300",2,+0.020 ,+1.34%,increasing,"1,743,600",0.905 - 1.730,0.00,0.00%,3.75,350.3M,40,6,6.16,1.510 / 1.520,15.30,25.59,,0.5,,"18,000 / 12,500",https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-06,'0120,VIS ,VISDYNAMICS HOLDINGS BERHAD,,0.36,0.370,0.355,0.370,"66,800",2,+0.010 ,+2.78%,increasing,"905,100",0.305 - 0.795,1.02,2.76%,3.52,62.6M,10,2,1.54,0.355 / 0.370,14.67,19.13,,0.1,,"23,600 / 15,900",https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
2019-09-06,'0208,GREATEC ,GREATECH TECHNOLOGY BERHAD,,1.2799999999999998,1.380,1.290,1.380,"11,917,800",10,+0.100 ,+7.81%,increasing,"19,634,900",0.635 - 1.380,0.00,0.00%,7.46,863.9M,18,8,5.31,1.370 / 1.380,28.69,17.53,,0.6,,"26,000 / 287,400",https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
2019-09-06,'0126,MICROLN ,MICROLINK SOLUTIONS BERHAD,,0.5800000000000001,0.550,0.550,0.550,"11,400",6,-0.030 ,-5.17%,decreasing,"41,100",0.305 - 0.700,0.00,0.00%,1.74,92.1M,32,0,4.52,0.550 / 0.600,14.30,121.61,,0.3,,"27,600 / 10,000",https://www.klsescreener.com/v2/stocks/view/0126/microlink-solutions-berhad
2019-09-06,'0158,SCC ,SCC HOLDINGS BERHAD,,0.52,0.520,0.520,0.520,400,0,0.000 ,0.00%,,"23,900",0.470 - 0.560,3.40,6.54%,4.30,73.4M,12,1,1.68,0.495 / 0.520,13.90,47.55,,0.0,,"3,000 / 52,700",https://www.klsescreener.com/v2/stocks/view/0158/scc-holdings-berhad
2019-09-06,'0010,IRIS ,IRIS CORPORATION BERHAD,,0.155,0.160,0.155,0.155,"13,699,400",0,0.000 ,0.00%,,"13,048,100",0.125 - 0.195,0.00,0.00%,1.31,459.8M,12,2,1.63,0.150 / 0.155,13.77,7.62,,1.0,,"23,783,300 / 395,700",https://www.klsescreener.com/v2/stocks/view/0010/iris-corporation-berhad
2019-09-06,'0018,LAMBO ,LAMBO GROUP BERHAD,,0.055,0.060,0.055,0.055,"1,083,100",0,0.000 ,0.00%,,"13,320,400",0.050 - 0.160,0.00,0.00%,0.79,115.6M,7,1,0.93,0.055 / 0.060,13.37,4.97,,0.1,,"1,294,500 / 9,393,200",https://www.klsescreener.com/v2/stocks/view/0018/lambo-group-berhad
2019-09-06,'0162,WIDAD ,WIDAD GROUP BERHAD,,0.225,0.230,0.225,0.230,"2,477,000",1,+0.005 ,+2.22%,increasing,"1,819,300",0.215 - 0.390,0.00,0.00%,0.93,564.6M,25,2,3.35,0.225 / 0.230,13.55,9.96,,1.4,,"2,097,000 / 283,400",https://www.klsescreener.com/v2/stocks/view/0162/widad-group-berhad
2019-09-06,'0157,FOCUSP ,FOCUS POINT HOLDINGS BERHAD,,0.42,0.445,0.410,0.430,"1,171,900",2,+0.010 ,+2.38%,increasing,"671,800",0.160 - 0.650,1.88,4.37%,4.59,94.6M,9,1,1.63,0.425 / 0.430,17.38,85.45,,1.7,,"51,000 / 55,900",https://www.klsescreener.com/v2/stocks/view/0157/focus-point-holdings-berhad
2019-09-06,'0193,KAB ,KEJURUTERAAN ASASTERA BERHAD,,0.305,0.340,0.295,0.315,"14,443,100",2,+0.010 ,+3.28%,increasing,"1,783,500",0.185 - 0.340,1.00,3.17%,2.04,111.5M,15,1,1.97,0.310 / 0.315,12.75,37.51,,8.1,,"484,600 / 363,500",https://www.klsescreener.com/v2/stocks/view/0193/kejuruteraan-asastera-berhad
2019-09-06,'0039,GFM ,GFM SERVICES BERHAD,,0.34,0.350,0.340,0.340,"372,300",0,0.000 ,0.00%,,"2,166,400",0.335 - 0.565,1.10,3.24%,2.67,160.1M,13,1,1.62,0.340 / 0.345,12.71,29.14,,0.2,,"119,400 / 120,000",https://www.klsescreener.com/v2/stocks/view/0039/gfm-services-berhad
2019-09-06,'0084,TECFAST ,TECHFAST HOLDINGS BERHAD,,0.295,0.300,0.290,0.300,"101,500",1,+0.005 ,+1.69%,increasing,"1,310,100",0.245 - 0.505,1.00,3.33%,1.42,68.4M,21,2,2.61,0.290 / 0.300,12.35,12.51,,0.1,,"15,000 / 195,700",https://www.klsescreener.com/v2/stocks/view/0084/techfast-holdings-berhad
2019-09-06,'0026,NOVAMSC ,NOVA MSC BERHAD,,0.09000000000000001,0.090,0.080,0.085,"3,132,600",1,-0.005 ,-5.56%,decreasing,"2,133,400",0.080 - 0.185,0.00,0.00%,0.99,63.9M,9,1,1.06,0.085 / 0.090,12.38,7.07,,1.5,,"299,500 / 1,673,400",https://www.klsescreener.com/v2/stocks/view/0026/nova-msc-berhad
2019-09-06,'0187,BCMALL ,BCM ALLIANCE BERHAD,,0.14500000000000002,0.150,0.140,0.140,"2,084,300",1,-0.005 ,-3.45%,decreasing,"373,300",0.140 - 0.250,0.20,1.43%,1.48,59.0M,9,1,1.17,0.140 / 0.145,12.33,22.30,,5.6,,"1,215,800 / 273,400",https://www.klsescreener.com/v2/stocks/view/0187/bcm-alliance-berhad
2019-09-06,'0032,REDTONE ,REDTONE INTERNATIONAL BERHAD,,0.405,0.415,0.400,0.405,"2,198,000",0,0.000 ,0.00%,,"3,434,900",0.150 - 0.465,1.00,2.47%,2.52,307.3M,16,2,1.89,0.405 / 0.410,11.75,23.89,,0.6,,"25,500 / 248,500",https://www.klsescreener.com/v2/stocks/view/0032/redtone-international-berhad
2019-09-06,'0180,KTC ,KIM TECK CHEONG CONSOLIDATED BERHAD,,0.145,0.145,0.145,0.145,"141,000",0,0.000 ,0.00%,,"376,900",0.130 - 0.205,0.00,0.00%,2.32,74.0M,6,0,0.69,0.145 / 0.150,11.05,122.55,,0.4,,"327,000 / 512,500",https://www.klsescreener.com/v2/stocks/view/0180/kim-teck-cheong-consolidated-berhad
2019-09-06,'0146,JFTECH ,JF TECHNOLOGY BERHAD,,0.765,0.770,0.755,0.760,"93,200",1,-0.005 ,-0.65%,decreasing,"77,100",0.640 - 1.020,0.00,0.00%,1.58,159.6M,48,7,5.06,0.760 / 0.770,10.52,10.96,,1.2,,"10,100 / 9,500",https://www.klsescreener.com/v2/stocks/view/0146/jf-technology-berhad
2019-09-06,'0023,IFCAMSC ,IFCA MSC BERHAD,,0.305,0.315,0.305,0.305,"1,173,100",0,0.000 ,0.00%,,"6,051,800",0.185 - 0.520,1.00,3.28%,1.92,185.5M,16,2,1.53,0.305 / 0.310,9.60,15.47,,0.2,,"1,175,500 / 420,100",https://www.klsescreener.com/v2/stocks/view/0023/ifca-msc-berhad
