Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,0.020,+1.42,"14,007",20,1.420,1.430,"2,348",1.41,1.410,1.430,1.410,s,01 Nov 2019,05:00PM,1.430,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,0.020,+4.04,"3,610",505,0.510,0.515,99,0.495,0.505,0.520,0.500,s,01 Nov 2019,05:00PM,0.515,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,-,-,-,"1,400",0.065,0.075,"3,244",0.07,-,-,-,s,01 Nov 2019,05:00PM,-,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,0.005,+1.02,175,10,0.485,0.495,95,0.49,0.490,0.495,0.470,s,01 Nov 2019,05:00PM,0.495,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
MAIN MARKET,PROPERTY,'7131,-0.035,-12.96,89,25,0.235,0.270,362,0.27,0.260,0.260,0.235,s,01 Nov 2019,05:00PM,0.235,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-,-,150,100,0.365,0.370,81,0.37,0.370,0.370,0.370,s,01 Nov 2019,05:00PM,0.370,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-,-,"2,990","24,700",0.125,0.130,"18,221",0.125,0.125,0.130,0.125,s,01 Nov 2019,05:00PM,0.125,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
MAIN MARKET,CONSTRUCTION,'5281,0.015,+3.57,"9,939","2,661",0.430,0.435,"1,649",0.42,0.420,0.440,0.420,s,01 Nov 2019,05:00PM,0.435,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,-0.020,-0.97,381,10,2.060,2.140,260,2.07,2.070,2.090,2.050,s,01 Nov 2019,05:00PM,2.050,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
MAIN MARKET,HEALTH CARE,'7191,0.035,+7.00,701,65,0.535,0.575,50,0.5,0.490,0.560,0.490,s,01 Nov 2019,05:00PM,0.535,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,-0.005,-4.35,200,570,0.105,0.110,60,0.115,0.110,0.110,0.110,s,01 Nov 2019,05:00PM,0.110,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,-0.010,-0.60,"4,512","8,911",1.650,1.660,628,1.66,1.650,1.660,1.630,s,01 Nov 2019,05:00PM,1.650,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
MAIN MARKET,FINANCIAL SERVICES,'5139,0.060,+0.39,152,4,15.220,15.380,10,15.3,15.260,15.400,15.100,s,01 Nov 2019,05:00PM,15.360,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
MAIN MARKET,FINANCIAL SERVICES,'5185,-0.010,-0.52,"1,382",219,1.920,1.930,55,1.94,1.950,1.950,1.930,s,01 Nov 2019,05:00PM,1.930,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,-0.005,-3.85,"2,854","3,050",0.125,0.130,"5,900",0.13,0.125,0.125,0.125,s,01 Nov 2019,05:00PM,0.125,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
MAIN MARKET,CONSTRUCTION,'7078,0.020,+5.13,"72,266","2,410",0.405,0.410,205,0.39,0.405,0.420,0.405,s,01 Nov 2019,05:00PM,0.410,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,-0.010,-0.52,"23,155",2,1.900,1.910,"3,663",1.91,1.910,1.910,1.890,s,01 Nov 2019,05:00PM,1.900,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5238,-,-,"87,904","24,073",0.170,0.175,"37,455",0.17,0.170,0.175,0.170,s,01 Nov 2019,05:00PM,0.170,AIRASIA X BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'2658,-,-,74,26,15.900,15.980,26,15.9,15.900,15.980,15.900,s,01 Nov 2019,05:00PM,15.900,AJINOMOTO (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2658
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7609,-0.005,-1.20,300,"2,426",0.410,0.420,200,0.415,0.415,0.415,0.410,s,01 Nov 2019,05:00PM,0.410,AJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7609
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5116,0.060,+4.05,31,61,1.470,1.540,60,1.48,1.550,1.550,1.540,s,01 Nov 2019,05:00PM,1.540,AL-`AQAR HEALTHCARE REIT,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5116
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5269,0.030,+3.45,11,35,0.870,0.900,208,0.87,0.900,0.900,0.900,s,01 Nov 2019,05:00PM,0.900,AL-SALAM REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5269
MAIN MARKET,ENERGY,'5115,-0.005,-4.76,"14,926","53,855",0.095,0.100,"71,248",0.105,0.100,0.105,0.095,s,01 Nov 2019,05:00PM,0.100,ALAM MARITIM RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5115
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'2674,0.010,+2.27,40,10,0.435,0.450,10,0.44,0.435,0.450,0.435,s,01 Nov 2019,05:00PM,0.450,ALCOM GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2674
MAIN MARKET,FINANCIAL SERVICES,'2488,-,-,"17,287","3,107",2.860,2.880,15,2.88,2.860,2.880,2.830,s,01 Nov 2019,05:00PM,2.880,ALLIANCE BANK MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2488
MAIN MARKET,FINANCIAL SERVICES,'1163,-,-,248,39,13.780,13.800,63,13.8,13.820,13.820,13.780,s,01 Nov 2019,05:00PM,13.800,ALLIANZ MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1163
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'2682,-,-,100,1,0.235,0.260,150,0.235,0.235,0.235,0.235,s,01 Nov 2019,05:00PM,0.235,AMALGAMATED INDUSTRIAL STEEL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2682
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'4952,-,-,50,6,0.770,0.780,42,0.78,0.775,0.780,0.775,s,01 Nov 2019,05:00PM,0.780,AMANAH HARTA TANAH PNB,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4952
