2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14
D&O,D&O,D&O,D&O,D&O,D&O,D&O,D&O,D&O
0.84,0.89,0.875,0.865,0.865,0.845,0.855,0.85,0.88
0.9,0.9,0.885,0.9,0.875,0.865,0.86,0.885,0.895
0.84,0.875,0.86,0.865,0.81,0.845,0.845,0.85,0.88
0.9,0.89,0.865,0.875,0.84,0.855,0.85,0.88,0.88
4763500,3224500,1144500,2800700,3934500,1684300,1178900,4243600,2737500
