2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14
POHKONG,POHKONG,POHKONG,POHKONG,POHKONG
0.55,0.7,0.625,0.59,0.58
0.72,0.7,0.625,0.615,0.58
0.545,0.615,0.595,0.58,0.555
0.705,0.625,0.595,0.585,0.575
25299200,20389100,2976300,3627900,3942800
