2020-01-13,2020-01-14,2020-01-15
HUMEIND,HUMEIND,HUMEIND
1.15,1.23,1.26
1.22,1.27,1.4
1.15,1.19,1.25
1.22,1.25,1.37
1435900,1484900,3996100
