2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15
OWG,OWG,OWG,OWG,OWG
0.57,0.66,0.61,0.625,0.61
0.655,0.695,0.64,0.63,0.66
0.57,0.61,0.61,0.6,0.605
0.645,0.61,0.625,0.61,0.655
4538500,8391900,2373600,1003500,2377900
