2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14
MINHO,MINHO,MINHO,MINHO,MINHO,MINHO
0.345,0.375,0.365,0.39,0.38,0.365
0.39,0.385,0.385,0.39,0.4,0.375
0.34,0.335,0.365,0.36,0.37,0.36
0.39,0.35,0.38,0.38,0.37,0.36
7363200,4660300,2934800,1673500,3004100,3791700
