2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15
SLVEST,SLVEST,SLVEST,SLVEST,SLVEST
0.685,0.765,0.755,0.74,0.745
0.765,0.805,0.755,0.77,0.745
0.685,0.755,0.72,0.73,0.725
0.76,0.755,0.74,0.745,0.73
21979300,19038000,4914900,4677900,3917100
