2020-01-10,2020-01-13,2020-01-14,2020-01-15
KKB,KKB,KKB,KKB
1.52,1.69,1.76,1.77
1.66,1.79,1.81,1.78
1.52,1.68,1.74,1.73
1.66,1.75,1.77,1.75
2836600,2617400,1582900,347900
