2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14
ADVENTA,ADVENTA,ADVENTA,ADVENTA,ADVENTA,ADVENTA
0.65,0.69,0.685,0.69,0.7,0.65
0.7,0.7,0.685,0.695,0.72,0.65
0.65,0.67,0.685,0.685,0.7,0.64
0.7,0.685,0.685,0.69,0.705,0.64
261900,49800,4000,140000,346600,117600
