2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14
CSCSTEL,CSCSTEL,CSCSTEL,CSCSTEL,CSCSTEL,CSCSTEL,CSCSTEL,CSCSTEL,CSCSTEL
1.06,1.17,1.14,1.09,1.1,1.07,1.07,1.08,1.07
1.16,1.19,1.14,1.1,1.1,1.08,1.07,1.08,1.1
1.06,1.14,1.09,1.09,1.04,1.06,1.06,1.05,1.07
1.15,1.14,1.11,1.09,1.06,1.07,1.07,1.07,1.08
1495600,766800,230000,268900,425300,192300,242900,181900,187900
