2020-01-10,2020-01-13,2020-01-14,2020-01-15
MFCB,MFCB,MFCB,MFCB
5.13,5.42,5.41,5.42
5.49,5.49,5.53,5.5
5.13,5.39,5.38,5.42
5.43,5.41,5.46,5.47
3181400,685800,949900,566100
