2020-01-10,2020-01-13,2020-01-14,2020-01-15
VIS,VIS,VIS,VIS
0.62,0.605,0.625,0.67
0.635,0.62,0.685,0.68
0.61,0.595,0.625,0.64
0.615,0.62,0.66,0.67
10618200,6298300,20216500,8074200
