2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14
SERBADK,SERBADK,SERBADK,SERBADK,SERBADK,SERBADK,SERBADK,SERBADK,SERBADK
2.21,2.35,2.48,2.4,2.37,2.32,2.28,2.29,2.3
2.35,2.44,2.52,2.43,2.37,2.36,2.32,2.36,2.32
2.21,2.31,2.37,2.37,2.25,2.27,2.27,2.28,2.25
2.33,2.42,2.4,2.39,2.28,2.27,2.28,2.29,2.27
11041100,14944500,11610800,7781000,16234100,8476900,6822100,7984600,7804100
