2020-01-10,2020-01-13,2020-01-14,2020-01-15
GUNUNG,GUNUNG,GUNUNG,GUNUNG
0.545,0.58,0.56,0.55
0.58,0.585,0.565,0.575
0.545,0.555,0.55,0.55
0.575,0.565,0.55,0.555
10488400,7233600,2008200,5901400
