2020-01-10,2020-01-13,2020-01-14,2020-01-15
TMCLIFE,TMCLIFE,TMCLIFE,TMCLIFE
0.675,0.63,0.635,0.635
0.675,0.655,0.645,0.64
0.625,0.63,0.63,0.62
0.635,0.635,0.645,0.635
1356500,469000,136900,436800
