2020-01-10,2020-01-13,2020-01-14,2020-01-15
TAS,TAS,TAS,TAS
0.255,0.325,0.335,0.29
0.325,0.345,0.335,0.33
0.255,0.32,0.295,0.29
0.315,0.335,0.3,0.325
5213700,6071700,970600,2394000
