2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14
EFORCE,EFORCE,EFORCE,EFORCE,EFORCE,EFORCE,EFORCE,EFORCE,EFORCE
0.515,0.585,0.555,0.55,0.55,0.535,0.525,0.515,0.52
0.585,0.585,0.56,0.575,0.55,0.54,0.53,0.525,0.555
0.51,0.555,0.54,0.55,0.515,0.52,0.51,0.51,0.52
0.58,0.56,0.55,0.56,0.52,0.52,0.515,0.51,0.54
28293000,5936100,2911000,6862400,3236200,5299200,3333300,2334300,13339200
