2020-01-10,2020-01-13,2020-01-14,2020-01-15
PCCS,PCCS,PCCS,PCCS
0.505,0.49,0.475,0.48
0.52,0.495,0.5,0.485
0.49,0.47,0.475,0.455
0.495,0.48,0.48,0.465
21648400,3500000,7380900,4472600
