2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14
MJPERAK,MJPERAK,MJPERAK,MJPERAK,MJPERAK,MJPERAK,MJPERAK,MJPERAK,MJPERAK
0.38,0.415,0.39,0.38,0.385,0.385,0.39,0.4,0.39
0.41,0.415,0.395,0.39,0.385,0.4,0.395,0.4,0.395
0.375,0.385,0.375,0.38,0.37,0.385,0.385,0.385,0.375
0.405,0.39,0.38,0.385,0.38,0.39,0.395,0.39,0.39
1873200,1602200,514300,722700,675400,886800,501100,534200,440700
