Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL,MarketStatus,TickSize,TickSizeRemark
20,1.470,6,0.000,0.00,-,'5116,AL-`AQAR HEALTHCARE REIT,23 Oct 2019,-,1.46,-,MAIN MARKET,-,s,REAL ESTATE INVESTMENT TRUSTS,1.500,6,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5116,MarketClosed,0.0,
21,0.870,50,0.005,+0.58,0.870,'5269,AL-SALAM REAL ESTATE INVESTMENT TRUST,23 Oct 2019,0.900,0.865,0.870,MAIN MARKET,0.900,s,REAL ESTATE INVESTMENT TRUSTS,0.890,20,05:00PM,103,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5269,MarketGapUp,6.000000000000005,
22,0.095,"21,081",0.005,+5.26,0.100,'5115,ALAM MARITIM RESOURCES BERHAD,23 Oct 2019,0.100,0.095,0.095,MAIN MARKET,0.095,s,ENERGY,0.100,"60,654",05:00PM,"74,066",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5115,MarketNoChange,1.0000000000000009,
23,0.440,90,0.005,+1.15,0.440,'2674,ALCOM GROUP BERHAD,23 Oct 2019,0.440,0.435,0.435,MAIN MARKET,0.435,s,INDUSTRIAL PRODUCTS & SERVICES,0.450,410,05:00PM,210,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2674,MarketNoChange,1.0000000000000009,
24,2.760,737,-0.040,-1.42,2.770,'2488,ALLIANCE BANK MALAYSIA BERHAD,23 Oct 2019,2.830,2.81,2.750,MAIN MARKET,2.810,s,FINANCIAL SERVICES,2.770,"1,001",05:00PM,"47,163",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2488,MarketNoChange,4.0000000000000036,
25,13.760,38,-0.040,-0.29,13.800,'1163,ALLIANZ MALAYSIA BERHAD,23 Oct 2019,14.060,13.84,13.780,MAIN MARKET,14.060,s,FINANCIAL SERVICES,13.840,60,05:00PM,78,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1163,MarketGapUp,12.99999999999999,
26,0.235,150,0.000,0.00,-,'2682,AMALGAMATED INDUSTRIAL STEEL BERHAD,23 Oct 2019,-,0.25,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.250,149,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2682,MarketClosed,0.0,
27,0.770,64,0.025,+3.25,0.795,'4952,AMANAH HARTA TANAH PNB,23 Oct 2019,0.795,0.77,0.795,MAIN MARKET,0.795,s,REAL ESTATE INVESTMENT TRUSTS,0.795,699,05:00PM,2,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4952,MarketGapUp,0.0,
28,0.760,248,-0.005,-0.65,0.760,'5127,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,23 Oct 2019,0.760,0.765,0.755,MAIN MARKET,0.760,s,REAL ESTATE INVESTMENT TRUSTS,0.765,180,05:00PM,"4,945",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5127,MarketGapDown,0.0,
29,0.475,482,0.000,0.00,0.475,'1007,AMCORP PROPERTIES BERHAD,23 Oct 2019,0.475,0.475,0.475,MAIN MARKET,0.475,s,PROPERTY,0.490,218,05:00PM,165,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1007,MarketNoChange,0.0,
30,1.600,"4,197",0.000,0.00,1.600,'5293,AME ELITE CONSORTIUM BERHAD,23 Oct 2019,1.620,1.6,1.600,MAIN MARKET,1.610,s,CONSTRUCTION,1.610,63,05:00PM,"19,140",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5293,MarketGapUp,0.0,OpenAndClosePriceMismatch
31,0.480,"2,634",-0.005,-1.02,0.485,'5120,AMFIRST REAL ESTATE INVESTMENT TRUST,23 Oct 2019,0.490,0.49,0.485,MAIN MARKET,0.490,s,REAL ESTATE INVESTMENT TRUSTS,0.485,473,05:00PM,"1,763",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5120,MarketNoChange,1.0000000000000009,
