Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7139,0.000,0.00,"3,405","1,450",0.060,0.065,"4,322",0.065,0.065,0.065,0.060,s,28 Nov 2019,05:00PM,0.065,NICHE CAPITAL EMAS HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7139,MarketNoChange,0.0,
MAIN MARKET,TECHNOLOGY,'0083,-0.040,-4.47,"37,988",395,0.855,0.860,30,0.895,0.895,0.910,0.845,s,28 Nov 2019,05:00PM,0.855,NOTION VTEC BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0083,MarketNoChange,8.000000000000007,
MAIN MARKET,PLANTATION,'5047,0.000,0.00,0,30,1.680,1.900,62,1.9,-,-,-,s,28 Nov 2019,05:00PM,-,NPC RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5047,MarketClosed,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5066,0.025,+4.76,"42,227","1,077",0.545,0.550,70,0.525,0.530,0.575,0.530,s,28 Nov 2019,05:00PM,0.550,NTPM HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5066,MarketGapUp,4.0000000000000036,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5025,0.005,+5.56,"5,659",581,0.095,0.100,"1,580",0.09,0.095,0.095,0.095,s,28 Nov 2019,05:00PM,0.095,NWP HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5025,MarketGapUp,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'4944,0.000,0.00,50,200,0.580,0.595,50,0.595,0.595,0.595,0.595,s,28 Nov 2019,05:00PM,0.595,NYLEX (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4944,MarketNoChange,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5533,-0.010,-2.44,88,52,0.400,0.465,100,0.41,0.405,0.405,0.400,s,28 Nov 2019,05:00PM,0.400,OCB BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5533,MarketGapDown,1.0000000000000009,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'0049,-0.010,-1.98,"2,657",54,0.470,0.485,93,0.505,0.500,0.500,0.470,s,28 Nov 2019,05:00PM,0.495,OCEANCASH PACIFIC BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0049,MarketGapDown,1.0000000000000009,
MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'0172,0.015,+2.54,"82,011",158,0.605,0.610,"1,608",0.59,0.590,0.615,0.590,s,28 Nov 2019,05:00PM,0.605,OCK GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0172,MarketNoChange,3.0000000000000027,
MAIN MARKET,CONSTRUCTION,'7071,0.010,+3.92,"28,710",50,0.255,0.265,"2,625",0.255,0.255,0.265,0.250,s,28 Nov 2019,05:00PM,0.265,OCR GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7071,MarketNoChange,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7140,0.000,0.00,"1,799",13,0.640,0.645,170,0.64,0.640,0.645,0.635,s,28 Nov 2019,05:00PM,0.640,OKA CORPORATION BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7140,MarketNoChange,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'3018,0.000,0.00,820,"8,705",0.100,0.105,"3,755",0.105,0.100,0.105,0.100,s,28 Nov 2019,05:00PM,0.105,OLYMPIA INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3018,MarketGapDown,0.0,OpenAndClosePriceMismatch
MAIN MARKET,TECHNOLOGY,'9008,0.000,0.00,"3,010",460,0.490,0.500,"1,050",0.5,0.500,0.500,0.490,s,28 Nov 2019,05:00PM,0.500,OMESTI BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9008,MarketNoChange,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5260,-0.005,-0.95,577,181,0.520,0.525,12,0.525,0.530,0.530,0.520,s,28 Nov 2019,05:00PM,0.520,ONLY WORLD GROUP HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5260,MarketGapUp,2.0000000000000018,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7107,-0.015,-2.19,605,150,0.670,0.685,200,0.685,0.680,0.680,0.665,s,28 Nov 2019,05:00PM,0.670,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7107,MarketGapDown,2.0000000000000018,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4006,-0.030,-0.46,318,94,6.470,6.490,3,6.5,6.470,6.490,6.470,s,28 Nov 2019,05:00PM,6.470,ORIENTAL HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4006,MarketGapDown,0.0,
MAIN MARKET,PROPERTY,'5827,0.000,0.00,0,110,2.000,2.180,13,2.0,-,-,-,s,28 Nov 2019,05:00PM,-,ORIENTAL INTEREST BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5827,MarketClosed,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5065,-0.030,-2.83,"1,869",266,1.020,1.050,90,1.06,1.050,1.050,1.020,s,28 Nov 2019,05:00PM,1.030,ORNAPAPER BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5065,MarketGapDown,2.0000000000000018,
