name,full_name,symbol
Malaysia Steel Works KL Bhd,Malaysia Steel Works KL Bhd,MSWK
Metronic Global Bhd,Metronic Global Bhd,MTNC
Malayan United Industries Bhd,Malayan United Industries Bhd,MUIB
Nationwide Express,Nationwide Express Holdings Bhd,NEXP
Naim Indah,Naim Indah Corporation Bhd,PEGA
NPC Resources Bhd,NPC Resources Bhd,NPCR
OCB Bhd,OCB Bhd,OCBB
Olympia Industries Bhd,Olympia Industries Bhd,OLYM
Oversea Enterprise Bhd,Oversea Enterprise Bhd,OVER
Pansar Bhd,Pansar Bhd,PANS
PBA Holdings Bhd,PBA Holdings Bhd,PBAH
PDZ Holdings Bhd,PDZ Holdings Bhd,PDZH
Perak Corporation Bhd,Perak Corporation Bhd,PERA
Progressive Impact Corporation Bhd,Progressive Impact Corporation Bhd,PGSV
Pharmaniaga Bhd,Pharmaniaga Bhd,PHMA
PJBumi Bhd,PJBumi Bhd,PJSB
Pantech Group Holdings Bhd,Pantech Group Holdings Bhd,PNTE
Prestariang Bhd,Prestariang Bhd,PSTG
Petra Energy Bhd,Petra Energy Bhd,PTRE
Quality Concrete Holdings Bhd,Quality Concrete Holdings Bhd,QCHB
Ralco Corporation Bhd,Ralco Corporation Bhd,RALC
RGB International Bhd,RGB International Bhd,RGBI
Reliance Pacific,Reliance Pacific Bhd,AVIL
Samchem Holdings Bhd,Samchem Holdings Bhd,SAHB
Scicom MSC Bhd,Scicom MSC Bhd,SCCM
Scomi Energy Services Bhd,Scomi Energy Services Bhd,SCES
See Hup Consolidated Bhd,See Hup Consolidated Bhd,SCHB
SCH Group Bhd,SCH Group Bhd,SCHG
SEG International Bhd,SEG International Bhd,SEDU
Seni Jaya Corporation Bhd,Seni Jaya Corporation Bhd,SENI
Seremban Engineering Bhd,Seremban Engineering Bhd,SERE
SKB Shutters Corporation Bhd,SKB Shutters Corporation Bhd,SKBC
Salcon Bhd,Salcon Engineering Berhad,SLCN
DWL Resources,DWL Resources Bhd,DWLR
Star Media Group Bhd,Star Media Group Bhd,STAR
Suria Capital Holdings Bhd,Suria Capital Holdings Bhd,SURI
Suiwah Corporation Bhd,Suiwah Corporation Bhd,SWAH
Ranhill Holdings,Ranhill Holdings Ltd,RANH
Shin Yang Shipping Corporation Bhd,Shin Yang Shipping Corporation Bhd,SYSC
Tasco Bhd,Tasco Bhd,TASC
Texchem Resources Bhd,Texchem Resources Bhd,TEXC
Teck Guan Perdana Bhd,Teck Guan Perdana Bhd,TGPB
TH Heavy Engineering Bhd,TH Heavy Engineering Bhd,THHE
T7 Global,T7 Global Bhd,TGLO
TMC Life Sciences Bhd,TMC Life Sciences Bhd,TMCN
Tiong Nam Logistics Holdings Bhd,Tiong Nam Logistics Holdings Bhd,TNTT
Toyo Ink Group Bhd,Toyo Ink Group Bhd,TOYG
Turbo Mech Bhd,Turbo Mech Bhd,TURB
Ta Win Holdings Bhd,Ta Win Holdings Bhd,TWHB
Taliworks Corporation Bhd,Taliworks Corporation Bhd,TWRK
Tex Cycle Technology M Bhd,Tex Cycle Technology M Bhd,TXCY
Unimech Group Bhd,Unimech Group Bhd,UMEC
UMS Holdings Bhd,UMS Holdings Bhd,UMSH
Utusan Melayu Malaysia Bhd,Utusan Melayu Malaysia Bhd,UTUS
Uzma Bhd,Uzma Bhd,UZMA
Vertice,Vertice Bhd,VERT
Warisan TC Holdings Bhd,Warisan TC Holdings Bhd,WATC
Widetech Malaysia Bhd,Widetech Malaysia Bhd,WIDE
Woodlandor Holdings Bhd,Woodlandor Holdings Bhd,WLAN
XOX Bhd,XOX Bhd,XOXB
Kim Teck Cheong Consolidated Bhd,Kim Teck Cheong Consolidated Bhd,KIMT
MMS Ventures Bhd,MMS Ventures Bhd,MMST
Red Sena Bhd,Red Sena Bhd,RED
Macpie,Macpie Bhd,MACP
MMAG Holdings,MMAG Holdings Bhd,MMAG
Chin Hin Bhd,Chin Hin Group Bhd,CHIU
Vortex Consolidated,Vortex Consolidated Bhd,VORT
Vivocom Intl Holdings Bhd,Vivocom Intl Holdings Bhd,VIVO
myNEWS,myNEWS Holdings Bhd,MYNE
Orion lXL,Orion lXL Bhd,ORIO
Lambo,Lambo Group Bhd,LAMB
Pecca Group,Pecca Group Bhd,PECC
LKL International Bhd,LKL International Bhd,LKLI
Salutica Bhd,Salutica Bhd,SALU
Gabungan,Gabungan AQRS Bhd,GAQR
Dancomech,Dancomech Holdings Bhd,DNCO
Mega Sun City,Mega Sun City Holdings Bhd,MESC
OCR Bhd,OCR Group Bhd,OCRGq
HSS Engineers,HSS Engineers Bhd,HSSE
Solution Engineering,Solution Engineering Holdings Bhd,SLEG
Perak Transit,Perak Transit Bhd,PERT
KYM Bhd,KYM Holdings Bhd,KYMH
Leader Steel Bhd,Leader Steel Holdings Bhd,LEAD
Metrod Bhd,Metrod Holdings Bhd,MROD
NWP Bhd,NWP Holdings Bhd,NWPH
SMISoration Bhd,SMIS Corporation Bhd,SMBH
Transocean Bhd,Transocean Holdings Bhd,TOCE
Wang-Zheng Bhd,Wang-Zheng Bhd,WGZH
Fintec Global,Fintec Global Bhd,FINT
Advance Info Marketing,Advance Information Marketing Bhd,AIMD
Ancom Logistics,Ancom Logistics Bhd,ANCO
Asia Media,Asia Media Group Bhd,ASMG
Asia Poly,Asia Poly Holdings Bhd,ASPY
AT Systematization,AT Systematization Bhd,ATSM
Borneo Aqua Harvest,Borneo Aqua Harvest Bhd,BAHV
Barakah Offshore Petroleum,Barakah Offshore Petroleum Bhd,BARA
BCM Alliance,BCM Alliance Bhd,BCMA
Brite Tech,Brite Tech Bhd,BECH
China Automobile Parts,China Automobile Parts Holdings Ltd,CAPH
Careplus Group,Careplus Group Bhd,CARE
ConnectCounty,ConnectCounty Holdings Bhd,CCTY
DGB Asia,DGB Asia Bhd,DGBA
Diversified Gateway Solutions,Diversified Gateway Solutions Bhd,DGSB
Digistar,Digistar Corporation Bhd,DIGS
Econpile,Econpile Holdings Bhd,ECOH
Eduspec,Eduspec Holdings Bhd,EDUS
EITA Resources,EITA Resources Bhd,EITA
ELK-Desa Resources,ELK-Desa Resources Bhd,ELKD
Elsoft Research,Elsoft Research Bhd,ELSR
Focus Dynamics,Focus Dynamics Group Bhd,FCDY
G Neptune,G Neptune Bhd,GNET
Green Ocean,Green Ocean Corporation Bhd,GOCE
Grand Central Enterprises,Grand Central Enterprises Bhd,GRAN
Grand-Flo,Grand-Flo Bhd,GRFL
Greenyield,Greenyield Bhd,GRYB
Genetec Tech,Genetec Technology Bhd,GTCY
Heng Huat Resources,Heng Huat Resources Group Bhd,HENG
Hiap Huat,Hiap Huat Holdings Bhd,HIAP
Icon Offshore,Icon Offshore Bhd,ICON
IFCA MSC,IFCA MSC Bhd,IFCA
Ideal Jacobs,Ideal Jacobs Malaysia Corporation Bhd,WIDA
Inix Tech,Inix Technologies Holdings Bhd,INIX
Innity Corporation,Innity Corporation Bhd,INNY
Insas Pref,Insas Bhd Pref,INSS_p
IRIS Corporation,IRIS Corporation Bhd,IRIB
JAG,JAG Bhd,JAGB
Kanger Intl,Kanger International Bhd,KANG
Karyon Industries,Karyon Industries Bhd,KARY
Kelington Group,Kelington Group Bhd,KELG
K-One Tech,K-One Technology Bhd,KONE
Kronologi Asia,Kronologi Asia Bhd,KRON
Landmarks,Landmarks Bhd,LMHS
YBS Intl,YBS International Bhd,YBSI
Lingkaran Trans Kota,Lingkaran Trans Kota Holdings Bhd,LTKH
Microlink Solutions,Microlink Solutions Bhd,MCRK
Mikro MSC,Mikro MSC Bhd,MIKB
Mlabs Systems,Mlabs Systems Bhd,MLBS
M-Mode,M-Mode Bhd,ECOB
M N C Wireless,M N C Wireless Bhd,MNCW
MQ Tech,MQ Technology Bhd,MQTE
M3 Tech Asia,M3 Technologies Asia Bhd,MTAB
mTouche Tech,mTouche Technology Bhd,MTOU
Mexter Tech,Mexter Technology Bhd,LYCH
NetX,NetX Holdings Bhd,NETX
Nexgram,Nexgram Holdings Bhd,NEXG
N2N Connect,N2N Connect Bhd,NNCB
Nova MSC,Nova MSC Bhd,NOVS
OCK Group,OCK Group Bhd,OCKG
OpenSys M,OpenSys M Bhd,OPYS
OSK Ventures Intl,OSK Ventures International Bhd,OSKV
Pasukhas Group,Pasukhas Group Bhd,PASU
PESTECH Intl,PESTECH International Bhd,PEIN
Pan Malaysia,Pan Malaysia Holdings Bhd,PGKN
PeterLabs,PeterLabs Holdings Bhd,PLHB
Plastrade Tech,Plastrade Technology Bhd,PLTD
UCrest,UCrest Bhd,UCRE
Puncak Niaga,Puncak Niaga Holdings Bhd,PNHB
PUC,PUC Bhd,PUCB
Straits Inter Logistics,Straits Inter Logistics Bhd,STRA
Reach Energy,Reach Energy Bhd,RESE
Rev Asia,Rev Asia Bhd,REVA
Rexit,Rexit Bhd,REXT
Redtone International,Redtone International Bhd,RTON
Sasbadi,Sasbadi Holdings Bhd,SAHO
Sanichi Techn,Sanichi Technology Bhd,SAIH
SCC,SCC Holdings Bhd,SCCH
SC Estate Builder,SC Estate Builder Bhd,SCST
Supercomnet Tech,Supercomnet Technologies Bhd,SCTH
Marine General,Marine & General Bhd,MARI
Shangri La Hotels Malaysia,Shangri La Hotels Malaysia Bhd,SHGM
Silver Ridge,Silver Ridge Holdings Bhd,SIVR
SMRT,SMRT Holdings Bhd,SMRS
Solid Automotive,Solid Automotive Bhd,SOIL
DWL Resources,DWL Resources Bhd,DWLRq
Systech,Systech Bhd,SYST
Sunzen Biotech,Sunzen Biotech Bhd,SZBB
Techfast,Techfast Holdings Bhd,TCHF
TFP Solutions,TFP Solutions Bhd,TFPS
Titijaya Land,Titijaya Land Bhd,TITI
TechnoDex,TechnoDex Bhd,TOEX
VisDynamics,VisDynamics Holdings Bhd,VSDY
Vsolar Group,Vsolar Group Bhd,VSOL
Xinghe,Xinghe Holdings Bhd,XINH
YGL Convergence,YGL Convergence Bhd,YGLC
Yong Tai,Yong Tai Bhd,YONG
YTL Hospitality REIT,YTL Hospitality REIT,YTLR
Ann Joo Resources Pref,Ann Joo Resources Bhd Pref,ANNJq
S P Setia Pref,S P Setia Bhd Pref,SETIq
Yong Tai Pref,Yong Tai Bhd Pref,YONGq
Rhone Ma,Rhone Ma Holdings Bhd,RHON
FoundPac,FoundPac Group Bhd,FOUN
HLT Global,HLT Global Bhd,HLTG
Matang,Matang Bhd,MATA
KIP REIT,KIP Real Estate Investment Trust,KIPR
Serba Dinamik,Serba Dinamik Holdings Bhd,SERB
Federal International,Federal International Holdings Bhd,FIHBq
Eco World Intl,Eco World International Bhd,ECOD
Eversafe Rubber,Eversafe Rubber Bhd,EVES
Cabnet Holdings,Cabnet Holdings Bhd,CABN
Inta Bina Group,Inta Bina Group Bhd,INTA
Advancecon Holdings,Advancecon Holdings Bhd,ADVN
Lotte Chemical,Lotte Chemical Titan Holding BHD,LOTT
MRCB-Quill Unit,MRCB-Quill REIT Unit,MQRE
JF Tech,JF Technology BHD,JFTB
LBS Bina Pref,LBS Bina Group Bhd Pref,LBSBq
Hektar REIT,Hektar Real Estate Investment Trust,HEKR
Kejuruteraan Asastera,Kejuruteraan Asastera Bhd,KEJU
Sime Darby Plantation,Sime Darby Plantation Bhd,SIPL
Sime Darby Property,Sime Darby Property Bhd,SIPR
Asia Poly Pref,Asia Poly Holdings Bhd Pref,ASPYq
ATTA Global Pref,ATTA Global Group Bhd Pref,ATTAq
MMAG Pref,MMAG Holdings Bhd Pref,MMAGq
Asdion,Asdion Bhd,ASDN
Binasat Communications,Binasat Communications Bhd,BINC
UOA REIT,UOA Real Estate Investment Trust,UOAR
Amanah Harta Tanah,Amanah Harta Tanah PNB,AHBM
Metro Healthcare,Metro Healthcare Berhad,METO
GDB,GDB Holdings Bhd,GDBH
QES,QES Group Bhd,QESG
Tri-Mode,Tri-Mode System M Bhd,TRIM
GFM Services,GFM Services Bhd,GFMS
Atrium,Atrium Real Estate Investment Trust,ATRL
AmFIRST,AmFIRST Real Estate Investment Trust,AMFL
AmanahRaya Real Estate,AmanahRaya Real Estate Investment Trust,AMRY
Tower Real Estate,Tower Real Estate Investment Trust,TWRE
MI Technovation,MI Technovation Bhd,MITE
Revenue Group,Revenue Group Bhd,REVE
Radiant Globaltech,Radiant Globaltech Bhd,RADI
Nova Wellness,Nova Wellness Group Bhd,NOVW
Securemetric,Securemetric Berhad,SECU
Techbond,Techbond Group Bhd,TECB
Wegmans,Wegmans Holdings Berhad,WEGM
Topvision Eye Specialist,Topvision Eye Specialist,TOPV
CRG,CRG Inc,CRGI
Gagasan Nadi Cergas,Gagasan Nadi Cergas Berhad,GAGA
Dpi,Dpi Holdings Berhad,DPIH
Uni Wall Aps Holdings,Uni Wall Aps Holdings,UNIW
Supreme Consolidated Resources,Supreme Consolidated Resources,SUPR
Perdana Petroleum,Perdana Petroleum Bhd,PTRD
Smile Link Healthcare,Smile-Link Healthcare Global Bhd,SMIL
Leong Hup International Berhad,Leong Hup International Berhad,LEOG
Greatech Technology,Greatech Technology Bhd,GREA
HPMT Holdings,HPMT Holdings Bhd,HPMT
Mestron Holdings,Mestron Holdings,MEST
Parlo Bhd,Parlo Bhd,PARL
Mtag Group Berhad,Mtag Group Berhad,MTAG
