name,full_name,symbol
GUH,GUH Holdings Bhd,GUHB
Heineken,Heineken Bhd,HEIN
Gunung Capital,Gunung Capital Bhd,GUNU
GuocoLand,GuocoLand (Malaysia) Bhd,GUOL
Goodway Integrated,Goodway Integrated Industries,GWAY
Hai O Enterprise,Hai O Enterprise Bhd,HAIO
Harbour Link,Harbour Link Group Bhd,HARR
Anzo Holdings,Anzo Holdings Bhd,ANZO
HB Global,HB Global Ltd,HBGL
HCK Capital,HCK Capital Group Bhd,HCKC
Handal Resources,Handal Resources Bhd,HDEB
HeiTech Padu,HeiTech Padu Bhd,HEIT
HeveaBoard,HeveaBoard Bhd,HEVE
Ho Hup Construction,Ho Hup Construction Company,HHCS
Hil Industries,Hil Industries Bhd,HILI
Harn Len Corp,Harn Len Corporation Bhd,HLEN
Hextar Global,Hextar Global Bhd,HEXT
Hong Leong Ind,Hong Leong Industries Bhd,HLIB
Hock Heng Stone,Hock Heng Stone Industries Bhd,HOCK
Homeritz Corp,Homeritz Corporation Bhd,HOME
Ho Wah Genting,Ho Wah Genting Bhd,HOWA
Hup Seng Industries,Hup Seng Industries Bhd,HSIB
Hock Seng Lee,Hock Seng Lee Bhd,HSLB
Harrisons,Harrisons Holdings (Malaysia),HSON
Hiap Teck Venture,Hiap Teck Venture Bhd,HTVE
Hua Yang,Hua Yang Bhd,HUAY
HUBLine,HUBLine Bhd,HUBE
Hume Industries,Hume Industries Bhd,HUIN
Hwa Tai Industries,Hwa Tai Industries Bhd,HWAT
Hexza Corp,Hexza Corporation Bhd,HXZS
I-Berhad,I-Berhad,IBHD
Ibraco,Ibraco Bhd,IBRC
IJM Plantations,IJM Plantations Bhd,IJMP
Inch Kenneth Kajang Rubber,Inch Kenneth Kajang Rubber PLC,IKEN
Integrated Logistics,Integrated Logistics Bhd,ILBM
Imaspro Corp,Imaspro Corporation Bhd,IMSP
Inari Amertron,Inari Amertron Bhd,INAR
Industronics,Industronics Bhd,INDU
