Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL
102,0.435,20,0.015,+3.49,0.445,'7154,CAELY HOLDINGS BHD,25 Oct 2019,0.445,0.43,0.430,MAIN MARKET,0.435,s,CONSUMER PRODUCTS & SERVICES,0.445,237,05:00PM,230,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7154
103,2.380,"1,118",-0.060,-2.46,2.380,'2852,CAHYA MATA SARAWAK BERHAD,25 Oct 2019,2.460,2.44,2.380,MAIN MARKET,2.440,s,INDUSTRIAL PRODUCTS & SERVICES,2.400,"3,149",05:00PM,"6,609",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2852
104,0.220,150,-,-,-,'7128,CAM RESOURCES BERHAD,25 Oct 2019,-,0.22,-,MAIN MARKET,-,s,CONSUMER PRODUCTS & SERVICES,0.250,513,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7128
105,3.330,1,-0.040,-1.18,3.340,'5105,CAN-ONE BERHAD,25 Oct 2019,3.360,3.38,3.310,MAIN MARKET,3.360,s,INDUSTRIAL PRODUCTS & SERVICES,3.340,4,05:00PM,615,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5105
106,1.030,"2,622",-,-,1.040,'5180,CAPITALAND MALAYSIA MALL TRUST,25 Oct 2019,1.040,1.04,1.030,MAIN MARKET,1.030,s,REAL ESTATE INVESTMENT TRUSTS,1.040,422,05:00PM,"1,849",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5180
107,1.240,700,-0.040,-3.13,1.240,'5257,CARIMIN PETROLEUM BERHAD,25 Oct 2019,1.280,1.28,1.230,MAIN MARKET,1.280,s,ENERGY,1.250,10,05:00PM,"16,297",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5257
108,2.250,4,-0.040,-1.63,2.410,'5245,CARING PHARMACY GROUP BERHAD,25 Oct 2019,2.440,2.45,2.400,MAIN MARKET,2.440,s,CONSUMER PRODUCTS & SERVICES,2.410,20,05:00PM,300,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5245
109,26.800,42,-0.120,-0.45,26.800,'2836,CARLSBERG BREWERY MALAYSIA BERHAD,25 Oct 2019,26.980,26.92,26.640,MAIN MARKET,26.700,s,CONSUMER PRODUCTS & SERVICES,26.940,10,05:00PM,680,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2836
110,0.800,621,-0.005,-0.62,0.800,'7076,CB INDUSTRIAL PRODUCT HOLDING BERHAD,25 Oct 2019,0.805,0.805,0.800,MAIN MARKET,0.805,s,INDUSTRIAL PRODUCTS & SERVICES,0.810,80,05:00PM,869,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7076
111,0.520,874,0.005,+0.97,0.520,'7035,CCK CONSOLIDATED HOLDINGS BERHAD,25 Oct 2019,0.530,0.515,0.515,MAIN MARKET,0.515,s,CONSUMER PRODUCTS & SERVICES,0.525,"2,756",05:00PM,"16,168",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7035
112,0.125,"2,259",-0.010,-7.41,0.125,'5195,CENSOF HOLDINGS BERHAD,25 Oct 2019,0.130,0.135,0.125,MAIN MARKET,0.130,s,TECHNOLOGY,0.130,"1,150",05:00PM,"1,951",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5195
113,0.450,100,-,-,-,'8052,CENTRAL GLOBAL BERHAD,25 Oct 2019,-,0.525,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,-,-,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8052
114,0.485,220,-,-,-,'8982,CEPATWAWASAN GROUP BERHAD,25 Oct 2019,-,0.49,-,MAIN MARKET,-,s,PLANTATION,0.490,"1,000",05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8982
115,0.280,300,0.015,+5.00,0.315,'7209,CHEETAH HOLDINGS BERHAD,25 Oct 2019,0.315,0.3,0.315,MAIN MARKET,0.315,s,CONSUMER PRODUCTS & SERVICES,0.315,24,05:00PM,38,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7209
116,1.570,74,-,-,-,'2879,CHEMICAL COMPANY OF MALAYSIA BERHAD,25 Oct 2019,-,1.56,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,1.590,12,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2879
117,0.775,105,0.005,+0.65,0.775,'5273,CHIN HIN GROUP BERHAD,25 Oct 2019,0.775,0.77,0.770,MAIN MARKET,0.770,s,INDUSTRIAL PRODUCTS & SERVICES,0.780,"1,094",05:00PM,605,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5273
118,0.280,100,-,-,0.285,'7187,CHIN HIN GROUP PROPERTY BERHAD,25 Oct 2019,0.285,0.285,0.275,MAIN MARKET,0.275,s,TRANSPORTATION & LOGISTICS,0.285,120,05:00PM,36,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7187
