Market,Sector,Company,Code,LACP,Open,High,Low,Close,Volume,MarketStatus,Change,TickSize,TickSizeRemark,Remark,BursaURL
MAIN MARKET,ENERGY,CARIMIN PETROLEUM BERHAD,'5257,1.24,1.24,1.330,1.240,1.33,64200,MarketNoChange,0.09,9.000000000000009,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5257
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,SUNWAY BERHAD,'5211,1.7,1.7,1.800,1.700,1.8,53189,MarketNoChange,0.1,10.000000000000009,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5211
