Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,0.020,+1.40,"26,285","1,087",1.410,1.450,"5,000",1.43,1.430,1.450,1.410,s,04 Nov 2019,05:00PM,1.450,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-,-,737,239,0.510,0.515,159,0.515,0.515,0.515,0.510,s,04 Nov 2019,05:00PM,0.515,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,-0.005,-7.14,"1,500","5,216",0.065,0.070,500,0.07,0.070,0.070,0.065,s,04 Nov 2019,05:00PM,0.065,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,-0.010,-2.02,368,10,0.490,0.520,"1,050",0.495,0.475,0.485,0.475,s,04 Nov 2019,05:00PM,0.485,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
MAIN MARKET,PROPERTY,'7131,-,-,-,200,0.240,0.260,270,0.235,-,-,-,s,04 Nov 2019,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,0.010,+2.70,"6,282",40,0.375,0.380,169,0.37,0.385,0.385,0.370,s,04 Nov 2019,05:00PM,0.380,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-,-,"3,380","21,523",0.125,0.130,"20,256",0.125,0.125,0.125,0.125,s,04 Nov 2019,05:00PM,0.125,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
MAIN MARKET,CONSTRUCTION,'5281,-0.010,-2.30,"7,594","1,551",0.425,0.430,318,0.435,0.435,0.440,0.425,s,04 Nov 2019,05:00PM,0.425,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.050,+2.44,20,50,2.000,2.140,60,2.05,2.100,2.100,2.100,s,04 Nov 2019,05:00PM,2.100,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
MAIN MARKET,HEALTH CARE,'7191,-,-,-,150,0.505,0.580,52,0.535,-,-,-,s,04 Nov 2019,05:00PM,-,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,-,-,"1,010",990,0.110,0.115,"2,525",0.11,0.110,0.110,0.110,s,04 Nov 2019,05:00PM,0.110,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,-0.030,-1.82,"5,172","5,900",1.610,1.620,"7,920",1.65,1.650,1.650,1.610,s,04 Nov 2019,05:00PM,1.620,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
MAIN MARKET,FINANCIAL SERVICES,'5139,-0.180,-1.17,"1,861",65,15.080,15.180,75,15.36,15.120,15.400,15.080,s,04 Nov 2019,05:00PM,15.180,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
MAIN MARKET,FINANCIAL SERVICES,'5185,-,-,910,72,1.930,1.940,239,1.93,1.940,1.950,1.930,s,04 Nov 2019,05:00PM,1.930,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,-,-,"6,601",320,0.125,0.130,"3,299",0.125,0.125,0.130,0.125,s,04 Nov 2019,05:00PM,0.125,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
MAIN MARKET,CONSTRUCTION,'7078,-0.020,-4.88,"17,015",137,0.390,0.395,300,0.41,0.415,0.415,0.385,s,04 Nov 2019,05:00PM,0.390,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,0.010,+0.53,"64,413","6,083",1.900,1.910,"18,010",1.9,1.900,1.930,1.890,s,04 Nov 2019,05:00PM,1.910,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099
