,BoardType,Name,Code,BursaURL,Page
001,main_market,7-ELEVEN MALAYSIA HOLDINGS BERHAD,'5250,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250,http://www.7eleven.com.my
002,main_market,A-RANK BERHAD,'7214,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214,http://www.arank.com.my
003,main_market,ABLEGROUP BERHAD,'7086,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086,http://www.ablegroup.com.my/
004,main_market,ABM FUJIYA BERHAD,'5198,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198,http://www.abmfujiya.com.my
005,main_market,ACME HOLDINGS BERHAD,'7131,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131,https://www.acmeholdings.com.my
006,main_market,ACOUSTECH BERHAD,'7120,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120,http://www.acoustech.com.my/
007,main_market,ADVANCE SYNERGY BERHAD,'1481,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481,http://www.asb.com.my
008,main_market,ADVANCECON HOLDINGS BERHAD,'5281,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281,http://www.advancecon.com.my/
009,main_market,ADVANCED PACKAGING TECHNOLOGY (M) BHD,'9148,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148,http://www.advancedpack.com.my
010,main_market,ADVENTA BERHAD,'7191,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191,http://www.adventa.com.my
011,main_market,AE MULTI HOLDINGS BERHAD,'7146,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146,http://www.amallionpcb.com
012,main_market,AEON CO. (M) BHD,'6599,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599,http://www.aeonretail.com.my
013,main_market,AEON CREDIT SERVICE (M) BERHAD,'5139,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139,https://www.aeoncredit.com.my/
014,main_market,AFFIN BANK BERHAD,'5185,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185,http://www.affin.com.my
015,main_market,AHB HOLDINGS BERHAD,'7315,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315,http://www.ahb.com.my
016,main_market,AHMAD ZAKI RESOURCES BERHAD,'7078,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078,http://www.azrb.com
017,main_market,AIRASIA GROUP BERHAD,'5099,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099,http://www.airasia.com
018,main_market,AIRASIA X BERHAD,'5238,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238,http://www.airasiax.com
019,main_market,AJINOMOTO (MALAYSIA) BERHAD,'2658,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2658,http://www.ajinomoto.com.my
020,main_market,AJIYA BERHAD,'7609,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7609,http://www.ajiya.com
021,main_market,AL-`AQAR HEALTHCARE REIT,'5116,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5116,http://www.alaqar.com.my/
022,main_market,AL-SALAM REAL ESTATE INVESTMENT TRUST,'5269,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5269,http://www.alsalamreit.com.my
023,main_market,ALAM MARITIM RESOURCES BERHAD,'5115,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5115,http://www.alam-maritim.com.my
024,main_market,ALCOM GROUP BERHAD,'2674,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2674,http://www.alcom.com.my
