Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
22/8/2019,'5246,WESTPORTS HOLDINGS BERHAD,4.02,70487,"Transportation & Logistics, Main Market",Main Market,3.320-4.080,17.42,13.07,0.73,23.07,3.25,23.71,5.47,13708.2,https://www.klsescreener.com/v2/stocks/view/5246/westports-holdings-berhad
22/8/2019,'7189,MB WORLD GROUP BERHAD,1.45,0,"Property, Main Market",Main Market,1.390-1.940,36.66,10,1.58,3.95,6.9,23.21,0.92,228.2,https://www.klsescreener.com/v2/stocks/view/7189/mb-world-group-berhad
22/8/2019,'7052,PADINI HOLDINGS BERHAD,3.29,1734,"Consumer Products & Services, Main Market",Main Market,3.280-6.080,24.79,11.5,1.08,13.27,3.5,22.96,3.05,2164.52,https://www.klsescreener.com/v2/stocks/view/7052/padini-holdings-berhad
22/8/2019,'5263,SUNWAY CONSTRUCTION GROUP BERHAD,2.04,1357,"Construction, Main Market",Main Market,1.310-2.180,10.61,7,0.47,19.23,3.43,22.58,4.34,2637.52,https://www.klsescreener.com/v2/stocks/view/5263/sunway-construction-group-berhad
22/8/2019,'6012,MAXIS BERHAD,5.46,13796,"Telecommunications & Media, Main Market",Main Market,5.140-5.880,20.27,20,0.91,26.94,3.66,22.27,6,42699.81,https://www.klsescreener.com/v2/stocks/view/6012/maxis-berhad
22/8/2019,'1818,BURSA MALAYSIA BERHAD,6.34,4546,"Financial Services, Main Market",Main Market,5.920-7.840,24.15,22.11,1.11,26.25,3.49,21.95,5.76,5125.91,https://www.klsescreener.com/v2/stocks/view/1818/bursa-malaysia-berhad
22/8/2019,'5139,AEON CREDIT SERVICE (M) BERHAD,15.82,10,"Financial Services, Main Market",Main Market,14.640-17.200,135.51,44.6,6.24,11.67,2.82,21.72,2.54,3969.14,https://www.klsescreener.com/v2/stocks/view/5139/aeon-credit-service-m-berhad
22/8/2019,'3301,HONG LEONG INDUSTRIES BERHAD,10.8,48,"Consumer Products & Services, Main Market",Main Market,8.430-11.480,107.88,50,5.28,10.01,4.63,20.43,2.05,3541.36,https://www.klsescreener.com/v2/stocks/view/3301/hong-leong-industries-berhad
22/8/2019,'0099,SCICOM (MSC) BERHAD,0.875,29087,"Industrial Products & Services, Main Market",Main Market,0.800-1.900,5.5,7.5,0.27,15.9,8.57,20.38,3.24,311.02,https://www.klsescreener.com/v2/stocks/view/0099/scicom-msc-berhad
22/8/2019,'1562,BERJAYA SPORTS TOTO BERHAD,2.66,11650,"Consumer Products & Services, Main Market",Main Market,2.020-2.810,10.97,12,0.54,24.26,4.51,20.31,4.93,3593.74,https://www.klsescreener.com/v2/stocks/view/1562/berjaya-sports-toto-berhad
22/8/2019,'7089,LII HEN INDUSTRIES BHD.,2.9,814,"Consumer Products & Services, Main Market",Main Market,2.580-3.260,37.17,15.5,1.89,7.8,5.34,19.7,1.54,522,https://www.klsescreener.com/v2/stocks/view/7089/lii-hen-industries-bhd
22/8/2019,'7087,MAGNI-TECH INDUSTRIES BERHAD,5.08,2624,"Consumer Products & Services, Main Market",Main Market,3.980-5.350,63.06,18,3.25,8.06,3.54,19.4,1.56,826.68,https://www.klsescreener.com/v2/stocks/view/7087/magni-tech-industries-berhad
22/8/2019,'7022,GLOBETRONICS TECHNOLOGY BERHAD,1.73,1974,"Technology, Main Market",Main Market,1.440-2.900,8.49,8,0.44,20.38,4.62,19.29,3.93,1158.14,https://www.klsescreener.com/v2/stocks/view/7022/globetronics-technology-berhad
22/8/2019,'5049,COUNTRY VIEW BERHAD,1.46,100,"Property, Main Market",Main Market,1.150-1.590,76.16,5,3.97,1.92,3.42,19.18,0.37,146,https://www.klsescreener.com/v2/stocks/view/5049/country-view-berhad
22/8/2019,'0166,INARI AMERTRON BERHAD,1.59,23513,"Technology, Main Market",Main Market,1.230-2.390,6.62,6.08,0.35,24,3.83,19.09,4.58,5053.73,https://www.klsescreener.com/v2/stocks/view/0166/inari-amertron-berhad
22/8/2019,'7160,PENTAMASTER CORPORATION BERHAD,3.69,23774,"Technology, Main Market",Main Market,1.547-3.700,15.8,0,0.83,23.35,0,18.98,4.43,1752.3,https://www.klsescreener.com/v2/stocks/view/7160/pentamaster-corporation-berhad
