Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
23/8/2019,'0198,GDB ,GDB HOLDINGS BERHAD,,0.315,0.32,0.31,0.32,"153,000",1,0.005,1.59%,increasing,"900,700",0.220 - 0.420,2,6.25%,4.18,200.0M,8,1,1.78,0.315 / 0.320,23.22,41.73,,0.2,,"26,800 / 81,000",https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
23/8/2019,'0106,REXIT ,REXIT BERHAD,,0.62,0.61,0.605,0.605,"25,100",3,-0.015,-2.42%,decreasing,"37,100",0.525 - 0.750,3,4.96%,4.13,114.5M,15,5,3.18,0.605 / 0.635,21.74,11.31,,0.7,,"5,000 / 2,500",https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
23/8/2019,'0197,WEGMANS ,WEGMANS HOLDINGS BERHAD,,0.29,0.29,0.285,0.29,"60,600",0,0,0.00%,,"2,010,500",0.280 - 0.405,0.5,1.72%,3.15,145.0M,9,2,1.95,0.285 / 0.290,21.21,19.16,,0,,"34,500 / 34,000",https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
23/8/2019,'0005,UCREST ,UCREST BERHAD,,0.135,0.145,0.135,0.14,"2,718,000",1,0.005,3.70%,increasing,"4,056,600",0.135 - 0.350,0,0.00%,1.69,65.0M,8,2,1.67,0.135 / 0.140,20.17,6.22,,0.7,,"1,923,300 / 763,600",https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
23/8/2019,'0127,JHM ,JHM CONSOLIDATION BERHAD,,1.18,1.18,1.16,1.18,"376,200",0,0,0.00%,,"947,000",0.805 - 1.450,2,1.69%,6.59,658.0M,18,2,3.47,1.170 / 1.180,19.38,48.05,,0.4,,"25,000 / 18,000",https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
23/8/2019,'0209,ISTONE ,I-STONE GROUP BERHAD,,0.16,0.175,0.155,0.175,"22,949,600",3,0.015,9.38%,increasing,"41,731,600",0.150 - 0.275,0,0.00%,1.04,213.8M,17,6,5.83,0.170 / 0.175,34.67,3.1,,0.5,,"624,100 / 2,339,100",https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
23/8/2019,'0040,OPENSYS ,OPENSYS (M) BERHAD,,0.335,0.33,0.33,0.33,"96,600",1,-0.005,-1.49%,decreasing,"378,000",0.275 - 0.375,1.5,4.55%,3.28,98.3M,10,1,1.74,0.330 / 0.335,17.26,31.18,,0.3,,"64,400 / 107,500",https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
23/8/2019,'0200,REVENUE ,REVENUE GROUP BERHAD,,1.56,1.6,1.56,1.57,"1,167,500",1,0.01,0.64%,increasing,"1,738,700",0.905 - 1.730,0,0.00%,3.69,364.2M,43,7,7.42,1.560 / 1.570,17.44,24.12,,0.7,,"55,800 / 10,800",https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
23/8/2019,'0196,QES ,QES GROUP BERHAD,,0.2,0.195,0.19,0.195,"342,300",1,-0.005,-2.50%,decreasing,"2,441,200",0.180 - 0.380,0.4,2.05%,1.9,147.9M,10,1,1.63,0.190 / 0.195,15.83,25.75,,0.1,,"2,244,800 / 179,900",https://www.klsescreener.com/v2/stocks/view/0196/qes-group-berhad
23/8/2019,'0187,BCMALL ,BCM ALLIANCE BERHAD,,0.16,0.165,0.165,0.165,"265,000",1,0.005,3.13%,increasing,"303,900",0.160 - 0.250,0.2,1.21%,1.88,69.5M,9,1,1.38,0.165 / 0.170,15.67,22.83,,0.9,,"275,000 / 326,000",https://www.klsescreener.com/v2/stocks/view/0187/bcm-alliance-berhad
