Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-09-17,'8079,LEESK ,LEE SWEE KIAT GROUP BERHAD,,0.6799999999999999,0.730,0.725,0.725,"12,000",9,+0.045 ,+6.62%,increasing,"108,100",0.630 - 1.080,2.50,3.45%,5.93,121.7M,12,1,2.27,0.685 / 0.730,18.53,60.20,,0.1,,"10,300 / 10,200",https://www.klsescreener.com/v2/stocks/view/8079/lee-swee-kiat-group-berhad
2019-09-17,'5168,HARTA ,HARTALEGA HOLDINGS BERHAD,,5.2700000000000005,5.350,5.230,5.280,"2,185,700",1,+0.010 ,+0.19%,increasing,"3,086,000",4.520 - 6.820,8.14,1.54%,12.66,"17,740.8M",42,6,7.65,5.270 / 5.280,18.35,82.19,,0.7,,"47,100 / 300,100",https://www.klsescreener.com/v2/stocks/view/5168/hartalega-holdings-berhad
2019-09-17,'5209,GASMSIA ,GAS MALAYSIA BERHAD,,2.83,2.850,2.830,2.840,"69,000",1,+0.010 ,+0.35%,increasing,"315,500",2.680 - 2.960,13.80,4.86%,14.20,"3,646.6M",20,1,3.64,2.840 / 2.890,18.22,525.48,,0.2,,"549,200 / 23,700",https://www.klsescreener.com/v2/stocks/view/5209/gas-malaysia-berhad
2019-09-17,'5257,CARIMIN ,CARIMIN PETROLEUM BERHAD,,1.04,1.100,1.050,1.050,"8,772,200",1,+0.010 ,+0.96%,increasing,"5,663,400",0.215 - 1.070,3.00,2.86%,12.32,245.6M,9,1,1.55,1.040 / 1.050,18.21,189.42,,1.5,,"75,900 / 15,600",https://www.klsescreener.com/v2/stocks/view/5257/carimin-petroleum-berhad
2019-09-17,'7252,TEOSENG ,TEO SENG CAPITAL BERHAD,,1.11,1.120,1.080,1.120,"819,600",1,+0.010 ,+0.90%,increasing,"1,783,700",0.735 - 1.430,5.50,4.91%,17.15,336.0M,7,1,1.17,1.110 / 1.120,17.86,181.42,,0.5,,"20,800 / 118,100",https://www.klsescreener.com/v2/stocks/view/7252/teo-seng-capital-berhad
2019-09-17,'7181,ARBB ,ARB BERHAD,,0.325,0.330,0.315,0.320,"3,697,300",1,-0.005 ,-1.54%,decreasing,"9,565,100",0.250 - 0.605,0.00,0.00%,8.04,75.0M,4,2,1.27,0.320 / 0.325,31.80,14.69,,0.4,,"253,300 / 304,900",https://www.klsescreener.com/v2/stocks/view/7181/arb-berhad
2019-09-17,'3689,F&N ,FRASER & NEAVE HOLDINGS BHD,,35.5,35.940,35.260,35.800,"279,800",15,+0.300 ,+0.85%,increasing,"236,900",29.200 - 37.980,57.50,1.61%,115.46,"13,130.7M",31,3,5.34,35.700 / 35.800,17.21,"1,117.48",,1.2,,"1,100 / 422,900",https://www.klsescreener.com/v2/stocks/view/3689/fraser-neave-holdings-bhd
2019-09-17,'0166,INARI ,INARI AMERTRON BERHAD,,1.74,1.750,1.720,1.730,"7,836,400",1,-0.010 ,-0.57%,decreasing,"9,684,600",1.220 - 2.420,5.20,3.01%,6.03,"5,499.9M",29,5,4.87,1.730 / 1.740,16.96,36.26,,0.8,,"1,190,300 / 300,000",https://www.klsescreener.com/v2/stocks/view/0166/inari-amertron-berhad
2019-09-17,'7153,KOSSAN ,KOSSAN RUBBER INDUSTRIES BERHAD,,4.21,4.220,4.160,4.210,"862,100",0,0.000 ,0.00%,,"1,376,300",3.440 - 4.600,6.00,1.43%,17.85,"5,384.3M",24,2,3.97,4.210 / 4.220,16.84,177.90,,0.6,,"2,900 / 9,700",https://www.klsescreener.com/v2/stocks/view/7153/kossan-rubber-industries-berhad
2019-09-17,'5141,DAYANG ,DAYANG ENTERPRISE HOLDINGS BERHAD,,1.57,1.640,1.570,1.590,"17,209,300",2,+0.020 ,+1.27%,increasing,"14,484,100",0.500 - 1.750,0.00,0.00%,20.46,"1,534.0M",8,2,1.30,1.580 / 1.590,16.77,100.66,,1.2,,"70,500 / 312,400",https://www.klsescreener.com/v2/stocks/view/5141/dayang-enterprise-holdings-berhad
2019-09-17,'7439,TECGUAN ,TECK GUAN PERDANA BERHAD,,1.05,1.050,1.050,1.050,-,0,0.000 ,0.00%,,"14,900",0.695 - 1.550,0.00,0.00%,20.98,42.1M,5,0,0.83,1.000 / 1.080,16.54,666.39,,0.0,,"20,000 / 1,000",https://www.klsescreener.com/v2/stocks/view/7439/teck-guan-perdana-berhad
2019-09-17,'8176,ATAIMS ,ATA IMS BERHAD,,1.4000000000000001,1.350,1.350,1.350,700,5,-0.050 ,-3.57%,decreasing,"574,900",1.340 - 1.880,3.29,2.44%,8.88,"1,625.9M",15,1,2.50,1.360 / 1.390,16.44,263.03,,0.0,,"1,400 / 700",https://www.klsescreener.com/v2/stocks/view/8176/ata-ims-berhad
2019-09-17,'8869,PMETAL ,PRESS METAL ALUMINIUM HOLDINGS BERHAD,,4.9,4.900,4.850,4.900,"1,157,600",0,0.000 ,0.00%,,"1,839,500",4.010 - 5.200,6.00,1.22%,13.30,"19,786.7M",37,2,6.05,4.880 / 4.910,16.42,221.01,,0.6,,"63,100 / 34,100",https://www.klsescreener.com/v2/stocks/view/8869/press-metal-aluminium-holdings-berhad
2019-09-17,'7113,TOPGLOV ,TOP GLOVE CORPORATION BHD,,4.79,4.790,4.740,4.790,"2,343,000",0,0.000 ,0.00%,,"4,097,600",4.300 - 11.900,6.00,1.25%,15.31,"12,265.2M",31,3,4.94,4.780 / 4.790,15.78,188.59,,0.6,,"27,400 / 1,030,500",https://www.klsescreener.com/v2/stocks/view/7113/top-glove-corporation-bhd
2019-09-17,'8621,LPI ,LPI CAPITAL BHD,,15.879999999999999,15.900,15.820,15.840,"44,400",2,-0.040 ,-0.25%,decreasing,"25,100",14.900 - 17.140,69.00,4.36%,81.27,"6,310.4M",19,4,3.06,15.820 / 15.840,15.71,391.39,,1.8,,"4,700 / 7,800",https://www.klsescreener.com/v2/stocks/view/8621/lpi-capital-bhd
2019-09-17,'5216,DSONIC ,DATASONIC GROUP BERHAD,,0.915,0.940,0.905,0.915,"11,212,500",0,0.000 ,0.00%,,"14,343,700",0.295 - 0.950,2.50,2.73%,3.08,"1,235.3M",30,6,4.57,0.910 / 0.915,15.37,16.38,,0.8,,"326,600 / 117,900",https://www.klsescreener.com/v2/stocks/view/5216/datasonic-group-berhad
2019-09-17,'5160,HOMERIZ ,HOMERITZ CORPORATION BERHAD,,0.63,0.635,0.630,0.635,"397,300",1,+0.005 ,+0.79%,increasing,"1,468,100",0.585 - 0.775,3.50,5.51%,7.97,190.5M,8,1,1.22,0.630 / 0.635,15.33,51.40,,0.3,,"170,200 / 71,000",https://www.klsescreener.com/v2/stocks/view/5160/homeritz-corporation-berhad
2019-09-17,'3204,GKENT ,GEORGE KENT (MALAYSIA) BERHAD,,1.08,1.100,1.080,1.090,"1,441,800",1,+0.010 ,+0.93%,increasing,"2,318,800",0.755 - 1.410,7.00,6.42%,13.65,614.0M,8,1,1.22,1.080 / 1.090,15.31,73.46,,0.6,,"235,200 / 62,000",https://www.klsescreener.com/v2/stocks/view/3204/george-kent-malaysia-berhad
