Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
2019-09-11,'0198,GDB HOLDINGS BERHAD,0.300,2986,"Construction, Ace Market",Ace Market,0.220-0.350,4.18,2.00,0.18,7.17,6.67,23.23,1.67,187.50,https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-11,'0106,REXIT BERHAD,0.600,20,"Technology, Ace Market",Ace Market,0.530-0.725,4.16,3.00,0.20,14.42,5.00,20.80,3.00,113.60,https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-11,'0005,UCREST BERHAD,0.145,15965,"Technology, Ace Market",Ace Market,0.135-0.335,1.69,0.00,0.08,8.58,0.00,20.16,1.73,67.29,https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-11,'0197,WEGMANS HOLDINGS BERHAD,0.255,3350,"Consumer Products & Services, Ace Market",Ace Market,0.265-0.390,3.01,0.50,0.15,8.47,1.96,20.07,1.70,127.50,https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-11,'0127,JHM CONSOLIDATION BERHAD,1.150,612,"Technology, Ace Market",Ace Market,0.820-1.380,6.59,2.00,0.34,17.46,1.74,19.38,3.38,641.24,https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-11,'0209,I-STONE GROUP BERHAD,0.165,26298,"Technology, Ace Market",Ace Market,0.160-0.245,1.04,0.00,0.03,15.89,0.00,17.31,5.50,201.54,https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-11,'0040,OPENSYS (M) BERHAD,0.345,18113,"Technology, Ace Market",Ace Market,0.275-0.370,3.32,1.50,0.20,10.39,4.35,16.61,1.72,102.77,https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-11,'0201,NOVA WELLNESS GROUP BERHAD,0.550,20470,"Health Care, Ace Market",Ace Market,0.290-0.580,3.65,0.50,0.24,15.06,0.91,15.22,2.29,174.76,https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-11,'0200,REVENUE GROUP BERHAD,1.500,3032,"Technology, Ace Market",Ace Market,0.627-1.690,3.73,0.00,0.25,40.18,0.00,14.93,6.00,349.47,https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-11,'0120,VISDYNAMICS HOLDINGS BERHAD,0.365,1011,"Technology, Ace Market",Ace Market,0.310-0.775,3.52,1.02,0.24,10.36,2.80,14.69,1.52,61.75,https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
2019-09-11,'0208,GREATECH TECHNOLOGY BERHAD,1.410,57934,"Technology, Ace Market",Ace Market,0.940-1.450,7.46,0.00,0.26,18.90,0.00,14.35,5.42,882.66,https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
2019-09-11,'0126,MICROLINK SOLUTIONS BERHAD,0.600,0,"Technology, Ace Market",Ace Market,0.350-0.690,1.74,0.00,0.12,34.46,0.00,14.31,4.93,100.42,https://www.klsescreener.com/v2/stocks/view/0126/microlink-solutions-berhad
2019-09-11,'0158,SCC HOLDINGS BERHAD,0.520,0,"Consumer Products & Services, Ace Market",Ace Market,0.470-0.560,4.30,3.40,0.31,12.10,6.54,13.90,1.68,73.40,https://www.klsescreener.com/v2/stocks/view/0158/scc-holdings-berhad
2019-09-11,'0010,IRIS CORPORATION BERHAD,0.150,67208,"Technology, Ace Market",Ace Market,0.130-0.185,1.31,0.00,0.10,11.42,0.00,13.81,1.58,444.94,https://www.klsescreener.com/v2/stocks/view/0010/iris-corporation-berhad
