Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5219,-0.010,-0.78,"13,223","2,951",1.280,1.290,"1,474",1.29,1.290,1.300,1.270,s,29 Nov 2019,05:00PM,1.280,PESTECH INTERNATIONAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5219
MAIN MARKET,ENERGY,'5133,0.060,+4.23,"11,588",260,1.450,1.480,204,1.42,1.420,1.490,1.400,s,29 Nov 2019,05:00PM,1.480,PETRA ENERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5133
MAIN MARKET,ENERGY,'3042,0.020,+0.40,645,25,5.070,5.080,20,5.05,5.050,5.070,5.010,s,29 Nov 2019,05:00PM,5.070,PETRON MALAYSIA REFINING & MARKETING BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3042
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5183,-0.040,-0.56,"49,341","2,950",7.060,7.080,69,7.1,7.100,7.140,7.010,s,29 Nov 2019,05:00PM,7.060,PETRONAS CHEMICALS GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5183
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5681,-0.600,-2.55,"5,521",1,22.860,22.980,17,23.5,23.420,23.640,22.760,s,29 Nov 2019,05:00PM,22.900,PETRONAS DAGANGAN BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5681
MAIN MARKET,UTILITIES,'6033,-0.560,-3.49,"11,147","1,668",15.500,15.580,1,16.06,16.000,16.060,15.500,s,29 Nov 2019,05:00PM,15.500,PETRONAS GAS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6033
MAIN MARKET,HEALTH CARE,'7081,-0.040,-1.90,"7,882",148,2.050,2.070,10,2.11,2.110,2.140,2.020,s,29 Nov 2019,05:00PM,2.070,PHARMANIAGA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7081
MAIN MARKET,CONSTRUCTION,'5622,-,-,140,250,0.790,0.810,360,0.81,0.810,0.810,0.810,s,29 Nov 2019,05:00PM,0.810,PIMPINAN EHSAN BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5622
MAIN MARKET,PLANTATION,'1902,0.035,+8.75,"14,136",194,0.435,0.440,850,0.4,0.400,0.435,0.385,s,29 Nov 2019,05:00PM,0.435,PINEHILL PACIFIC BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1902
MAIN MARKET,CONSTRUCTION,'9598,0.050,+1.56,6,60,3.150,3.250,24,3.2,3.250,3.250,3.250,s,29 Nov 2019,05:00PM,3.250,PINTARAS JAYA BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9598
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7163,-,-,-,100,0.200,0.245,180,0.225,-,-,-,s,29 Nov 2019,05:00PM,-,PJBUMI BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7163
MAIN MARKET,PROPERTY,'7055,-,-,-,10,1.080,1.180,141,1.19,-,-,-,s,29 Nov 2019,05:00PM,-,PLB ENGINEERING BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7055
MAIN MARKET,PROPERTY,'5075,-,-,700,77,1.310,1.320,13,1.31,1.320,1.320,1.300,s,29 Nov 2019,05:00PM,1.310,PLENITUDE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5075
MAIN MARKET,PLANTATION,'9695,-0.050,-5.81,660,40,0.810,0.850,350,0.86,0.810,0.855,0.810,s,29 Nov 2019,05:00PM,0.810,PLS PLANTATIONS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9695
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7172,-,-,-,80,3.100,3.160,60,3.17,-,-,-,s,29 Nov 2019,05:00PM,-,PMB TECHNOLOGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7172
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'6637,-0.010,-1.79,75,75,0.540,0.550,50,0.56,0.540,0.550,0.540,s,29 Nov 2019,05:00PM,0.550,PNE PCB BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6637
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7088,-0.010,-0.66,"2,015",196,1.480,1.510,163,1.51,1.490,1.510,1.490,s,29 Nov 2019,05:00PM,1.500,POH HUAT RESOURCES HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7088
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5080,-,-,12,535,0.480,0.485,423,0.485,0.490,0.490,0.485,s,29 Nov 2019,05:00PM,0.485,POH KONG HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5080
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'8117,-,-,-,100,0.340,0.390,80,0.36,-,-,-,s,29 Nov 2019,05:00PM,-,POLY GLASS FIBRE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8117
MAIN MARKET,TRANSPORTATION & LOGISTICS,'4634,0.010,+0.71,"5,988",86,1.410,1.420,859,1.41,1.410,1.420,1.400,s,29 Nov 2019,05:00PM,1.420,POS MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4634
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7237,0.050,+2.11,"8,096",565,2.420,2.430,281,2.37,2.370,2.450,2.340,s,29 Nov 2019,05:00PM,2.420,POWER ROOT BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7237
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4065,-0.040,-0.22,"5,184","1,911",18.200,18.260,"9,883",18.24,18.400,18.400,17.900,s,29 Nov 2019,05:00PM,18.200,PPB GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4065
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'8869,-0.070,-1.47,"13,515",10,4.660,4.700,142,4.77,4.730,4.750,4.630,s,29 Nov 2019,05:00PM,4.700,PRESS METAL ALUMINIUM HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8869
