Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,-0.010,-0.70,"4,497",139,1.420,1.430,200,1.43,1.430,1.430,1.420,s,22 Nov 2019,05:00PM,1.420,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250,MarketNoChange,1.0000000000000009,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-0.010,-1.89,120,395,0.520,0.535,90,0.53,0.530,0.530,0.520,s,22 Nov 2019,05:00PM,0.520,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214,MarketNoChange,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,0.000,0.00,0,"5,395",0.065,0.075,"4,135",0.07,-,-,-,s,22 Nov 2019,05:00PM,-,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086,MarketClosed,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,-0.045,-8.65,100,102,0.470,0.500,100,0.52,0.475,0.475,0.475,s,22 Nov 2019,05:00PM,0.475,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198,MarketGapDown,0.0,
MAIN MARKET,PROPERTY,'7131,0.000,0.00,0,1,0.210,0.260,70,0.22,-,-,-,s,22 Nov 2019,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131,MarketClosed,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,0.000,0.00,0,10,0.345,0.350,220,0.35,-,-,-,s,22 Nov 2019,05:00PM,-,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120,MarketClosed,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-0.005,-3.70,"3,513","2,687",0.130,0.135,"5,631",0.135,0.130,0.130,0.130,s,22 Nov 2019,05:00PM,0.130,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481,MarketGapDown,0.0,
MAIN MARKET,CONSTRUCTION,'5281,-0.015,-3.49,"8,152",370,0.410,0.415,110,0.43,0.425,0.425,0.410,s,22 Nov 2019,05:00PM,0.415,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281,MarketGapDown,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.020,+0.92,359,100,2.180,2.250,13,2.18,2.180,2.250,2.160,s,22 Nov 2019,05:00PM,2.200,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148,MarketNoChange,2.0000000000000018,
MAIN MARKET,HEALTH CARE,'7191,0.000,0.00,0,50,0.520,0.600,51,0.53,-,-,-,s,22 Nov 2019,05:00PM,-,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191,MarketClosed,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,0.000,0.00,"1,090",10,0.105,0.110,900,0.105,0.105,0.105,0.105,s,22 Nov 2019,05:00PM,0.105,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146,MarketNoChange,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,0.020,+1.32,795,462,1.530,1.540,173,1.51,1.550,1.550,1.530,s,22 Nov 2019,05:00PM,1.530,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599,MarketGapUp,2.0000000000000018,
MAIN MARKET,FINANCIAL SERVICES,'5139,0.100,+0.67,"1,147",50,14.980,15.100,19,15.0,15.000,15.100,14.960,s,22 Nov 2019,05:00PM,15.100,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139,MarketNoChange,4.999999999999982,
MAIN MARKET,FINANCIAL SERVICES,'5185,0.010,+0.50,377,110,1.990,2.000,683,1.99,2.000,2.000,1.990,s,22 Nov 2019,05:00PM,2.000,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185,MarketGapUp,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,0.000,0.00,500,"6,862",0.120,0.125,"6,755",0.12,0.120,0.120,0.120,s,22 Nov 2019,05:00PM,0.120,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315,MarketNoChange,0.0,
MAIN MARKET,CONSTRUCTION,'7078,-0.005,-1.30,"4,629","1,392",0.380,0.385,"4,364",0.385,0.385,0.385,0.375,s,22 Nov 2019,05:00PM,0.380,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078,MarketNoChange,1.0000000000000009,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,0.000,0.00,"41,233","1,928",1.770,1.780,526,1.78,1.780,1.790,1.760,s,22 Nov 2019,05:00PM,1.780,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099,MarketNoChange,0.0,
