Number,Name,Close,Open,Change,ChangePercentage,High,Low
1,FBMKLCI,"1,591.35",1595.08,-5.49,-0.34,"1,596.30","1,588.72"
2,FBMT100,"11,103.71",11132.70,-34.78,-0.31,"11,139.25","11,080.95"
3,FBM70,"14,074.04",14123.03,-29.57,-0.21,"14,127.19","14,016.96"
4,FBMSCAP,"13,568.18",13737.25,-136.55,-1.00,"13,765.96","13,540.51"
5,FBMEMAS,"11,289.63",11323.80,-38.86,-0.34,"11,330.99","11,268.14"
6,FBMFLG,"14,765.28",14799.25,-8.32,-0.06,"14,815.10","14,696.33"
7,FA40,"10,777.52",10826.25,-42.82,-0.40,"10,827.75","10,766.53"
8,FBMSHA,"11,824.37",11869.94,-45.76,-0.39,"11,871.46","11,796.10"
9,FBMHIJRAH,"13,065.25",13106.64,-47.41,-0.36,"13,106.64","13,027.46"
10,FBMACE,"4,851.58",4878.26,-39.52,-0.81,"4,898.71","4,817.16"
11,FBMAPMYR,"17,833.15",17817.00,-42.70,-0.24,"17,965.75","17,773.57"
12,FBMAPUSD,"12,293.29",12285.10,-44.21,-0.36,"12,378.77","12,255.15"
13,FBMPALMOIL,"13,770.42",13722.40,+211.68,+1.56,"14,094.64","13,679.30"
14,F4GBM,888.44,891.04,-3.09,-0.35,891.59,886.73
15,TECHNOLOGY,37.08,37.36,-0.24,-0.64,37.48,36.96
16,PLANTATION,"7,177.78",7188.93,-0.22,-,"7,223.50","7,167.54"
17,CONSTRUCTION,207.08,208.29,-0.88,-0.42,208.29,205.65
18,CONSUMER PRODUC,653.03,655.54,-3.01,-0.46,656.16,651.30
19,ENERGY,"1,211.34",1232.98,-17.14,-1.40,"1,233.23","1,203.85"
20,FINANCIAL SERVI,"15,537.99",15533.52,-11.20,-0.07,"15,556.55","15,511.76"
21,HEALTH CARE,"1,253.42",1254.04,-1.51,-0.12,"1,255.97","1,250.86"
22,INDUSTRIAL PROD,151.37,151.61,-0.16,-0.11,151.62,150.45
23,PROPERTY,778.27,780.47,-1.34,-0.17,784.54,776.98
24,REIT,988.98,988.23,+2.13,+0.22,988.98,983.12
25,TELECOMMUNICATI,665.12,665.44,-1.12,-0.17,666.96,662.53
26,TRANSPORTATION ,756.47,760.92,-4.04,-0.53,761.50,753.03
27,UTILITIES,979.24,975.82,+3.42,+0.35,979.24,972.32
28,FBMMSCAP,"14,881.96",15034.79,-122.45,-0.82,"15,062.93","14,855.96"
29,FBMMSCS,"14,038.37",14217.74,-132.18,-0.93,"14,247.89","14,011.48"
