Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-09-26,'0198,GDB ,GDB HOLDINGS BERHAD,,0.305,0.315,0.310,0.310,"372,200",1,+0.005 ,+1.64%,increasing,"861,900",0.220 - 0.370,2.00,6.45%,4.18,193.8M,7,1,1.72,0.310 / 0.315,23.22,41.73,,0.4,,"428,700 / 259,400",https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-26,'0106,REXIT ,REXIT BERHAD,,0.615,0.615,0.615,0.615,"18,900",0,0.000 ,0.00%,,"15,800",0.525 - 0.750,3.00,4.88%,4.16,116.4M,15,5,3.08,0.615 / 0.640,20.80,11.61,,1.2,,"1,000 / 9,800",https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-26,'0005,UCREST ,UCREST BERHAD,,0.13,0.130,0.130,0.130,"642,000",0,0.000 ,0.00%,,"3,984,600",0.125 - 0.340,0.00,0.00%,1.69,60.3M,8,2,1.55,0.130 / 0.135,20.17,6.22,,0.2,,"708,100 / 609,300",https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-26,'0197,WEGMANS ,WEGMANS HOLDINGS BERHAD,,0.27,0.270,0.265,0.270,"113,500",0,0.000 ,0.00%,,"1,561,500",0.255 - 0.405,0.50,1.85%,3.01,135.0M,9,1,1.78,0.265 / 0.270,19.87,18.71,,0.1,,"90,000 / 800",https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-26,'0127,JHM ,JHM CONSOLIDATION BERHAD,,1.17,1.270,1.170,1.260,"2,152,100",9,+0.090 ,+7.69%,increasing,"783,500",0.805 - 1.450,2.00,1.59%,6.59,702.6M,19,3,3.71,1.250 / 1.260,19.38,48.05,,2.7,,"164,400 / 127,900",https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-26,'0209,ISTONE ,I-STONE GROUP BERHAD,,0.185,0.185,0.180,0.180,"4,180,800",1,-0.005 ,-2.70%,decreasing,"30,294,600",0.150 - 0.275,0.00,0.00%,1.04,219.9M,17,6,6.00,0.180 / 0.185,34.67,3.10,,0.1,,"6,454,300 / 2,056,300",https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-26,'0040,OPENSYS ,OPENSYS (M) BERHAD,,0.34,0.340,0.330,0.340,"638,500",0,0.000 ,0.00%,,"289,800",0.275 - 0.375,1.50,4.41%,3.32,101.3M,10,1,1.70,0.335 / 0.340,16.60,35.03,,2.2,,"112,600 / 1,000",https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-26,'0201,NOVA ,NOVA WELLNESS GROUP BERHAD,,0.545,0.545,0.530,0.535,"830,300",2,-0.010 ,-1.83%,decreasing,"550,400",0.280 - 0.600,0.50,0.93%,3.65,170.0M,15,6,2.23,0.530 / 0.535,15.21,9.30,,1.5,,"4,000 / 38,200",https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-26,'0200,REVENUE ,REVENUE GROUP BERHAD,,1.48,1.500,1.480,1.480,"396,600",0,0.000 ,0.00%,,"1,582,000",0.905 - 1.730,0.00,0.00%,3.73,344.8M,40,6,6.04,1.480 / 1.490,15.22,25.48,,0.3,,"147,000 / 700",https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-26,'0208,GREATEC ,GREATECH TECHNOLOGY BERHAD,,1.48,1.510,1.480,1.490,"564,400",1,+0.010 ,+0.68%,increasing,"7,974,600",0.635 - 1.590,0.00,0.00%,7.46,932.7M,20,9,5.73,1.480 / 1.490,28.69,17.53,,0.1,,"35,500 / 9,400",https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
