Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-08-30,'5130,ATRIUM ,ATRIUM REAL ESTATE INVESTMENT TRUST,,1.07,1.070,1.060,1.060,"270,400",1,-0.010 ,-0.93%,decreasing,"74,900",1.060 - 1.270,5.95,5.61%,5.48,216.9M,19,11,1.05,1.060 / 1.070,5.40,9.64,,3.6,,"400 / 26,000",https://www.klsescreener.com/v2/stocks/view/5130/atrium-real-estate-investment-trust
2019-08-30,'5109,YTLREIT ,YTL HOSPITALITY REIT,,1.3699999999999999,1.380,1.370,1.380,"590,700",1,+0.010 ,+0.73%,increasing,"1,074,500",1.150 - 1.380,7.87,5.70%,6.14,"2,352.1M",22,5,0.86,1.360 / 1.380,3.82,28.80,,0.5,,"98,300 / 260,200",https://www.klsescreener.com/v2/stocks/view/5109/ytl-hospitality-reit
2019-08-30,'5021,AYS ,AYS VENTURES BERHAD,,0.305,0.310,0.300,0.300,"63,100",1,-0.005 ,-1.64%,decreasing,"97,600",0.295 - 0.410,1.00,3.33%,2.74,114.1M,11,0,0.42,0.300 / 0.305,3.81,168.68,,0.6,,"1,000 / 18,900",https://www.klsescreener.com/v2/stocks/view/5021/ays-ventures-berhad
2019-08-30,'3298,HEXZA ,HEXZA CORPORATION BERHAD,,0.725,0.720,0.715,0.715,"58,500",2,-0.010 ,-1.38%,decreasing,"51,100",0.645 - 0.860,0.00,0.00%,3.89,143.3M,18,1,0.69,0.710 / 0.715,3.78,53.03,,1.1,,"50,000 / 46,600",https://www.klsescreener.com/v2/stocks/view/3298/hexza-corporation-berhad
2019-08-30,'7757,UPA ,UPA CORPORATION BHD,,2.16,2.160,2.160,2.160,"1,000",0,0.000 ,0.00%,,"3,100",2.050 - 2.400,8.00,3.70%,12.43,171.9M,17,1,0.65,2.150 / 2.200,3.76,196.72,,0.3,,"2,900 / 10,500",https://www.klsescreener.com/v2/stocks/view/7757/upa-corporation-bhd
2019-08-30,'7315,AHB ,AHB HOLDINGS BERHAD,,0.13,0.125,0.125,0.125,"40,000",1,-0.005 ,-3.85%,decreasing,"277,500",0.115 - 0.190,0.00,0.00%,0.79,22.0M,16,1,0.58,0.125 / 0.130,3.69,9.13,,0.1,,"110,000 / 40,000",https://www.klsescreener.com/v2/stocks/view/7315/ahb-holdings-berhad
2019-08-30,'1058,MANULFE ,MANULIFE HOLDINGS BERHAD,,2.5300000000000002,2.540,2.540,2.540,"2,000",1,+0.010 ,+0.40%,increasing,"3,100",2.300 - 2.850,7.00,2.76%,15.41,514.0M,16,0,0.61,2.530 / 2.680,3.68,577.72,,0.6,,"2,000 / 1,000",https://www.klsescreener.com/v2/stocks/view/1058/manulife-holdings-berhad
2019-08-30,'5283,EWINT ,ECO WORLD INTERNATIONAL BERHAD,,0.63,0.640,0.620,0.640,"188,300",2,+0.010 ,+1.59%,increasing,"455,700",0.600 - 1.110,0.00,0.00%,3.80,"1,536.0M",17,314,0.62,0.635 / 0.640,3.65,0.20,,0.4,,"1,500 / 24,100",https://www.klsescreener.com/v2/stocks/view/5283/eco-world-international-berhad
2019-08-30,'3174,L&G ,LAND & GENERAL BERHAD,,0.15,0.155,0.150,0.155,"211,500",1,+0.005 ,+3.33%,increasing,"1,969,500",0.130 - 0.200,1.00,6.45%,1.35,460.8M,11,3,0.42,0.150 / 0.155,3.63,5.27,,0.1,,"5,376,600 / 2,973,900",https://www.klsescreener.com/v2/stocks/view/3174/land-general-berhad
2019-08-30,'8907,EG ,EG INDUSTRIES BERHAD,,0.37,0.375,0.365,0.365,"64,200",1,-0.005 ,-1.35%,decreasing,"386,700",0.355 - 0.565,0.00,0.00%,4.65,100.4M,8,0,0.29,0.365 / 0.370,3.69,368.39,,0.2,,"159,600 / 91,000",https://www.klsescreener.com/v2/stocks/view/8907/eg-industries-berhad
