Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
2019-08-27,'0198,GDB HOLDINGS BERHAD,0.310,2153,"Construction, Ace Market",Ace Market,0.220-0.405,4.18,2.00,0.18,7.41,6.45,23.23,1.72,193.75,https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-08-27,'0106,REXIT BERHAD,0.635,101,"Technology, Ace Market",Ace Market,0.530-0.725,4.13,3.00,0.19,15.39,4.72,21.72,3.34,120.23,https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-08-27,'0005,UCREST BERHAD,0.135,12866,"Technology, Ace Market",Ace Market,0.135-0.340,1.69,0.00,0.08,7.99,0.00,20.16,1.61,62.64,https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-08-27,'0197,WEGMANS HOLDINGS BERHAD,0.285,4332,"Consumer Products & Services, Ace Market",Ace Market,0.285-0.390,3.01,0.50,0.15,9.47,1.75,20.07,1.90,142.50,https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-08-27,'0127,JHM CONSOLIDATION BERHAD,1.130,4117,"Technology, Ace Market",Ace Market,0.820-1.380,6.59,2.00,0.34,17.15,1.77,19.38,3.32,630.09,https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-08-27,'0209,I-STONE GROUP BERHAD,0.175,73139,"Technology, Ace Market",Ace Market,0.160-0.245,1.04,0.00,0.03,16.85,0.00,17.31,5.83,213.76,https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-08-27,'0200,REVENUE GROUP BERHAD,1.510,5430,"Technology, Ace Market",Ace Market,0.627-1.690,3.69,0.00,0.21,40.91,0.00,16.78,6.86,350.32,https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-08-27,'0040,OPENSYS (M) BERHAD,0.330,3985,"Technology, Ace Market",Ace Market,0.275-0.370,3.32,1.50,0.20,9.93,4.55,16.61,1.65,98.30,https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-08-27,'0187,BCM ALLIANCE BERHAD,0.160,1570,"Industrial Products & Services, Ace Market",Ace Market,0.160-0.250,1.88,0.20,0.12,8.52,1.25,15.65,1.33,67.40,https://www.klsescreener.com/v2/stocks/view/0187/bcm-alliance-berhad
2019-08-27,'0026,NOVA MSC BERHAD,0.090,4428,"Technology, Ace Market",Ace Market,0.090-0.180,1.10,0.00,0.07,8.21,0.00,15.65,1.29,67.64,https://www.klsescreener.com/v2/stocks/view/0026/nova-msc-berhad
2019-08-27,'0157,FOCUS POINT HOLDINGS BERHAD,0.565,6837,"Consumer Products & Services, Ace Market",Ace Market,0.160-0.640,5.59,2.50,0.36,10.11,4.42,15.52,1.57,93.23,https://www.klsescreener.com/v2/stocks/view/0157/focus-point-holdings-berhad
2019-08-27,'0201,NOVA WELLNESS GROUP BERHAD,0.480,71108,"Health Care, Ace Market",Ace Market,0.290-0.595,3.65,0.50,0.24,13.14,1.04,15.22,2.00,152.52,https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-08-27,'0120,VISDYNAMICS HOLDINGS BERHAD,0.365,3322,"Technology, Ace Market",Ace Market,0.310-0.775,3.52,1.02,0.24,10.35,2.80,14.69,1.52,61.75,https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
2019-08-27,'0208,GREATECH TECHNOLOGY BERHAD,1.140,190715,"Technology, Ace Market",Ace Market,0.940-1.170,7.46,0.00,0.26,15.28,0.00,14.35,4.38,713.64,https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
