Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
2019-09-17,'0174,IDIMENSION CONSOLIDATED BHD,0.020,400,"Technology, Ace Market",Ace Market,0.015-0.045,-6.46,0.00,0.14,-0.31,0.00,-92.36,0.29,5.44,https://www.klsescreener.com/v2/stocks/view/0174/idimension-consolidated-bhd
2019-09-17,'0032LA,REDTONE-LA,0.165,75,"Telecommunications & Media, Bond & Loan",Bond & Loan,0.075-0.160,,,,,,0.00,,0.00,https://www.klsescreener.com/v2/stocks/view/0032LA
2019-09-17,'0400GA,DIN040000223,101.200,0,"Bond Islamic, Bond & Loan",Bond & Loan,98.400-101.800,,,,,,0.00,,0.00,https://www.klsescreener.com/v2/stocks/view/0400GA
2019-09-17,'0400GB,DIN045801028,102.800,0,"Bond Islamic, Bond & Loan",Bond & Loan,97.690-103.000,,,,,,0.00,,0.00,https://www.klsescreener.com/v2/stocks/view/0400GB
2019-09-17,'0400GC,DIN042300721,100.300,0,"Bond Islamic, Bond & Loan",Bond & Loan,98.860-102.000,,,,,,0.00,,0.00,https://www.klsescreener.com/v2/stocks/view/0400GC
2019-09-17,'0401GA,IHS046000824,100.400,0,"Bond Islamic, Bond & Loan",Bond & Loan,92.200-100.500,,,,,,0.00,,0.00,https://www.klsescreener.com/v2/stocks/view/0401GA
2019-09-17,'0829EB,CHINAETF-USD,1.345,0,"ETF-Equity, ETF",ETF,1.275-1.345,101.17,0.00,1.37,1.33,0.00,18.42,0.98,0.69,https://www.klsescreener.com/v2/stocks/view/0829EB
2019-09-17,'0822EA,CIMBA40,1.830,27,"ETF-Equity, ETF",ETF,1.780-1.950,22.52,6.85,1.92,8.13,3.74,11.72,0.95,4.94,https://www.klsescreener.com/v2/stocks/view/0822EA
2019-09-17,'0823EA,CIMBC50,1.560,55,"ETF-Equity, ETF",ETF,1.450-1.690,12.73,0.00,1.61,12.26,0.00,7.90,0.97,11.15,https://www.klsescreener.com/v2/stocks/view/0823EA
2019-09-17,'0829EA,CHINAETF-MYR,5.660,100,"ETF-Equity, ETF",ETF,5.240-6.120,129.36,0.00,5.67,4.38,0.00,5.70,1.00,9.31,https://www.klsescreener.com/v2/stocks/view/0829EA
2019-09-17,'0828EA,GOLDETF,2.040,137,"ETF-Commodity, ETF",ETF,1.620-1.765,0.09,0.00,1.91,"2,266.67",0.00,0.05,1.07,5589.60,https://www.klsescreener.com/v2/stocks/view/0828EA
2019-09-17,'0826EA,METFAPA,0.945,0,"ETF-Equity, ETF",ETF,0.940-1.070,-1.56,0.00,0.00,-60.53,0.00,0.00,,17.01,https://www.klsescreener.com/v2/stocks/view/0826EA
2019-09-17,'0827EA,METFUS50,1.160,0,"ETF-Equity, ETF",ETF,0.900-1.180,-8.00,0.00,0.00,-0.01,0.00,0.00,,15.09,https://www.klsescreener.com/v2/stocks/view/0827EA
2019-09-17,'0824EA,MYETFID,1.110,0,"ETF-Equity, ETF",ETF,1.040-1.200,9.13,2.76,0.00,12.15,2.49,0.00,,43.96,https://www.klsescreener.com/v2/stocks/view/0824EA
2019-09-17,'0800EA,ABFMY1,1.219,0,"ETF-Bond, ETF",ETF,1.100-1.190,9.19,4.65,0.00,13.27,3.81,0.00,,1576.07,https://www.klsescreener.com/v2/stocks/view/0800EA
2019-09-17,'0821EA,MYETFDJ,1.060,0,"ETF-Equity, ETF",ETF,1.020-1.200,5.46,2.44,0.00,19.40,2.30,0.00,,290.33,https://www.klsescreener.com/v2/stocks/view/0821EA
2019-09-17,'0825EA,METFSID,0.830,1,"ETF-Equity, ETF",ETF,0.795-1.000,3.96,1.99,0.00,20.97,2.40,0.00,,73.04,https://www.klsescreener.com/v2/stocks/view/0825EA
2019-09-17,'0820EA,FBMKLCI-EA,1.700,0,"ETF-Equity, ETF",ETF,1.675-1.910,2.27,3.30,0.00,74.79,1.94,0.00,,2.84,https://www.klsescreener.com/v2/stocks/view/0820EA
2019-09-17,'03006,NOVA PHARMA SOLUTIONS BERHAD,0.350,0,"Health Care, Leap Market",Leap Market,0.230-0.350,2.89,0.60,0.07,12.12,1.71,41.26,5.00,52.15,https://www.klsescreener.com/v2/stocks/view/03006/nova-pharma-solutions-berhad
2019-09-17,'03007,POLYMER LINK HOLDINGS BERHAD,0.170,0,"Industrial Products & Services, Leap Market",Leap Market,0.170-0.170,2.71,0.20,0.05,6.28,1.18,37.55,3.14,78.68,https://www.klsescreener.com/v2/stocks/view/03007/polymer-link-holdings-berhad
2019-09-17,'03017,UNI WALL APS HOLDINGS BERHAD,0.890,0,"Construction, Leap Market",Leap Market,0.220-0.890,5.14,0.28,0.07,17.31,0.31,36.74,12.71,325.47,https://www.klsescreener.com/v2/stocks/view/03017/uni-wall-aps-holdings-berhad
2019-09-17,'03025,ENEST GROUP BERHAD,0.130,0,"Consumer Products & Services, Leap Market",Leap Market,0.100-0.130,1.44,0.16,0.01,9.03,1.23,36.00,13.00,60.45,https://www.klsescreener.com/v2/stocks/view/03025/enest-group-berhad
2019-09-17,'03003,JM EDUCATION GROUP BERHAD,0.535,0,"Consumer Products & Services, Leap Market",Leap Market,0.535-0.560,4.70,3.90,0.17,11.37,7.29,27.34,3.11,37.97,https://www.klsescreener.com/v2/stocks/view/03003/jm-education-group-berhad
2019-09-17,'03005,METRO HEALTHCARE BERHAD,0.780,0,"Health Care, Leap Market",Leap Market,0.370-0.780,2.19,1.05,0.08,35.63,1.35,25.94,9.24,156.51,https://www.klsescreener.com/v2/stocks/view/03005/metro-healthcare-berhad
2019-09-17,'03008,SL INNOVATION CAPITAL BERHAD,0.410,0,"Technology, Leap Market",Leap Market,0.420-0.420,2.74,2.00,0.10,14.98,4.88,20.53,4.10,54.61,https://www.klsescreener.com/v2/stocks/view/03008/sl-innovation-capital-berhad
2019-09-17,'03010,MYKRIS INTERNATIONAL BERHAD,0.440,0,"Telecomunications & Media, Leap Market",Leap Market,0.225-0.440,4.53,2.00,0.13,9.72,4.55,17.41,3.38,132.00,https://www.klsescreener.com/v2/stocks/view/03010/mykris-international-berhad
2019-09-17,'03001,CLOUDARON GROUP BERHAD,0.290,0,"Technology, Leap Market",Leap Market,0.210-0.300,1.26,0.00,0.07,23.10,0.00,16.81,3.88,241.04,https://www.klsescreener.com/v2/stocks/view/03001/cloudaron-group-berhad
2019-09-17,'03015,MANFORCE GROUP BERHAD,0.235,0,"Consumer Products & Services, Leap Market",Leap Market,0.220-0.235,1.57,0.63,0.07,14.93,2.68,11.24,3.36,75.20,https://www.klsescreener.com/v2/stocks/view/03015/manforce-group-berhad
2019-09-17,'03013,TOPVISION EYE SPECIALIST BERHAD,0.500,0,"Health Care, Leap Market",Leap Market,0.230-0.500,1.38,0.50,0.08,36.31,1.00,8.87,6.44,127.80,https://www.klsescreener.com/v2/stocks/view/03013/topvision-eye-specialist-berhad
2019-09-17,'03024,CE TECHNOLOGY BERHAD,0.285,0,"Industrial Products & Services, Leap Market",Leap Market,0.285-0.290,3.84,0.10,0.13,7.42,0.35,7.39,2.19,98.64,https://www.klsescreener.com/v2/stocks/view/03024/ce-technology-berhad
2019-09-17,'03027,MMIS BERHAD,0.135,0,"Industrial Products & Services, Leap Market",Leap Market,0.125-0.135,0.69,0.00,0.02,19.58,0.00,7.04,5.51,67.50,https://www.klsescreener.com/v2/stocks/view/03027/mmis-berhad
2019-09-17,'03019,MATRIX PARKING SOLUTION HOLDINGS BERHAD,0.160,0,"Consumer Products & Services, Leap Market",Leap Market,0.160-0.160,0.87,0.00,0.04,18.39,0.00,6.04,4.44,32.00,https://www.klsescreener.com/v2/stocks/view/03019/matrix-parking-solution-holdings-berhad
2019-09-17,'03016,CRG INCORPORATED BERHAD,0.075,51071,"Consumer Products & Services, Leap Market",Leap Market,0.020-0.070,1.08,0.25,0.09,6.96,3.33,5.96,0.83,60.42,https://www.klsescreener.com/v2/stocks/view/03016/crg-incorporated-berhad
2019-09-17,'03018,SUPREME CONSOLIDATED RESOURCES BERHAD,0.680,0,"Consumer Products & Services, Leap Market",Leap Market,0.620-0.680,12.59,0.42,0.56,5.40,0.62,5.64,1.22,81.60,https://www.klsescreener.com/v2/stocks/view/03018/supreme-consolidated-resources-berhad
2019-09-17,'03023,SMILE-LINK HEALTHCARE GLOBAL BERHAD,0.080,7200,"Health Care, Leap Market",Leap Market,0.075-0.125,0.64,0.00,0.03,12.50,0.00,5.05,2.52,75.97,https://www.klsescreener.com/v2/stocks/view/03023/smile-link-healthcare-global-berhad
2019-09-17,'03012,BABA ECO GROUP BERHAD,0.170,0,"Consumer Products & Services, Leap Market",Leap Market,0.160-0.170,2.21,0.00,0.12,7.70,0.00,4.60,1.42,38.20,https://www.klsescreener.com/v2/stocks/view/03012/baba-eco-group-berhad
2019-09-17,'03026,FIBROMAT (M) BERHAD,0.320,0,"Industrial Products & Services, Leap Market",Leap Market,0.320-0.320,1.85,0.00,0.18,17.26,0.00,2.57,1.78,69.12,https://www.klsescreener.com/v2/stocks/view/03026/fibromat-m-berhad
2019-09-17,'03020,TT VISION HOLDINGS BERHAD,0.205,0,"Technology, Leap Market",Leap Market,0.180-0.210,0.64,0.00,0.13,32.22,0.00,1.22,1.58,78.62,https://www.klsescreener.com/v2/stocks/view/03020/tt-vision-holdings-berhad
2019-09-17,'03011,AMLEX HOLDINGS BERHAD,0.150,0,"Technology, Leap Market",Leap Market,0.100-0.200,0.19,0.00,10.79,78.86,0.00,0.01,0.01,40.22,https://www.klsescreener.com/v2/stocks/view/03011/amlex-holdings-berhad
2019-09-17,'03021,EQUITIESTRACKER HOLDINGS BERHAD,0.190,0,"Consumer Products & Services, Leap Market",Leap Market,0.165-0.195,-0.33,0.00,0.04,-57.03,0.00,-4.68,5.34,46.65,https://www.klsescreener.com/v2/stocks/view/03021/equitiestracker-holdings-berhad
2019-09-17,'03022,MCOM HOLDINGS BERHAD,0.405,0,"Technology, Leap Market",Leap Market,0.400-0.405,-2.16,0.00,0.07,-18.73,0.00,-15.45,5.79,76.37,https://www.klsescreener.com/v2/stocks/view/03022/mcom-holdings-berhad
2019-09-17,'03009,SEERS BERHAD,0.100,0,"Consumer Products & Services, Leap Market",Leap Market,0.100-0.100,-1.87,0.00,0.02,-5.36,0.00,-69.96,5.00,25.76,https://www.klsescreener.com/v2/stocks/view/03009/seers-berhad
2019-09-17,'03002,RED IDEAS HOLDINGS BERHAD,0.260,0,"Technology, Leap Market",Leap Market,0.260-0.440,-4.33,0.00,0.03,-6.00,0.00,-144.33,8.67,26.00,https://www.klsescreener.com/v2/stocks/view/03002/red-ideas-holdings-berhad
2019-09-17,'2836,CARLSBERG BREWERY MALAYSIA BERHAD,25.060,1622,"Consumer Products & Services, Main Market",Main Market,17.260-27.160,93.31,101.90,0.41,26.86,4.07,227.58,61.12,7662.04,https://www.klsescreener.com/v2/stocks/view/2836/carlsberg-brewery-malaysia-berhad
2019-09-17,'6947,DIGI.COM BERHAD,4.720,42122,"Telecommunications & Media, Main Market",Main Market,4.070-5.080,19.35,19.10,0.09,24.40,4.05,214.98,52.44,36698.00,https://www.klsescreener.com/v2/stocks/view/6947/digi-com-berhad
2019-09-17,'7206,TH HEAVY ENGINEERING BERHAD,0.065,68414,"Energy, Main Market",Main Market,0.030-0.070,9.70,0.00,0.05,0.67,0.00,194.00,1.30,72.88,https://www.klsescreener.com/v2/stocks/view/7206/th-heavy-engineering-berhad
2019-09-17,'4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,20.220,7670,"Consumer Products & Services, Main Market",Main Market,18.400-38.580,149.90,143.00,1.29,13.49,7.07,116.20,15.67,5773.42,https://www.klsescreener.com/v2/stocks/view/4162/british-american-tobacco-malaysia-berhad
2019-09-17,'5077,MALAYSIAN BULK CARRIERS BERHAD,0.785,72992,"Transportation & Logistics, Main Market",Main Market,0.415-0.735,41.18,0.00,0.39,1.91,0.00,107.65,2.05,785.00,https://www.klsescreener.com/v2/stocks/view/5077/malaysian-bulk-carriers-berhad
2019-09-17,'4707,NESTLE (MALAYSIA) BERHAD,147.000,1221,"Consumer Products & Services, Main Market",Main Market,143.400-150.400,278.73,280.00,3.05,52.74,1.90,91.39,48.20,34471.50,https://www.klsescreener.com/v2/stocks/view/4707/nestle-malaysia-berhad
2019-09-17,'3255,HEINEKEN MALAYSIA BERHAD,24.400,632,"Consumer Products & Services, Main Market",Main Market,17.580-25.020,98.43,96.00,1.08,24.79,3.93,91.14,22.59,7371.19,https://www.klsescreener.com/v2/stocks/view/3255/heineken-malaysia-berhad
2019-09-17,'6399,ASTRO MALAYSIA HOLDINGS BERHAD,1.380,14280,"Telecommunications & Media, Main Market",Main Market,1.110-1.790,11.84,8.00,0.14,11.66,5.80,81.68,9.52,7195.75,https://www.klsescreener.com/v2/stocks/view/6399/astro-malaysia-holdings-berhad
2019-09-17,'5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD,1.460,10670,"Consumer Products & Services, Main Market",Main Market,1.257-1.560,4.46,2.40,0.06,32.76,1.64,68.79,22.53,1800.74,https://www.klsescreener.com/v2/stocks/view/5250/7-eleven-malaysia-holdings-berhad
2019-09-17,'5248,BERMAZ AUTO BERHAD,2.360,48457,"Consumer Products & Services, Main Market",Main Market,1.840-2.710,22.82,22.00,0.43,10.34,9.32,53.12,5.49,2745.55,https://www.klsescreener.com/v2/stocks/view/5248/bermaz-auto-berhad
2019-09-17,'7100,UCHI TECHNOLOGIES BERHAD,2.800,746,"Industrial Products & Services, Main Market",Main Market,2.380-3.120,16.29,14.00,0.34,17.19,5.00,47.91,8.24,1262.56,https://www.klsescreener.com/v2/stocks/view/7100/uchi-technologies-berhad
2019-09-17,'9792,SEG INTERNATIONAL BHD,0.635,3882,"Consumer Products & Services, Main Market",Main Market,0.625-0.660,3.39,0.00,0.08,18.74,0.00,42.63,7.99,803.00,https://www.klsescreener.com/v2/stocks/view/9792/seg-international-bhd
2019-09-17,'7231,WELLCALL HOLDINGS BERHAD,1.160,130,"Industrial Products & Services, Main Market",Main Market,1.140-1.310,7.42,5.60,0.23,15.64,4.83,32.52,5.09,577.62,https://www.klsescreener.com/v2/stocks/view/7231/wellcall-holdings-berhad
2019-09-17,'6351,AMWAY (MALAYSIA) HOLDINGS BERHAD,5.920,71,"Consumer Products & Services, Main Market",Main Market,5.600-7.080,41.48,27.50,1.32,14.27,4.65,31.42,4.48,973.16,https://www.klsescreener.com/v2/stocks/view/6351/amway-malaysia-holdings-berhad
2019-09-17,'6139,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,5.860,1987,"Financial Services, Main Market",Main Market,3.500-7.180,42.56,15.00,1.43,13.77,2.56,29.77,4.10,4845.00,https://www.klsescreener.com/v2/stocks/view/6139/syarikat-takaful-malaysia-keluarga-berhad
