Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
2019-09-06,'0198,GDB HOLDINGS BERHAD,0.300,4567,"Construction, Ace Market",Ace Market,0.220-0.355,4.18,2.00,0.18,7.17,6.67,23.23,1.67,187.50,https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-06,'0106,REXIT BERHAD,0.600,0,"Technology, Ace Market",Ace Market,0.530-0.725,4.16,3.00,0.20,14.42,5.00,20.80,3.00,113.60,https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-06,'0005,UCREST BERHAD,0.145,55530,"Technology, Ace Market",Ace Market,0.135-0.335,1.69,0.00,0.08,8.58,0.00,20.16,1.73,67.28,https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-06,'0197,WEGMANS HOLDINGS BERHAD,0.270,1100,"Consumer Products & Services, Ace Market",Ace Market,0.270-0.390,3.01,0.50,0.15,8.97,1.85,20.07,1.80,135.00,https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-06,'0127,JHM CONSOLIDATION BERHAD,1.150,2439,"Technology, Ace Market",Ace Market,0.820-1.380,6.59,2.00,0.34,17.46,1.74,19.38,3.38,641.24,https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-06,'0209,I-STONE GROUP BERHAD,0.170,35134,"Technology, Ace Market",Ace Market,0.160-0.245,1.04,0.00,0.03,16.37,0.00,17.31,5.67,207.65,https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-06,'0040,OPENSYS (M) BERHAD,0.325,1181,"Technology, Ace Market",Ace Market,0.275-0.370,3.32,1.50,0.20,9.78,4.62,16.61,1.62,96.82,https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-06,'0201,NOVA WELLNESS GROUP BERHAD,0.520,8690,"Health Care, Ace Market",Ace Market,0.290-0.580,3.65,0.50,0.24,14.24,0.96,15.22,2.17,165.23,https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-06,'0200,REVENUE GROUP BERHAD,1.510,9333,"Technology, Ace Market",Ace Market,0.627-1.690,3.75,0.00,0.25,40.28,0.00,15.00,6.04,350.32,https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-06,'0120,VISDYNAMICS HOLDINGS BERHAD,0.370,668,"Technology, Ace Market",Ace Market,0.310-0.775,3.52,1.02,0.24,10.50,2.76,14.69,1.54,62.59,https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
2019-09-06,'0208,GREATECH TECHNOLOGY BERHAD,1.380,119178,"Technology, Ace Market",Ace Market,0.940-1.280,7.46,0.00,0.26,18.50,0.00,14.35,5.31,863.88,https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
2019-09-06,'0126,MICROLINK SOLUTIONS BERHAD,0.550,114,"Technology, Ace Market",Ace Market,0.350-0.690,1.74,0.00,0.12,31.59,0.00,14.31,4.52,92.05,https://www.klsescreener.com/v2/stocks/view/0126/microlink-solutions-berhad
2019-09-06,'0158,SCC HOLDINGS BERHAD,0.520,4,"Consumer Products & Services, Ace Market",Ace Market,0.470-0.560,4.30,3.40,0.31,12.10,6.54,13.90,1.68,73.40,https://www.klsescreener.com/v2/stocks/view/0158/scc-holdings-berhad
2019-09-06,'0010,IRIS CORPORATION BERHAD,0.155,136994,"Technology, Ace Market",Ace Market,0.130-0.185,1.31,0.00,0.10,11.80,0.00,13.81,1.63,459.77,https://www.klsescreener.com/v2/stocks/view/0010/iris-corporation-berhad
2019-09-06,'0018,LAMBO GROUP BERHAD,0.055,10831,"Technology, Ace Market",Ace Market,0.050-0.120,0.79,0.00,0.06,7.00,0.00,13.29,0.93,115.62,https://www.klsescreener.com/v2/stocks/view/0018/lambo-group-berhad
2019-09-06,'0162,WIDAD GROUP BERHAD,0.230,24770,"Construction, Ace Market",Ace Market,0.215-0.380,0.93,0.00,0.07,24.83,0.00,13.23,3.29,564.57,https://www.klsescreener.com/v2/stocks/view/0162/widad-group-berhad
2019-09-06,'0157,FOCUS POINT HOLDINGS BERHAD,0.430,11719,"Consumer Products & Services, Ace Market",Ace Market,0.120-0.480,4.59,1.88,0.26,9.36,4.37,13.07,1.22,94.60,https://www.klsescreener.com/v2/stocks/view/0157/focus-point-holdings-berhad
2019-09-06,'0193,KEJURUTERAAN ASASTERA BERHAD,0.315,144431,"Industrial Products & Services, Ace Market",Ace Market,0.190-0.305,2.04,1.00,0.16,15.45,3.17,12.74,1.97,111.51,https://www.klsescreener.com/v2/stocks/view/0193/kejuruteraan-asastera-berhad
2019-09-06,'0039,GFM SERVICES BERHAD,0.340,3723,"Industrial Products & Services, Ace Market",Ace Market,0.340-0.550,2.67,1.10,0.21,12.73,3.24,12.72,1.62,160.11,https://www.klsescreener.com/v2/stocks/view/0039/gfm-services-berhad
2019-09-06,'0084,TECHFAST HOLDINGS BERHAD,0.300,1015,"Industrial Products & Services, Ace Market",Ace Market,0.245-0.505,1.42,1.00,0.12,21.13,3.32,12.35,2.61,68.44,https://www.klsescreener.com/v2/stocks/view/0084/techfast-holdings-berhad
2019-09-06,'0026,NOVA MSC BERHAD,0.085,31326,"Technology, Ace Market",Ace Market,0.085-0.180,0.99,0.00,0.08,8.63,0.00,12.32,1.06,63.88,https://www.klsescreener.com/v2/stocks/view/0026/nova-msc-berhad
2019-09-06,'0187,BCM ALLIANCE BERHAD,0.140,20843,"Industrial Products & Services, Ace Market",Ace Market,0.145-0.250,1.48,0.20,0.12,9.49,1.43,12.30,1.17,58.98,https://www.klsescreener.com/v2/stocks/view/0187/bcm-alliance-berhad
2019-09-06,'0032,REDTONE INTERNATIONAL BERHAD,0.405,21980,"Telecommunications & Media, Ace Market",Ace Market,0.155-0.410,2.52,1.00,0.21,16.05,2.47,11.76,1.89,307.26,https://www.klsescreener.com/v2/stocks/view/0032/redtone-international-berhad
2019-09-06,'0180,KIM TECK CHEONG CONSOLIDATED BERHAD,0.145,1410,"Consumer Products & Services, Ace Market",Ace Market,0.130-0.195,2.32,0.00,0.21,6.25,0.00,11.06,0.69,73.99,https://www.klsescreener.com/v2/stocks/view/0180/kim-teck-cheong-consolidated-berhad
2019-09-06,'0146,JF TECHNOLOGY BERHAD,0.760,932,"Technology, Ace Market",Ace Market,0.655-0.990,1.58,0.00,0.15,48.12,0.00,10.62,5.11,159.60,https://www.klsescreener.com/v2/stocks/view/0146/jf-technology-berhad
2019-09-06,'0023,IFCA MSC BERHAD,0.305,11731,"Technology, Ace Market",Ace Market,0.185-0.485,1.92,1.00,0.20,15.89,3.28,9.59,1.52,185.53,https://www.klsescreener.com/v2/stocks/view/0023/ifca-msc-berhad
