Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420416000000,20150105,TDEX,'0132,,0.205,0.205,0.195,0.200,9563300,Decreased,1
1420502400000,20150106,TDEX,'0132,0.200,0.195,0.195,0.180,0.190,20184800,Decreased,1
1420588800000,20150107,TDEX,'0132,0.190,0.185,0.185,0.175,0.185,4946600,No change,0
1420675200000,20150108,TDEX,'0132,0.185,0.185,0.185,0.175,0.185,1523400,No change,0
1420761600000,20150109,TDEX,'0132,0.185,0.185,0.185,0.150,0.155,38148500,Decreased,6
1421020800000,20150112,TDEX,'0132,0.155,0.155,0.155,0.145,0.150,3602100,Decreased,1
1421107200000,20150113,TDEX,'0132,0.150,0.145,0.160,0.145,0.155,5281600,Increased,2
1421193600000,20150114,TDEX,'0132,0.155,0.155,0.155,0.150,0.150,2029900,Decreased,1
1421280000000,20150115,TDEX,'0132,0.150,0.150,0.150,0.145,0.145,5181500,Decreased,1
1421366400000,20150116,TDEX,'0132,0.145,0.145,0.155,0.145,0.150,1747600,Increased,1
1421625600000,20150119,TDEX,'0132,0.150,0.150,0.160,0.150,0.160,5789400,Increased,2
1421712000000,20150120,TDEX,'0132,0.160,0.160,0.160,0.150,0.155,9485500,Decreased,1
1421798400000,20150121,TDEX,'0132,0.155,0.155,0.160,0.155,0.160,11032100,Increased,1
1421884800000,20150122,TDEX,'0132,0.160,0.160,0.160,0.150,0.155,31313300,Decreased,1
1421971200000,20150123,TDEX,'0132,0.155,0.155,0.160,0.145,0.150,12458000,Decreased,1
1422230400000,20150126,TDEX,'0132,0.150,0.150,0.155,0.145,0.145,1438600,Decreased,1
1422316800000,20150127,TDEX,'0132,0.145,0.150,0.150,0.145,0.145,3196500,Decreased,1
1422403200000,20150128,TDEX,'0132,0.145,0.145,0.150,0.145,0.145,2207400,No change,0
1422489600000,20150129,TDEX,'0132,0.145,0.145,0.150,0.140,0.150,2852000,Increased,1
1422576000000,20150130,TDEX,'0132,0.150,0.145,0.150,0.145,0.150,428900,Increased,1
1423008000000,20150204,TDEX,'0132,0.150,0.150,0.160,0.140,0.140,25087800,Decreased,2
1423094400000,20150205,TDEX,'0132,0.140,0.145,0.145,0.140,0.145,460000,No change,0
1423180800000,20150206,TDEX,'0132,0.145,0.145,0.145,0.140,0.145,854900,No change,0
1423440000000,20150209,TDEX,'0132,0.145,0.140,0.145,0.140,0.140,2259000,No change,0
1423526400000,20150210,TDEX,'0132,0.140,0.140,0.140,0.135,0.135,5954600,Decreased,1
1423612800000,20150211,TDEX,'0132,0.135,0.135,0.140,0.130,0.140,615600,Increased,1
1423699200000,20150212,TDEX,'0132,0.140,0.135,0.135,0.130,0.135,398800,No change,0
1423785600000,20150213,TDEX,'0132,0.135,0.130,0.135,0.130,0.135,1447700,Increased,1
1424044800000,20150216,TDEX,'0132,0.135,0.135,0.135,0.130,0.130,2713800,Decreased,1
