Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'3255,0.100,+0.39,781,34,25.600,25.720,20,25.5,25.600,25.780,25.420,s,12 Nov 2019,05:00PM,25.600,HEINEKEN MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3255,MarketGapUp,0.0,
MAIN MARKET,TECHNOLOGY,'5028,-0.030,-3.17,"15,439",297,0.915,0.920,50,0.945,0.940,0.950,0.915,s,12 Nov 2019,05:00PM,0.915,HEITECH PADU BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5028,MarketGapDown,4.999999999999982,
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5121,0.005,+0.51,"2,718","1,538",0.985,0.995,"1,026",0.99,0.995,0.995,0.985,s,12 Nov 2019,05:00PM,0.995,HEKTAR REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5121,MarketGapUp,0.0,
MAIN MARKET,ENERGY,'4324,-0.040,-0.91,625,242,4.370,4.390,64,4.41,4.450,4.450,4.360,s,12 Nov 2019,05:00PM,4.370,HENGYUAN REFINING COMPANY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4324,MarketGapUp,8.000000000000007,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5095,-0.010,-1.77,"12,587","1,823",0.555,0.560,"2,005",0.565,0.565,0.565,0.555,s,12 Nov 2019,05:00PM,0.555,HEVEABOARD BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5095,MarketNoChange,1.9999999999999796,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5151,0.000,0.00,0,300,0.660,0.695,66,0.7,-,-,-,s,12 Nov 2019,05:00PM,-,HEXTAR GLOBAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5151,MarketClosed,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'3298,-0.005,-0.61,"1,710",81,0.810,0.815,110,0.815,0.820,0.820,0.810,s,12 Nov 2019,05:00PM,0.810,HEXZA CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3298,MarketGapUp,1.9999999999999796,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5072,0.000,0.00,"4,344",393,0.195,0.200,"9,414",0.195,0.195,0.195,0.195,s,12 Nov 2019,05:00PM,0.195,HIAP TECK VENTURE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5072,MarketNoChange,0.0,
MAIN MARKET,ENERGY,'5199,-0.005,-0.53,"58,844","4,664",0.940,0.945,"2,582",0.945,0.950,0.955,0.940,s,12 Nov 2019,05:00PM,0.940,HIBISCUS PETROLEUM BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5199,MarketGapUp,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'8443,-0.020,-3.70,48,294,0.520,0.545,161,0.54,0.520,0.520,0.520,s,12 Nov 2019,05:00PM,0.520,HIL INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8443,MarketGapDown,0.0,
MAIN MARKET,CONSTRUCTION,'5169,-0.015,-2.78,"2,569",21,0.525,0.530,"1,000",0.54,0.540,0.540,0.525,s,12 Nov 2019,05:00PM,0.525,HO HUP CONSTRUCTION COMPANY BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5169,MarketNoChange,3.0000000000000027,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9601,-0.005,-5.88,200,250,0.080,0.085,"5,864",0.085,0.080,0.080,0.080,s,12 Nov 2019,05:00PM,0.080,HO WAH GENTING BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9601,MarketGapDown,0.0,
