,Date,Status,Day
228,19941202,Open,Friday
229,19941205,Open,Monday
230,19941206,Open,Tuesday
231,19941207,Open,Wednesday
232,19941208,Open,Thursday
233,19941209,Open,Friday
234,19941212,Open,Monday
235,19941213,Open,Tuesday
236,19941214,Open,Wednesday
237,19941215,Open,Thursday
238,19941216,Open,Friday
239,19941219,Open,Monday
240,19941220,Open,Tuesday
241,19941221,Open,Wednesday
242,19941222,Open,Thursday
243,19941223,Open,Friday
244,19941227,Open,Tuesday
245,19941228,Open,Wednesday
246,19941229,Open,Thursday
247,19941230,Open,Friday
248,19950103,Open,Tuesday
249,19950104,Open,Wednesday
250,19950105,Open,Thursday
251,19950106,Open,Friday
252,19950109,Open,Monday
253,19950110,Open,Tuesday
254,19950111,Open,Wednesday
255,19950112,Open,Thursday
256,19950113,Open,Friday
257,19950116,Open,Monday
258,19950117,Open,Tuesday
259,19950118,Open,Wednesday
260,19950119,Open,Thursday
261,19950120,Open,Friday
262,19950123,Open,Monday
263,19950124,Open,Tuesday
264,19950125,Open,Wednesday
265,19950126,Open,Thursday
266,19950127,Open,Friday
267,19950203,Open,Friday
268,19950206,Open,Monday
269,19950207,Open,Tuesday
270,19950208,Open,Wednesday
271,19950209,Open,Thursday
272,19950210,Open,Friday
273,19950213,Open,Monday
274,19950214,Open,Tuesday
275,19950215,Open,Wednesday
276,19950216,Open,Thursday
277,19950217,Open,Friday
278,19950220,Open,Monday
279,19950221,Open,Tuesday
280,19950222,Open,Wednesday
281,19950223,Open,Thursday
282,19950224,Open,Friday
283,19950227,Open,Monday
284,19950228,Open,Tuesday
285,19950306,Open,Monday
286,19950307,Open,Tuesday
287,19950308,Open,Wednesday
288,19950309,Open,Thursday
289,19950310,Open,Friday
290,19950313,Open,Monday
291,19950314,Open,Tuesday
292,19950315,Open,Wednesday
293,19950316,Open,Thursday
294,19950317,Open,Friday
295,19950320,Open,Monday
296,19950321,Open,Tuesday
297,19950322,Open,Wednesday
298,19950323,Open,Thursday
299,19950324,Open,Friday
300,19950327,Open,Monday
301,19950328,Open,Tuesday
302,19950329,Open,Wednesday
303,19950330,Open,Thursday
304,19950331,Open,Friday
305,19950403,Open,Monday
306,19950404,Open,Tuesday
307,19950405,Open,Wednesday
308,19950406,Open,Thursday
309,19950407,Open,Friday
310,19950410,Open,Monday
311,19950411,Open,Tuesday
312,19950412,Open,Wednesday
313,19950413,Open,Thursday
314,19950414,Open,Friday
315,19950417,Open,Monday
316,19950418,Open,Tuesday
317,19950419,Open,Wednesday
318,19950420,Open,Thursday
319,19950421,Open,Friday
320,19950424,Open,Monday
321,19950426,Open,Wednesday
322,19950427,Open,Thursday
323,19950428,Open,Friday
324,19950502,Open,Tuesday
325,19950503,Open,Wednesday
326,19950504,Open,Thursday
327,19950505,Open,Friday
328,19950508,Open,Monday
329,19950509,Open,Tuesday
330,19950511,Open,Thursday
331,19950512,Open,Friday
332,19950516,Open,Tuesday
333,19950517,Open,Wednesday
334,19950518,Open,Thursday
335,19950519,Open,Friday
336,19950522,Open,Monday
337,19950523,Open,Tuesday
338,19950524,Open,Wednesday
339,19950525,Open,Thursday
340,19950526,Open,Friday
341,19950529,Open,Monday
342,19950530,Open,Tuesday
343,19950601,Open,Thursday
344,19950602,Open,Friday
345,19950605,Open,Monday
346,19950606,Open,Tuesday
347,19950607,Open,Wednesday
348,19950608,Open,Thursday
349,19950609,Open,Friday
350,19950612,Open,Monday
351,19950613,Open,Tuesday
352,19950614,Open,Wednesday
353,19950615,Open,Thursday
354,19950616,Open,Friday
355,19950619,Open,Monday
356,19950620,Open,Tuesday
357,19950621,Open,Wednesday
358,19950622,Open,Thursday
359,19950623,Open,Friday
360,19950626,Open,Monday
361,19950627,Open,Tuesday
362,19950628,Open,Wednesday
363,19950629,Open,Thursday
364,19950630,Open,Friday
365,19950703,Open,Monday
366,19950704,Open,Tuesday
367,19950705,Open,Wednesday
368,19950706,Open,Thursday
369,19950707,Open,Friday
370,19950710,Open,Monday
371,19950711,Open,Tuesday
372,19950712,Open,Wednesday
373,19950713,Open,Thursday
374,19950714,Open,Friday
375,19950717,Open,Monday
376,19950718,Open,Tuesday
377,19950719,Open,Wednesday
378,19950720,Open,Thursday
379,19950721,Open,Friday
380,19950724,Open,Monday
381,19950725,Open,Tuesday
382,19950726,Open,Wednesday
383,19950727,Open,Thursday
384,19950728,Open,Friday
385,19950731,Open,Monday
386,19950801,Open,Tuesday
387,19950802,Open,Wednesday
388,19950803,Open,Thursday
389,19950804,Open,Friday
390,19950807,Open,Monday
391,19950808,Open,Tuesday
392,19950810,Open,Thursday
393,19950811,Open,Friday
394,19950814,Open,Monday
395,19950815,Open,Tuesday
396,19950816,Open,Wednesday
397,19950817,Open,Thursday
398,19950818,Open,Friday
399,19950821,Open,Monday
400,19950822,Open,Tuesday
401,19950823,Open,Wednesday
402,19950824,Open,Thursday
403,19950825,Open,Friday
404,19950828,Open,Monday
405,19950829,Open,Tuesday
406,19950830,Open,Wednesday
407,19950901,Open,Friday
408,19950904,Open,Monday
409,19950905,Open,Tuesday
410,19950906,Open,Wednesday
411,19950907,Open,Thursday
412,19950908,Open,Friday
413,19950911,Open,Monday
414,19950912,Open,Tuesday
415,19950913,Open,Wednesday
416,19950914,Open,Thursday
417,19950915,Open,Friday
418,19950918,Open,Monday
419,19950919,Open,Tuesday
420,19950920,Open,Wednesday
421,19950921,Open,Thursday
422,19950922,Open,Friday
423,19950925,Open,Monday
424,19950926,Open,Tuesday
425,19950927,Open,Wednesday
426,19950928,Open,Thursday
427,19950929,Open,Friday
428,19951002,Open,Monday
429,19951003,Open,Tuesday
430,19951004,Open,Wednesday
431,19951005,Open,Thursday
432,19951006,Open,Friday
433,19951009,Open,Monday
434,19951010,Open,Tuesday
435,19951011,Open,Wednesday
436,19951012,Open,Thursday
437,19951013,Open,Friday
438,19951016,Open,Monday
439,19951017,Open,Tuesday
440,19951018,Open,Wednesday
441,19951019,Open,Thursday
442,19951020,Open,Friday
443,19951024,Open,Tuesday
444,19951025,Open,Wednesday
445,19951026,Open,Thursday
446,19951027,Open,Friday
447,19951030,Open,Monday
448,19951031,Open,Tuesday
449,19951101,Open,Wednesday
450,19951102,Open,Thursday
451,19951103,Open,Friday
452,19951106,Open,Monday
453,19951107,Open,Tuesday
454,19951108,Open,Wednesday
455,19951109,Open,Thursday
456,19951110,Open,Friday
457,19951113,Open,Monday
458,19951114,Open,Tuesday
459,19951115,Open,Wednesday
460,19951116,Open,Thursday
461,19951117,Open,Friday
462,19951120,Open,Monday
463,19951121,Open,Tuesday
464,19951122,Open,Wednesday
465,19951123,Open,Thursday
466,19951124,Open,Friday
467,19951127,Open,Monday
468,19951128,Open,Tuesday
469,19951129,Open,Wednesday
470,19951130,Open,Thursday
471,19951201,Open,Friday
472,19951204,Open,Monday
473,19951205,Open,Tuesday
474,19951206,Open,Wednesday
475,19951207,Open,Thursday
476,19951208,Open,Friday
477,19951211,Open,Monday
478,19951212,Open,Tuesday
479,19951213,Open,Wednesday
480,19951214,Open,Thursday
481,19951215,Open,Friday
482,19951218,Open,Monday
483,19951219,Open,Tuesday
484,19951220,Open,Wednesday
485,19951221,Open,Thursday
486,19951222,Open,Friday
487,19951226,Open,Tuesday
488,19951227,Open,Wednesday
489,19951228,Open,Thursday
490,19951229,Open,Friday
491,19960102,Open,Tuesday
492,19960103,Open,Wednesday
493,19960104,Open,Thursday
494,19960105,Open,Friday
495,19960108,Open,Monday
496,19960109,Open,Tuesday
497,19960110,Open,Wednesday
498,19960111,Open,Thursday
499,19960112,Open,Friday
500,19960115,Open,Monday
501,19960116,Open,Tuesday
502,19960117,Open,Wednesday
503,19960118,Open,Thursday
504,19960119,Open,Friday
505,19960122,Open,Monday
506,19960123,Open,Tuesday
507,19960124,Open,Wednesday
508,19960125,Open,Thursday
509,19960126,Open,Friday
510,19960129,Open,Monday
511,19960130,Open,Tuesday
512,19960131,Open,Wednesday
513,19960202,Open,Friday
514,19960205,Open,Monday
515,19960206,Open,Tuesday
516,19960207,Open,Wednesday
517,19960208,Open,Thursday
518,19960209,Open,Friday
519,19960212,Open,Monday
520,19960213,Open,Tuesday
521,19960214,Open,Wednesday
522,19960215,Open,Thursday
523,19960216,Open,Friday
524,19960226,Open,Monday
525,19960227,Open,Tuesday
526,19960228,Open,Wednesday
527,19960229,Open,Thursday
528,19960301,Open,Friday
529,19960304,Open,Monday
530,19960305,Open,Tuesday
531,19960306,Open,Wednesday
532,19960307,Open,Thursday
533,19960308,Open,Friday
534,19960311,Open,Monday
535,19960312,Open,Tuesday
536,19960313,Open,Wednesday
537,19960314,Open,Thursday
538,19960315,Open,Friday
539,19960318,Open,Monday
540,19960319,Open,Tuesday
541,19960320,Open,Wednesday
542,19960321,Open,Thursday
543,19960322,Open,Friday
544,19960325,Open,Monday
545,19960326,Open,Tuesday
546,19960327,Open,Wednesday
547,19960328,Open,Thursday
548,19960329,Open,Friday
549,19960401,Open,Monday
550,19960402,Open,Tuesday
551,19960403,Open,Wednesday
552,19960404,Open,Thursday
553,19960405,Open,Friday
554,19960408,Open,Monday
555,19960409,Open,Tuesday
556,19960410,Open,Wednesday
557,19960411,Open,Thursday
558,19960412,Open,Friday
559,19960415,Open,Monday
560,19960416,Open,Tuesday
561,19960417,Open,Wednesday
562,19960418,Open,Thursday
563,19960419,Open,Friday
564,19960422,Open,Monday
565,19960423,Open,Tuesday
566,19960424,Open,Wednesday
567,19960425,Open,Thursday
568,19960426,Open,Friday
569,19960430,Open,Tuesday
570,19960502,Open,Thursday
571,19960503,Open,Friday
572,19960506,Open,Monday
573,19960507,Open,Tuesday
574,19960508,Open,Wednesday
575,19960509,Open,Thursday
576,19960510,Open,Friday
577,19960513,Open,Monday
578,19960514,Open,Tuesday
579,19960515,Open,Wednesday
580,19960516,Open,Thursday
581,19960517,Open,Friday
582,19960521,Open,Tuesday
583,19960522,Open,Wednesday
584,19960523,Open,Thursday
585,19960524,Open,Friday
586,19960527,Open,Monday
587,19960528,Open,Tuesday
588,19960529,Open,Wednesday
589,19960530,Open,Thursday
590,19960603,Open,Monday
591,19960604,Open,Tuesday
592,19960605,Open,Wednesday
593,19960606,Open,Thursday
594,19960607,Open,Friday
595,19960610,Open,Monday
596,19960611,Open,Tuesday
597,19960612,Open,Wednesday
598,19960613,Open,Thursday
599,19960614,Open,Friday
600,19960617,Open,Monday
601,19960618,Open,Tuesday
602,19960619,Open,Wednesday
603,19960620,Open,Thursday
604,19960621,Open,Friday
605,19960624,Open,Monday
606,19960625,Open,Tuesday
