Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420416000000,20150105,BJLAND,'4219,,0.840,0.840,0.840,0.840,-,Closed,0
1420502400000,20150106,BJLAND,'4219,0.840,0.800,0.820,0.795,0.820,79000,Increased,4
1420588800000,20150107,BJLAND,'4219,0.820,0.800,0.830,0.800,0.825,35200,Increased,5
1420675200000,20150108,BJLAND,'4219,0.825,0.800,0.830,0.800,0.830,17600,Increased,6
1420761600000,20150109,BJLAND,'4219,0.830,0.805,0.825,0.805,0.820,5000,Increased,3
1421020800000,20150112,BJLAND,'4219,0.820,0.820,0.820,0.820,0.820,-,Closed,0
1421107200000,20150113,BJLAND,'4219,0.820,0.810,0.820,0.805,0.820,75000,Increased,2
1421193600000,20150114,BJLAND,'4219,0.820,0.820,0.820,0.820,0.820,-,Closed,0
1421280000000,20150115,BJLAND,'4219,0.820,0.820,0.820,0.820,0.820,-,Closed,0
1421366400000,20150116,BJLAND,'4219,0.820,0.800,0.815,0.800,0.815,14400,Increased,3
1421625600000,20150119,BJLAND,'4219,0.815,0.800,0.800,0.795,0.800,31700,No change,0
1421712000000,20150120,BJLAND,'4219,0.800,0.800,0.800,0.795,0.800,18100,No change,0
1421798400000,20150121,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,4000,No change,0
1421884800000,20150122,BJLAND,'4219,0.800,0.795,0.800,0.790,0.800,36000,Increased,1
1421971200000,20150123,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,10800,No change,0
1422230400000,20150126,BJLAND,'4219,0.800,0.795,0.800,0.795,0.800,15000,Increased,1
1422316800000,20150127,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,44200,No change,0
1422403200000,20150128,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,3000,No change,0
1422489600000,20150129,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,-,Closed,0
1422576000000,20150130,BJLAND,'4219,0.800,0.800,0.800,0.795,0.800,15000,No change,0
1423008000000,20150204,BJLAND,'4219,0.800,0.795,0.800,0.795,0.800,34000,Increased,1
1423094400000,20150205,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,47000,No change,0
1423180800000,20150206,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,800,No change,0
1423440000000,20150209,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,-,Closed,0
1423526400000,20150210,BJLAND,'4219,0.800,0.800,0.805,0.800,0.805,40200,Increased,1
1423612800000,20150211,BJLAND,'4219,0.805,0.805,0.805,0.805,0.805,12400,No change,0
1423699200000,20150212,BJLAND,'4219,0.805,0.805,0.805,0.805,0.805,-,Closed,0
1423785600000,20150213,BJLAND,'4219,0.805,0.805,0.805,0.805,0.805,-,Closed,0
1424044800000,20150216,BJLAND,'4219,0.805,0.800,0.800,0.800,0.800,42000,No change,0
1424131200000,20150217,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,20000,No change,0
1424217600000,20150218,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,1500000,No change,0
1424649600000,20150223,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,1200000,No change,0
1424736000000,20150224,BJLAND,'4219,0.800,0.800,0.800,0.800,0.800,-,Closed,0
1424822400000,20150225,BJLAND,'4219,0.800,0.780,0.785,0.760,0.760,82100,Decreased,4
1424908800000,20150226,BJLAND,'4219,0.760,0.760,0.795,0.760,0.770,396700,Increased,2
1424995200000,20150227,BJLAND,'4219,0.770,0.770,0.785,0.770,0.785,28100,Increased,3
1425254400000,20150302,BJLAND,'4219,0.785,0.785,0.790,0.785,0.790,5000,Increased,1
1425340800000,20150303,BJLAND,'4219,0.790,0.780,0.785,0.780,0.785,21200,Increased,1
1425427200000,20150304,BJLAND,'4219,0.785,0.780,0.785,0.780,0.785,18000,Increased,1
1425513600000,20150305,BJLAND,'4219,0.785,0.780,0.785,0.780,0.785,26000,Increased,1
1425600000000,20150306,BJLAND,'4219,0.785,0.785,0.785,0.785,0.785,-,Closed,0
1425859200000,20150309,BJLAND,'4219,0.785,0.775,0.785,0.760,0.765,83500,Decreased,2
1425945600000,20150310,BJLAND,'4219,0.765,0.760,0.770,0.750,0.765,123800,Increased,1
1426032000000,20150311,BJLAND,'4219,0.765,0.755,0.755,0.720,0.720,1410800,Decreased,7
1426118400000,20150312,BJLAND,'4219,0.720,0.750,0.750,0.720,0.720,10000,Decreased,6
1426204800000,20150313,BJLAND,'4219,0.720,0.720,0.735,0.720,0.735,27000,Increased,3
1426464000000,20150316,BJLAND,'4219,0.735,0.720,0.730,0.710,0.710,59600,Decreased,2
1426550400000,20150317,BJLAND,'4219,0.710,0.700,0.750,0.700,0.745,135200,Increased,9
1426636800000,20150318,BJLAND,'4219,0.745,0.745,0.770,0.745,0.770,76000,Increased,5
1426723200000,20150319,BJLAND,'4219,0.770,0.770,0.770,0.770,0.770,49200,No change,0
1426809600000,20150320,BJLAND,'4219,0.770,0.750,0.770,0.730,0.770,51000,Increased,4
1427068800000,20150323,BJLAND,'4219,0.770,0.770,0.790,0.740,0.740,756400,Decreased,6
1427155200000,20150324,BJLAND,'4219,0.740,0.770,0.790,0.770,0.790,28200,Increased,4
1427241600000,20150325,BJLAND,'4219,0.790,0.745,0.760,0.745,0.760,12000,Increased,3
1427328000000,20150326,BJLAND,'4219,0.760,0.760,0.760,0.760,0.760,-,Closed,0
1427414400000,20150327,BJLAND,'4219,0.760,0.760,0.760,0.760,0.760,-,Closed,0
1427673600000,20150330,BJLAND,'4219,0.760,0.740,0.760,0.725,0.760,113500,Increased,4
1427760000000,20150331,BJLAND,'4219,0.760,0.730,0.750,0.730,0.730,20100,No change,0
1427846400000,20150401,BJLAND,'4219,0.730,0.730,0.730,0.730,0.730,3000,No change,0
1427932800000,20150402,BJLAND,'4219,0.730,0.775,0.775,0.775,0.775,2000,No change,0
1428019200000,20150403,BJLAND,'4219,0.775,0.775,0.775,0.775,0.775,-,Closed,0
1428278400000,20150406,BJLAND,'4219,0.775,0.730,0.765,0.720,0.730,72100,No change,0
1428364800000,20150407,BJLAND,'4219,0.730,0.730,0.730,0.730,0.730,-,Closed,0
1428451200000,20150408,BJLAND,'4219,0.730,0.730,0.730,0.730,0.730,-,Closed,0
1428537600000,20150409,BJLAND,'4219,0.730,0.750,0.770,0.750,0.750,40000,No change,0
1428624000000,20150410,BJLAND,'4219,0.750,0.765,0.765,0.765,0.765,20000,No change,0
1428883200000,20150413,BJLAND,'4219,0.765,0.765,0.770,0.765,0.770,74600,Increased,1
1428969600000,20150414,BJLAND,'4219,0.770,0.770,0.770,0.770,0.770,-,Closed,0
1429056000000,20150415,BJLAND,'4219,0.770,0.770,0.770,0.770,0.770,-,Closed,0
1429142400000,20150416,BJLAND,'4219,0.770,0.740,0.740,0.740,0.740,1700,No change,0
1429228800000,20150417,BJLAND,'4219,0.740,0.740,0.740,0.720,0.720,108300,Decreased,4
1429488000000,20150420,BJLAND,'4219,0.720,0.750,0.750,0.720,0.735,27000,Decreased,3
1429574400000,20150421,BJLAND,'4219,0.735,0.735,0.735,0.735,0.735,-,Closed,0
1429660800000,20150422,BJLAND,'4219,0.735,0.735,0.735,0.735,0.735,-,Closed,0
1429747200000,20150423,BJLAND,'4219,0.735,0.720,0.720,0.710,0.710,174000,Decreased,2
1429833600000,20150424,BJLAND,'4219,0.710,0.710,0.710,0.710,0.710,-,Closed,0
1430092800000,20150427,BJLAND,'4219,0.710,0.710,0.710,0.710,0.710,-,Closed,0
1430179200000,20150428,BJLAND,'4219,0.710,0.700,0.700,0.700,0.700,10000,No change,0
1430265600000,20150429,BJLAND,'4219,0.700,0.700,0.740,0.700,0.740,55000,Increased,8
1430352000000,20150430,BJLAND,'4219,0.740,0.735,0.740,0.735,0.740,50000,Increased,1
1430784000000,20150505,BJLAND,'4219,0.740,0.735,0.740,0.735,0.740,111200,Increased,1
1430870400000,20150506,BJLAND,'4219,0.740,0.740,0.740,0.735,0.735,270000,Decreased,1
1430956800000,20150507,BJLAND,'4219,0.735,0.735,0.735,0.720,0.730,56000,Decreased,1
1431043200000,20150508,BJLAND,'4219,0.730,0.730,0.730,0.720,0.730,30000,No change,0
1431302400000,20150511,BJLAND,'4219,0.730,0.730,0.740,0.730,0.740,20200,Increased,2
1431388800000,20150512,BJLAND,'4219,0.740,0.745,0.745,0.730,0.730,190000,Decreased,3
1431475200000,20150513,BJLAND,'4219,0.730,0.730,0.730,0.720,0.730,80000,No change,0
1431561600000,20150514,BJLAND,'4219,0.730,0.730,0.730,0.730,0.730,65000,No change,0
1431648000000,20150515,BJLAND,'4219,0.730,0.730,0.730,0.700,0.730,57900,No change,0
1431907200000,20150518,BJLAND,'4219,0.730,0.730,0.730,0.730,0.730,1000,No change,0
1431993600000,20150519,BJLAND,'4219,0.730,0.730,0.730,0.730,0.730,-,Closed,0
1432080000000,20150520,BJLAND,'4219,0.730,0.725,0.730,0.715,0.730,60000,Increased,1
1432166400000,20150521,BJLAND,'4219,0.730,0.720,0.730,0.715,0.730,114000,Increased,2
1432252800000,20150522,BJLAND,'4219,0.730,0.725,0.730,0.725,0.730,80000,Increased,1
1432512000000,20150525,BJLAND,'4219,0.730,0.730,0.730,0.720,0.730,50000,No change,0
1432598400000,20150526,BJLAND,'4219,0.730,0.730,0.730,0.725,0.725,50100,Decreased,1
1432684800000,20150527,BJLAND,'4219,0.725,0.720,0.725,0.720,0.725,29900,Increased,1
1432771200000,20150528,BJLAND,'4219,0.725,0.725,0.725,0.725,0.725,-,Closed,0
1432857600000,20150529,BJLAND,'4219,0.725,0.715,0.725,0.710,0.725,34100,Increased,2
1433116800000,20150601,BJLAND,'4219,0.725,0.720,0.725,0.720,0.725,11400,Increased,1
1433203200000,20150602,BJLAND,'4219,0.725,0.720,0.725,0.715,0.725,251600,Increased,1
1433289600000,20150603,BJLAND,'4219,0.725,0.725,0.730,0.720,0.725,50000,No change,0
1433376000000,20150604,BJLAND,'4219,0.725,0.720,0.725,0.715,0.720,74200,No change,0
1433462400000,20150605,BJLAND,'4219,0.720,0.720,0.720,0.720,0.720,-,Closed,0
1433721600000,20150608,BJLAND,'4219,0.720,0.725,0.730,0.720,0.720,26000,Decreased,1
1433808000000,20150609,BJLAND,'4219,0.720,0.720,0.720,0.715,0.715,111800,Decreased,1
1433894400000,20150610,BJLAND,'4219,0.715,0.710,0.715,0.705,0.710,210000,No change,0
1433980800000,20150611,BJLAND,'4219,0.710,0.710,0.715,0.710,0.710,89600,No change,0
1434067200000,20150612,BJLAND,'4219,0.710,0.710,0.710,0.710,0.710,160400,No change,0
1434326400000,20150615,BJLAND,'4219,0.710,0.710,0.715,0.705,0.715,110000,Increased,1
1434412800000,20150616,BJLAND,'4219,0.715,0.715,0.715,0.715,0.715,100000,No change,0
1434499200000,20150617,BJLAND,'4219,0.715,0.715,0.715,0.710,0.715,100200,No change,0
1434585600000,20150618,BJLAND,'4219,0.715,0.715,0.715,0.710,0.715,100000,No change,0
1434672000000,20150619,BJLAND,'4219,0.715,0.715,0.715,0.710,0.715,101400,No change,0
1434931200000,20150622,BJLAND,'4219,0.715,0.715,0.715,0.715,0.715,150000,No change,0
1435017600000,20150623,BJLAND,'4219,0.715,0.715,0.715,0.710,0.715,150000,No change,0
1435104000000,20150624,BJLAND,'4219,0.715,0.715,0.720,0.715,0.720,100000,Increased,1
1435190400000,20150625,BJLAND,'4219,0.720,0.715,0.715,0.660,0.715,269700,No change,0
1435276800000,20150626,BJLAND,'4219,0.715,0.715,0.715,0.710,0.715,108000,No change,0
1435536000000,20150629,BJLAND,'4219,0.715,0.715,0.715,0.705,0.710,100000,Decreased,1
1435622400000,20150630,BJLAND,'4219,0.710,0.710,0.715,0.710,0.715,130000,Increased,1
1435708800000,20150701,BJLAND,'4219,0.715,0.715,0.715,0.710,0.715,130000,No change,0
1435795200000,20150702,BJLAND,'4219,0.715,0.715,0.715,0.710,0.710,100000,Decreased,1
1435881600000,20150703,BJLAND,'4219,0.710,0.710,0.715,0.710,0.715,100000,Increased,1
1436140800000,20150706,BJLAND,'4219,0.715,0.715,0.715,0.705,0.715,100000,No change,0
1436227200000,20150707,BJLAND,'4219,0.715,0.710,0.720,0.710,0.720,100000,Increased,2
1436313600000,20150708,BJLAND,'4219,0.720,0.715,0.720,0.710,0.720,100000,Increased,1
1436400000000,20150709,BJLAND,'4219,0.720,0.715,0.720,0.715,0.720,93400,Increased,1
1436486400000,20150710,BJLAND,'4219,0.720,0.720,0.720,0.715,0.720,116600,No change,0
1436745600000,20150713,BJLAND,'4219,0.720,0.720,0.720,0.710,0.720,50000,No change,0
1436832000000,20150714,BJLAND,'4219,0.720,0.720,0.720,0.705,0.715,150000,Decreased,1
1436918400000,20150715,BJLAND,'4219,0.715,0.715,0.715,0.710,0.715,50000,No change,0
1437004800000,20150716,BJLAND,'4219,0.715,0.715,0.715,0.715,0.715,-,Closed,0
1437350400000,20150720,BJLAND,'4219,0.715,0.685,0.685,0.685,0.685,4000,No change,0
1437436800000,20150721,BJLAND,'4219,0.685,0.700,0.715,0.700,0.710,30000,Increased,2
1437523200000,20150722,BJLAND,'4219,0.710,0.710,0.710,0.710,0.710,20000,No change,0
1437609600000,20150723,BJLAND,'4219,0.710,0.710,0.710,0.705,0.705,20000,Decreased,1
1437696000000,20150724,BJLAND,'4219,0.705,0.705,0.705,0.685,0.705,87600,No change,0
1437955200000,20150727,BJLAND,'4219,0.705,0.705,0.710,0.705,0.710,20000,Increased,1
1438041600000,20150728,BJLAND,'4219,0.710,0.710,0.710,0.705,0.705,25000,Decreased,1
1438128000000,20150729,BJLAND,'4219,0.705,0.705,0.705,0.695,0.700,30000,Decreased,1
1438214400000,20150730,BJLAND,'4219,0.700,0.695,0.705,0.680,0.700,50200,Increased,1
1438300800000,20150731,BJLAND,'4219,0.700,0.700,0.700,0.700,0.700,-,Closed,0
1438560000000,20150803,BJLAND,'4219,0.700,0.700,0.700,0.700,0.700,-,Closed,0
1438646400000,20150804,BJLAND,'4219,0.700,0.700,0.700,0.695,0.700,25000,No change,0
1438732800000,20150805,BJLAND,'4219,0.700,0.700,0.710,0.695,0.700,25000,No change,0
1438819200000,20150806,BJLAND,'4219,0.700,0.700,0.700,0.685,0.700,160000,No change,0
1438905600000,20150807,BJLAND,'4219,0.700,0.700,0.700,0.685,0.695,660000,Decreased,1
1439164800000,20150810,BJLAND,'4219,0.695,0.690,0.690,0.665,0.685,85400,Decreased,1
1439251200000,20150811,BJLAND,'4219,0.685,0.685,0.685,0.680,0.685,40000,No change,0
1439337600000,20150812,BJLAND,'4219,0.685,0.680,0.680,0.670,0.675,35000,Decreased,1
1439424000000,20150813,BJLAND,'4219,0.675,0.680,0.685,0.675,0.685,50000,Increased,1
1439510400000,20150814,BJLAND,'4219,0.685,0.680,0.680,0.670,0.680,50000,No change,0
1439769600000,20150817,BJLAND,'4219,0.680,0.680,0.680,0.630,0.680,316400,No change,0
1439856000000,20150818,BJLAND,'4219,0.680,0.650,0.680,0.650,0.675,503700,Increased,5
1439942400000,20150819,BJLAND,'4219,0.675,0.680,0.680,0.675,0.680,21800,No change,0
1440028800000,20150820,BJLAND,'4219,0.680,0.680,0.680,0.680,0.680,-,Closed,0
1440115200000,20150821,BJLAND,'4219,0.680,0.655,0.680,0.635,0.675,213400,Increased,4
1440374400000,20150824,BJLAND,'4219,0.675,0.675,0.685,0.675,0.685,65000,Increased,2
1440460800000,20150825,BJLAND,'4219,0.685,0.635,0.680,0.635,0.680,167600,Increased,9
1440547200000,20150826,BJLAND,'4219,0.680,0.640,0.680,0.635,0.680,219200,Increased,8
1440633600000,20150827,BJLAND,'4219,0.680,0.645,0.680,0.645,0.645,110100,No change,0
1440720000000,20150828,BJLAND,'4219,0.645,0.670,0.680,0.665,0.680,171100,Increased,2
1441065600000,20150901,BJLAND,'4219,0.680,0.675,0.685,0.675,0.680,58000,Increased,1
1441152000000,20150902,BJLAND,'4219,0.680,0.680,0.680,0.680,0.680,17700,No change,0
1441238400000,20150903,BJLAND,'4219,0.680,0.680,0.680,0.680,0.680,-,Closed,0
1441324800000,20150904,BJLAND,'4219,0.680,0.650,0.680,0.650,0.680,53000,Increased,6
1441584000000,20150907,BJLAND,'4219,0.680,0.680,0.680,0.680,0.680,-,Closed,0
1441670400000,20150908,BJLAND,'4219,0.680,0.680,0.680,0.680,0.680,-,Closed,0
1441756800000,20150909,BJLAND,'4219,0.680,0.645,0.680,0.645,0.680,31500,Increased,7
1441843200000,20150910,BJLAND,'4219,0.680,0.660,0.680,0.660,0.675,45000,Increased,3
1441929600000,20150911,BJLAND,'4219,0.675,0.675,0.680,0.675,0.680,17000,Increased,1
1442188800000,20150914,BJLAND,'4219,0.680,0.680,0.680,0.680,0.680,100,No change,0
1442275200000,20150915,BJLAND,'4219,0.680,0.700,0.700,0.700,0.700,5000,No change,0
1442448000000,20150917,BJLAND,'4219,0.700,0.660,0.700,0.660,0.700,48400,Increased,8
1442534400000,20150918,BJLAND,'4219,0.700,0.665,0.685,0.665,0.685,41000,Increased,4
1442793600000,20150921,BJLAND,'4219,0.685,0.660,0.685,0.660,0.685,20000,Increased,5
1442880000000,20150922,BJLAND,'4219,0.685,0.685,0.685,0.685,0.685,-,Closed,0
1442966400000,20150923,BJLAND,'4219,0.685,0.685,0.685,0.685,0.685,-,Closed,0
1443139200000,20150925,BJLAND,'4219,0.685,0.685,0.685,0.685,0.685,-,Closed,0
1443398400000,20150928,BJLAND,'4219,0.685,0.685,0.685,0.685,0.685,-,Closed,0
1443484800000,20150929,BJLAND,'4219,0.685,0.685,0.685,0.685,0.685,-,Closed,0
1443571200000,20150930,BJLAND,'4219,0.685,0.685,0.685,0.685,0.685,22000,No change,0
1443657600000,20151001,BJLAND,'4219,0.685,0.685,0.685,0.685,0.685,-,Closed,0
1443744000000,20151002,BJLAND,'4219,0.685,0.685,0.685,0.685,0.685,-,Closed,0
